trade_num,exit_time,symbol,net_r,cumulative_r
1,2023-10-24 00:00:00+00:00,BTC/USDT,117.36378555488253,117.36378555488253
2,2024-08-03 00:00:00+00:00,BTC/USDT,-1.0268174315607304,116.3369681233218
3,2024-10-01 00:00:00+00:00,BTC/USDT,-1.0341130587302918,115.3028550645915
4,2025-07-11 00:00:00+00:00,BTC/USDT,315.5776370107389,430.8804920753304
5,2025-10-29 00:00:00+00:00,BTC/USDT,-0.6422528489834146,430.238239226347
