block_size,p05_total_r,p50_total_r,p95_total_r,prob_positive,pf_p05,mc_pass
1,46.89876999999999,83.8025,122.60892,0.9998,1.6581186891206077,True
5,52.070195,85.5206,118.816325,1.0,1.759056154485088,True
10,57.513885,86.29634999999999,113.99479,1.0,1.8160830508811063,True
20,66.125205,85.2426,104.84773500000001,1.0,1.9743026024555868,True
