variant,trades,total_r,avg_r,median_r,pf,max_dd_r,win_rate_pct,best_r,worst_r,filter_rate_pct,gate_pct,signals_fired,signals_gated
VAR_BASE,293,52.34649883141511,0.1786569925986864,-0.9999999999999996,1.2732888917343057,-31.406412741791463,24.573378839590443,34.823548181237975,-1.0000000000000016,0.0,,295,0
VAR_P20,52,-5.149854240909011,-0.09903565847901945,-0.5728851157678657,0.8167206889204114,-15.857727765465452,25.0,6.674243476263532,-1.0000000000000016,92.1,20.0,53,622
VAR_P33,82,-0.20609387099846266,-0.0025133398902251543,-0.6991182976576071,0.9954445709025533,-21.37200331122608,28.04878048780488,6.814756035066597,-1.0000000000000016,86.6,33.0,83,535
VAR_P50,108,-19.512842964698507,-0.18067447189535654,-0.9999999999999989,0.708133634972062,-35.1389445137533,24.074074074074073,6.833772938213432,-1.0000000000000016,81.4,50.0,109,478
