symbol,entry_ts,r,funding,year,tf,fast_ema,slow_ema,hold_bars,atr_mult,month
1000000MOGUSDT,1736366400000,1.963476248142392,0.00017068,2025,4h,20,50,30,2.0,2025-01
1000FLOKIUSDT,1687982400000,-1.0,0.0001,2023,4h,20,50,30,2.0,2023-06
1000FLOKIUSDT,1688601600000,0.1556020630975946,0.0001,2023,4h,20,50,30,2.0,2023-07
1000FLOKIUSDT,1689552000000,0.6429182513653666,0.0001,2023,4h,20,50,30,2.0,2023-07
1000FLOKIUSDT,1691452800000,-1.0,0.0001,2023,4h,20,50,30,2.0,2023-08
1000FLOKIUSDT,1694361600000,0.78484383876898,0.0001,2023,4h,20,50,30,2.0,2023-09
1000FLOKIUSDT,1696852800000,-1.0,0.0001,2023,4h,20,50,30,2.0,2023-10
1000FLOKIUSDT,1703606400000,-1.0,0.00061527,2023,4h,20,50,30,2.0,2023-12
1000FLOKIUSDT,1703793600000,-0.0771902406364459,0.00037981,2023,4h,20,50,30,2.0,2023-12
1000FLOKIUSDT,1704283200000,1.277810893041595,0.00055104,2024,4h,20,50,30,2.0,2024-01
1000FLOKIUSDT,1705924800000,0.3302128859351247,0.0001,2024,4h,20,50,30,2.0,2024-01
1000FLOKIUSDT,1715198400000,-1.0,0.0001,2024,4h,20,50,30,2.0,2024-05
1000FLOKIUSDT,1721923200000,-1.0,0.0001,2024,4h,20,50,30,2.0,2024-07
1000FLOKIUSDT,1729699200000,1.291467884556889,0.0001,2024,4h,20,50,30,2.0,2024-10
1000FLOKIUSDT,1730419200000,1.5763476085449404,0.0001,2024,4h,20,50,30,2.0,2024-11
1000FLOKIUSDT,1737273600000,-1.0,0.0001,2025,4h,20,50,30,2.0,2025-01
1000FLOKIUSDT,1740153600000,1.1614466980795497,0.0001,2025,4h,20,50,30,2.0,2025-02
1000FLOKIUSDT,1755201600000,0.7904834658374863,0.0001,2025,4h,20,50,30,2.0,2025-08
1000FLOKIUSDT,1758312000000,2.029644886579157,0.0001,2025,4h,20,50,30,2.0,2025-09
1000FLOKIUSDT,1760112000000,2.173118184084461,0.0001,2025,4h,20,50,30,2.0,2025-10
1000PEPEUSDT,1696420800000,0.8470462087364908,0.0001,2023,4h,20,50,30,2.0,2023-10
1000PEPEUSDT,1703635200000,-1.0,0.00038273,2023,4h,20,50,30,2.0,2023-12
1000PEPEUSDT,1705262400000,0.6200901118935451,0.0001,2024,4h,20,50,30,2.0,2024-01
1000PEPEUSDT,1719705600000,-1.0,0.0001,2024,4h,20,50,30,2.0,2024-06
1000PEPEUSDT,1726531200000,-1.0,0.0001,2024,4h,20,50,30,2.0,2024-09
1000PEPEUSDT,1736294400000,0.616663127234344,0.0001,2025,4h,20,50,30,2.0,2025-01
1000PEPEUSDT,1737288000000,0.812001098052111,0.0001,2025,4h,20,50,30,2.0,2025-01
1000PEPEUSDT,1743278400000,-1.0,0.0001,2025,4h,20,50,30,2.0,2025-03
1000PEPEUSDT,1756094400000,0.3592554780582647,0.0001,2025,4h,20,50,30,2.0,2025-08
1000PEPEUSDT,1765526400000,1.6678403292918915,0.0001,2025,4h,20,50,30,2.0,2025-12
1000RATSUSDT,1708502400000,-1.0,0.00034838,2024,4h,20,50,30,2.0,2024-02
1000RATSUSDT,1712073600000,-1.0,0.00032532,2024,4h,20,50,30,2.0,2024-04
1000RATSUSDT,1712707200000,-1.0,0.00010597,2024,4h,20,50,30,2.0,2024-04
1000RATSUSDT,1716552000000,-1.0,0.00025537,2024,4h,20,50,30,2.0,2024-05
1000RATSUSDT,1720036800000,3.055826534796687,0.00019649,2024,4h,20,50,30,2.0,2024-07
1000RATSUSDT,1731628800000,-0.0279943467577709,0.00015439,2024,4h,20,50,30,2.0,2024-11
1000RATSUSDT,1733788800000,0.4831591960736907,0.0002418,2024,4h,20,50,30,2.0,2024-12
1000RATSUSDT,1750262400000,0.552935651159886,0.00018685,2025,4h,20,50,30,2.0,2025-06
1000RATSUSDT,1757937600000,-1.0,0.00016514,2025,4h,20,50,30,2.0,2025-09
1000RATSUSDT,1774368000000,-1.0,0.00018367,2026,4h,20,50,30,2.0,2026-03
1000RATSUSDT,1778241600000,-1.0,0.00018428,2026,4h,20,50,30,2.0,2026-05
1000RATSUSDT,1780545600000,-1.0,0.00028525,2026,4h,20,50,30,2.0,2026-06
1000SATSUSDT,1707638400000,-1.0,0.00032099,2024,4h,20,50,30,2.0,2024-02
1000SATSUSDT,1711540800000,-1.0,0.00031956,2024,4h,20,50,30,2.0,2024-03
1000SHIBUSDT,1629806400000,1.1001314221199443,0.00124876,2021,4h,20,50,30,2.0,2021-08
1000SHIBUSDT,1631001600000,-1.0,0.00037679,2021,4h,20,50,30,2.0,2021-09
1000SHIBUSDT,1632240000000,-1.0,0.0001,2021,4h,20,50,30,2.0,2021-09
1000SHIBUSDT,1638547200000,0.5928580168902673,0.00022349,2021,4h,20,50,30,2.0,2021-12
1000SHIBUSDT,1640822400000,0.0995170064206817,0.0001,2021,4h,20,50,30,2.0,2021-12
1000SHIBUSDT,1642420800000,5.527275688669373,0.0001,2022,4h,20,50,30,2.0,2022-01
1000SHIBUSDT,1649260800000,0.9237233641588084,0.0001,2022,4h,20,50,30,2.0,2022-04
1000SHIBUSDT,1650254400000,-1.0,0.0001,2022,4h,20,50,30,2.0,2022-04
1000SHIBUSDT,1664697600000,-1.0,0.0001,2022,4h,20,50,30,2.0,2022-10
1000SHIBUSDT,1665187200000,2.6663131274868457,0.0001,2022,4h,20,50,30,2.0,2022-10
1000SHIBUSDT,1678910400000,-1.0,0.0001,2023,4h,20,50,30,2.0,2023-03
1000SHIBUSDT,1679328000000,-1.0,0.0001,2023,4h,20,50,30,2.0,2023-03
1000SHIBUSDT,1680998400000,-1.0,0.0001,2023,4h,20,50,30,2.0,2023-04
1000SHIBUSDT,1681963200000,1.2067315123734332,0.0001,2023,4h,20,50,30,2.0,2023-04
1000SHIBUSDT,1684900800000,-0.4698084154405754,0.0001,2023,4h,20,50,30,2.0,2023-05
1000SHIBUSDT,1685520000000,-1.0,0.0001,2023,4h,20,50,30,2.0,2023-05
1000SHIBUSDT,1688630400000,-0.1450434965818795,0.0001,2023,4h,20,50,30,2.0,2023-07
1000SHIBUSDT,1689177600000,-1.0,0.0001,2023,4h,20,50,30,2.0,2023-07
1000SHIBUSDT,1689868800000,-1.0,0.0001,2023,4h,20,50,30,2.0,2023-07
1000SHIBUSDT,1690214400000,-1.0,0.0001,2023,4h,20,50,30,2.0,2023-07
1000SHIBUSDT,1695283200000,-1.0,0.0001,2023,4h,20,50,30,2.0,2023-09
1000SHIBUSDT,1695628800000,-0.4384244510422717,0.0001,2023,4h,20,50,30,2.0,2023-09
1000SHIBUSDT,1705276800000,0.8260962118704603,0.0001,2024,4h,20,50,30,2.0,2024-01
1000SHIBUSDT,1706716800000,0.5621711491163633,0.0001,2024,4h,20,50,30,2.0,2024-01
