symbol,entry_time,exit_time,entry_price,exit_price,initial_stop,initial_risk,exit_reason,bars_held,net_r,mae_r,mfe_r,vol_filtered,month,year
ETH/USDT,2020-12-17 00:00:00+00:00,2020-12-23 00:00:00+00:00,642.7,570.3082199681616,570.3082199681616,72.39178003183851,initial_stop,7,-0.9999999999999998,-1.2628505606547151,0.3764239529407237,True,2020-12,2020
BTC/USDT,2020-12-16 00:00:00+00:00,2021-01-04 00:00:00+00:00,21335.52,29680.4458970878,19631.475721517607,1704.044278482392,chandelier_stop,20,4.897129729821177,-0.06192327355130448,7.888638910235279,True,2021-01,2021
ADA/USDT,2020-12-29 00:00:00+00:00,2021-01-08 00:00:00+00:00,0.19067,0.2634787054714428,0.15729533722536895,0.03337466277463106,chandelier_stop,11,2.181556289065685,-0.6813551991088662,4.932783923891495,True,2021-01,2021
HBAR/USDT,2021-01-08 00:00:00+00:00,2021-01-09 00:00:00+00:00,0.06091,0.053452936706277245,0.053452936706277245,0.007457063293722756,initial_stop,2,-0.9999999999999998,-1.6843091583482765,0.17299035145456015,True,2021-01,2021
IOST/USDT,2021-01-08 00:00:00+00:00,2021-01-10 00:00:00+00:00,0.008581,0.010275968163217228,0.007521642051244878,0.0010593579487551221,chandelier_stop,3,1.5999957004230978,-0.6173550694253361,4.685857132457749,True,2021-01,2021
TRX/USDT,2021-01-09 00:00:00+00:00,2021-01-11 00:00:00+00:00,0.03382,0.0284527646609406,0.0284527646609406,0.005367235339059402,initial_stop,3,-1.0000000000000002,-1.281851747757666,0.5440417301529624,True,2021-01,2021
ZEC/USDT,2021-01-10 00:00:00+00:00,2021-01-11 00:00:00+00:00,96.37,81.29816750527488,81.29816750527488,15.071832494725129,initial_stop,2,-1.0,-1.246032956282699,0.8359965521385517,True,2021-01,2021
FET/USDT,2021-01-06 00:00:00+00:00,2021-01-11 00:00:00+00:00,0.07311,0.059112473124272556,0.059112473124272556,0.013997526875727436,initial_stop,6,-1.0000000000000002,-1.5059803197487691,0.7908539914430216,True,2021-01,2021
ETH/USDT,2020-12-27 00:00:00+00:00,2021-01-11 00:00:00+00:00,685.11,1023.3832979089193,602.4912571370107,82.61874286298932,chandelier_stop,16,4.094389313934422,-0.04926242955245069,8.027476296750846,True,2021-01,2021
CELR/USDT,2021-01-06 00:00:00+00:00,2021-01-11 00:00:00+00:00,0.00704,0.005657295963126609,0.005657295963126609,0.0013827040368733913,initial_stop,6,-0.9999999999999997,-1.2945648181136418,1.0559020304167137,True,2021-01,2021
ZEC/USDT,2021-01-13 00:00:00+00:00,2021-01-15 00:00:00+00:00,117.35,95.25774198581956,95.25774198581956,22.092258014180434,initial_stop,3,-0.9999999999999999,-1.03746751397201,0.06970767764035352,True,2021-01,2021
HBAR/USDT,2021-01-20 00:00:00+00:00,2021-01-22 00:00:00+00:00,0.10057,0.08376872441752684,0.08376872441752684,0.016801275582473175,initial_stop,3,-0.9999999999999998,-1.395727359204957,1.434414897946245,True,2021-01,2021
MTL/USDT,2021-02-04 00:00:00+00:00,2021-02-06 00:00:00+00:00,0.5291,0.7763426285245313,0.43941146031876976,0.08968853968123026,chandelier_stop,3,2.75668027825269,0.0,5.494570451826987,True,2021-02,2021
ZRX/USDT,2021-01-05 00:00:00+00:00,2021-02-06 00:00:00+00:00,0.4447,1.487408339948828,0.3738027929760674,0.07089720702393258,chandelier_stop,33,14.707326053011421,-0.892841941977093,21.79634522807587,True,2021-02,2021
VTHO/USDT,2021-02-09 00:00:00+00:00,2021-02-10 00:00:00+00:00,0.002828,0.002409421879900784,0.002409421879900784,0.000418578120099216,initial_stop,2,-0.9999999999999998,-1.0225092508384115,2.1381910735990157,True,2021-02,2021
VTHO/USDT,2021-02-12 00:00:00+00:00,2021-02-14 00:00:00+00:00,0.004864,0.0063598065335146855,0.004062741935182953,0.0008012580648170474,chandelier_stop,3,1.866822437358213,-0.4767502715710239,5.111961027107098,True,2021-02,2021
ETC/USDT,2021-01-04 00:00:00+00:00,2021-02-15 00:00:00+00:00,7.0374,14.14609478181734,6.049862150770024,0.9875378492299757,chandelier_stop,43,7.198402357297277,-0.7793119024248931,11.283213102858133,True,2021-02,2021
ICX/USDT,2020-12-29 00:00:00+00:00,2021-02-15 00:00:00+00:00,0.4673,1.1945543438854207,0.3805488522260336,0.08675114777396643,chandelier_stop,49,8.383224459234945,-0.4876016177931655,16.706407202544558,True,2021-02,2021
VET/USDT,2020-12-28 00:00:00+00:00,2021-02-15 00:00:00+00:00,0.020212,0.04443001581415286,0.01639823231643256,0.0038137676835674427,chandelier_stop,50,6.350154971028294,-0.5144518918794562,10.635676676052233,True,2021-02,2021
CELR/USDT,2021-02-04 00:00:00+00:00,2021-02-15 00:00:00+00:00,0.01052,0.01754478096345554,0.008238634703079485,0.0022813652969205143,chandelier_stop,12,3.0792004125502803,-0.35505054849978346,6.347076471946748,True,2021-02,2021
ADA/USDT,2021-02-02 00:00:00+00:00,2021-02-15 00:00:00+00:00,0.42498,0.740371736725228,0.33430000279162886,0.09067999720837117,chandelier_stop,14,3.4780739571539434,-0.16486546603708874,6.1206442113648745,True,2021-02,2021
IOST/USDT,2021-01-14 00:00:00+00:00,2021-02-15 00:00:00+00:00,0.01478,0.027124207850515288,0.011560315870290976,0.003219684129709023,chandelier_stop,33,3.833981022116877,-0.5882564635839507,7.211887584170715,True,2021-02,2021
QTUM/USDT,2021-01-06 00:00:00+00:00,2021-02-15 00:00:00+00:00,3.013,6.653740171982655,2.5369918514827923,0.47600814851720763,chandelier_stop,41,7.648482874345254,-0.9705716203370802,12.262395125340996,True,2021-02,2021
FET/USDT,2021-01-15 00:00:00+00:00,2021-02-15 00:00:00+00:00,0.08851,0.1941719899772643,0.06678178263928555,0.021728217360714452,chandelier_stop,32,4.862892717941311,-0.6765396238431521,9.148932777127904,True,2021-02,2021
ZEC/USDT,2021-02-09 00:00:00+00:00,2021-02-15 00:00:00+00:00,108.77,147.49922357401954,91.3189600207446,17.451039979255395,chandelier_stop,7,2.219307480818232,-0.13810065204508384,4.691410947274286,True,2021-02,2021
ARDR/USDT,2021-02-05 00:00:00+00:00,2021-02-17 00:00:00+00:00,0.09638,0.16169211994180357,0.07846830082555212,0.01791169917444788,chandelier_stop,13,3.6463385916493767,-0.298687463868983,6.901634445510976,True,2021-02,2021
ADA/USDT,2021-02-20 00:00:00+00:00,2021-02-22 00:00:00+00:00,1.11568,0.9374451790242133,0.9374451790242133,0.17823482097578663,initial_stop,3,-1.0000000000000002,-1.5972187614151676,0.20220515723409704,True,2021-02,2021
FET/USDT,2021-02-18 00:00:00+00:00,2021-02-22 00:00:00+00:00,0.30729,0.22891099915859456,0.22891099915859456,0.07837900084140545,initial_stop,5,-1.0,-1.1124153033849338,0.1522091360176884,True,2021-02,2021
DUSK/USDT,2021-02-10 00:00:00+00:00,2021-02-22 00:00:00+00:00,0.1437,0.1846702533425532,0.11955935293705784,0.02414064706294215,chandelier_stop,13,1.6971481019432098,-0.2775401994209603,5.231839878636922,True,2021-02,2021
TRX/USDT,2021-02-09 00:00:00+00:00,2021-02-23 00:00:00+00:00,0.04608,0.03915846486974612,0.03915846486974612,0.0069215351302538836,initial_stop,15,-1.0,-1.1673710886306847,2.659814571991448,True,2021-02,2021
SC/USDT,2021-01-28 00:00:00+00:00,2021-02-23 00:00:00+00:00,0.005682,0.009909475529592574,0.004547555752717066,0.001134444247282935,chandelier_stop,27,3.7264727109486797,-0.017629777794634954,7.680412696232696,True,2021-02,2021
ICX/USDT,2021-02-15 00:00:00+00:00,2021-02-23 00:00:00+00:00,1.7707,1.4093574509766889,1.4093574509766889,0.36134254902331103,initial_stop,9,-1.0000000000000002,-1.7066907887457652,1.9626805697721696,True,2021-02,2021
