block_size,mc_runs,total_r_p05,total_r_p50,total_r_p95,dd_p95,pf_p05,pf_p50,prob_positive,gate_pass
1,5000,412.39380256281703,596.7615281486394,823.0190429610676,-8.3051352205987,2.854021568007461,3.795377073493671,1.0,True
5,5000,366.9941768790893,594.560653722129,866.1052494706411,-11.528038287198891,2.6230126731601198,3.7876729122673956,1.0,True
10,5000,319.73973836250394,591.3956756261073,902.2193320850287,-13.390276360509088,2.389378871207068,3.7674202654768147,1.0,True
20,5000,275.514199309253,587.4160686966079,985.0288444599641,-15.282581878463576,2.1766583959975185,3.7587328512725717,1.0,True
50,5000,200.50842938037485,583.0217528399119,1059.9777330954228,-18.686521641987895,1.8296847811753365,3.725539575200594,0.9998,True
