timeframe,side,extra_cost_r_per_trade,trades,total_r,avg_r,median_r,win_rate,profit_factor,max_dd_r,best_trade_r,worst_trade_r,losing_streak,std_r,t_score
1d,ALL,0.0,271,64.23656743217195,0.23703530417775628,-0.8273150377146526,0.2767527675276753,1.393392988520768,-45.300894542205654,38.58857074967325,-1.000000000000001,28,3.429836314893123,1.1376909044401926
1d,ALL,0.02,271,58.81656743217195,0.21703530417775627,-0.8473150377146527,0.2730627306273063,1.3517527504537878,-48.100894542205346,38.56857074967325,-1.0200000000000011,28,3.429836314893123,1.0416975326184978
1d,ALL,0.05,271,50.686567432171955,0.1870353041777563,-0.8773150377146527,0.2656826568265683,1.2927089229630508,-52.300894542205405,38.538570749673255,-1.0500000000000012,28,3.4298363148931235,0.8977074748859559
1d,ALL,0.1,271,37.136567432171915,0.13703530417775614,-0.9273150377146526,0.2656826568265683,1.2028060290854898,-59.41974916887489,38.48857074967325,-1.1000000000000012,28,3.429836314893123,0.6577240453317187
1d,ALL,0.15,271,23.586567432171975,0.08703530417775636,-0.9773150377146527,0.25830258302583026,1.122146814580816,-66.66974916887516,38.438570749673254,-1.150000000000001,28,3.4298363148931235,0.417740615777483
1d,ALL,0.2,271,10.036567432171935,0.03703530417775622,-1.0273150377146527,0.25461254612546125,1.0493946654087372,-73.91974916887528,38.38857074967325,-1.200000000000001,28,3.429836314893123,0.1777571862232457
1d,LONG,0.0,271,64.23656743217195,0.23703530417775628,-0.8273150377146526,0.2767527675276753,1.393392988520768,-45.300894542205654,38.58857074967325,-1.000000000000001,28,3.429836314893123,1.1376909044401926
1d,LONG,0.02,271,58.81656743217195,0.21703530417775627,-0.8473150377146527,0.2730627306273063,1.3517527504537878,-48.100894542205346,38.56857074967325,-1.0200000000000011,28,3.429836314893123,1.0416975326184978
1d,LONG,0.05,271,50.686567432171955,0.1870353041777563,-0.8773150377146527,0.2656826568265683,1.2927089229630508,-52.300894542205405,38.538570749673255,-1.0500000000000012,28,3.4298363148931235,0.8977074748859559
1d,LONG,0.1,271,37.136567432171915,0.13703530417775614,-0.9273150377146526,0.2656826568265683,1.2028060290854898,-59.41974916887489,38.48857074967325,-1.1000000000000012,28,3.429836314893123,0.6577240453317187
1d,LONG,0.15,271,23.586567432171975,0.08703530417775636,-0.9773150377146527,0.25830258302583026,1.122146814580816,-66.66974916887516,38.438570749673254,-1.150000000000001,28,3.4298363148931235,0.417740615777483
1d,LONG,0.2,271,10.036567432171935,0.03703530417775622,-1.0273150377146527,0.25461254612546125,1.0493946654087372,-73.91974916887528,38.38857074967325,-1.200000000000001,28,3.429836314893123,0.1777571862232457
ALL_TF,ALL,0.0,271,64.23656743217195,0.23703530417775628,-0.8273150377146526,0.2767527675276753,1.393392988520768,-45.300894542205654,38.58857074967325,-1.000000000000001,28,3.429836314893123,1.1376909044401926
ALL_TF,ALL,0.02,271,58.81656743217195,0.21703530417775627,-0.8473150377146527,0.2730627306273063,1.3517527504537878,-48.100894542205346,38.56857074967325,-1.0200000000000011,28,3.429836314893123,1.0416975326184978
ALL_TF,ALL,0.05,271,50.686567432171955,0.1870353041777563,-0.8773150377146527,0.2656826568265683,1.2927089229630508,-52.300894542205405,38.538570749673255,-1.0500000000000012,28,3.4298363148931235,0.8977074748859559
ALL_TF,ALL,0.1,271,37.136567432171915,0.13703530417775614,-0.9273150377146526,0.2656826568265683,1.2028060290854898,-59.41974916887489,38.48857074967325,-1.1000000000000012,28,3.429836314893123,0.6577240453317187
ALL_TF,ALL,0.15,271,23.586567432171975,0.08703530417775636,-0.9773150377146527,0.25830258302583026,1.122146814580816,-66.66974916887516,38.438570749673254,-1.150000000000001,28,3.4298363148931235,0.417740615777483
ALL_TF,ALL,0.2,271,10.036567432171935,0.03703530417775622,-1.0273150377146527,0.25461254612546125,1.0493946654087372,-73.91974916887528,38.38857074967325,-1.200000000000001,28,3.429836314893123,0.1777571862232457
