timeframe,side,block_size,trades,mc_runs,total_r_p05,total_r_p50,total_r_p95,dd_r_p05,dd_r_p50,dd_r_p95,pf_p05,pf_p50,pf_p95,prob_total_r_positive,prob_pf_above_1
1d,ALL,1,271,2000,-23.02783255549948,58.82840928201216,166.96922181810274,-54.4805654210136,-27.71379846404687,-15.580713908500625,0.8677595025593016,1.362057172401059,2.060262124334386,0.8685,0.8685
1d,ALL,3,271,2000,-34.43267699786299,57.338948442756475,176.59711524754303,-65.95575879690429,-34.53744925649407,-18.536888002959824,0.7963523501456483,1.3552093193162231,2.151972402321555,0.8275,0.8275
1d,ALL,5,271,2000,-36.22666236520797,61.802887398458765,189.3728940774013,-69.30618336151923,-36.4153459432832,-20.09121460644099,0.7842733119272381,1.378530768619914,2.212453341259138,0.8235,0.8235
1d,ALL,10,271,2000,-56.880198801793036,59.627334156297565,212.97504382075283,-88.53798521279573,-43.93792772281314,-22.910381833314165,0.6689446789590249,1.3646561425461354,2.3844682656024703,0.7645,0.7645
1d,ALL,20,271,2000,-81.18818635204251,56.04994239785189,234.86748291517415,-106.36091028683754,-52.988417075152626,-26.501108239869414,0.5424936112377841,1.3437284098788234,2.613574609665231,0.7245,0.7245
1d,LONG,1,271,2000,-25.31807500155241,57.25776816920611,163.453441314518,-54.76264899711239,-27.687228955381748,-15.99010218601404,0.8475340081592219,1.3478865329111174,2.020243735240831,0.8615,0.8615
1d,LONG,3,271,2000,-33.29165122386416,60.595992221054885,173.09623454472265,-65.82182742206942,-34.18336482957404,-18.609826335970283,0.8084230762619088,1.3705158983708985,2.1078652065821535,0.8355,0.8355
1d,LONG,5,271,2000,-36.78789733086032,58.69034065310912,183.5769762119095,-70.37979725156872,-37.32577254582645,-20.62256235031268,0.792359154039247,1.3609971781712336,2.186663354163657,0.83,0.83
1d,LONG,10,271,2000,-53.487633335759746,61.50205162155721,213.87079673875797,-87.0294399867166,-44.35188785930524,-22.934196188845466,0.6986727508128954,1.3762603271821325,2.4282880024242255,0.7755,0.7755
1d,LONG,20,271,2000,-76.33188569393661,58.23296986434936,241.59457133631818,-100.54438921323595,-52.3094038459023,-26.537620921354115,0.5654287138070162,1.3542429341227007,2.659614264417231,0.72,0.72
ALL_TF,ALL,1,271,2000,-22.259962021485258,61.53992396193214,164.89769475783896,-53.60444193089434,-27.78884642835707,-15.136587680643231,0.8685867066308557,1.3785708115820636,2.0502751898262757,0.8765,0.8765
ALL_TF,ALL,3,271,2000,-28.643744180731776,59.91603132255066,176.20818007941355,-63.062620579490165,-33.086566266333286,-18.50255486525231,0.8343968092255077,1.3686727981358484,2.1330354614043228,0.856,0.856
ALL_TF,ALL,5,271,2000,-40.98058409968035,60.417386821075524,186.613621748335,-70.7723104974392,-36.36861287957661,-19.912581460712946,0.7607996018814543,1.370363142146445,2.1826580813004677,0.8225,0.8225
ALL_TF,ALL,10,271,2000,-57.381226261935346,57.356050438122,209.13863313408353,-87.5132230486051,-44.79619024808222,-23.47141750522077,0.66997646847235,1.3521466472884285,2.3678907749014177,0.776,0.776
ALL_TF,ALL,20,271,2000,-82.16384367864042,54.41858799981285,245.53733421996847,-108.18312767432785,-52.766566441715284,-24.980737019558802,0.5310082637532797,1.3332087415337972,2.682246520551851,0.7235,0.7235
