timeframe,side,block_size,trades,mc_runs,total_r_p05,total_r_p50,total_r_p95,dd_r_p05,dd_r_p50,dd_r_p95,pf_p05,pf_p50,pf_p95,prob_total_r_positive,prob_pf_above_1
1d,ALL,1,196,2000,-10.350671752756115,67.8559793106046,168.25384834490802,-48.78295926393588,-25.053276583752616,-14.34512917222832,0.92630289903854,1.5027263013189995,2.301487111998483,0.9135,0.9135
1d,ALL,3,196,2000,-23.183823658662156,66.34232923558147,178.62459453871665,-56.571928792412855,-29.223054185468833,-15.788598808058241,0.8354804602972709,1.490385959478881,2.4095261469296636,0.883,0.883
1d,ALL,5,196,2000,-29.336463996157427,67.69768188692325,191.85650361821803,-64.9220446634615,-33.340660015734926,-18.449358400901367,0.7985280330677139,1.5058026826508377,2.561412402908312,0.8605,0.8605
1d,ALL,10,196,2000,-50.77997695874239,63.40929535074487,209.40534791863135,-82.31052385587327,-41.32782273636181,-20.57845948703772,0.658022009209349,1.4749694104213626,2.6958099160320623,0.8065,0.8065
1d,ALL,20,196,2000,-74.69876054312844,58.570422490038965,233.58064751025242,-101.68032485838019,-49.50289334958022,-24.929589560236046,0.4998689816351626,1.4354915736200686,2.9845040007568087,0.745,0.745
1d,LONG,1,196,2000,-16.18993892727637,66.0189190150385,169.15817396157772,-48.1810802181396,-25.36598886493904,-14.264530635645036,0.8885093521799408,1.4937669953231272,2.299939816347624,0.91,0.91
1d,LONG,3,196,2000,-23.061207029657158,70.49322547919033,182.56280755895455,-55.4619880096669,-28.4301931808152,-15.999689889195514,0.8366389515934006,1.5284358577909751,2.4516531071848333,0.894,0.894
1d,LONG,5,196,2000,-33.317362858662364,68.57543269209486,194.92069802608484,-65.58677172501618,-33.45687254095106,-17.575704921552838,0.7671826401325382,1.5062695868684917,2.5376791792561413,0.854,0.854
1d,LONG,10,196,2000,-52.52116824690259,64.86125515805128,214.93052910334794,-81.2350455796675,-41.43505393062735,-20.010779762667582,0.6497712089502153,1.4859221167915888,2.751663016793729,0.8095,0.8095
1d,LONG,20,196,2000,-70.85221605631477,68.5022746678642,229.32445743877207,-99.57465754331405,-48.47722704436889,-23.481702460769363,0.5228421370313266,1.5056302138515296,2.947499319188184,0.7615,0.7615
ALL_TF,ALL,1,196,2000,-15.961137528024981,65.34436800911426,173.5179340735506,-48.43599435082405,-24.992580190102814,-14.0,0.8864195260120679,1.482782194824722,2.3513463672311645,0.897,0.897
ALL_TF,ALL,3,196,2000,-18.19545408063105,68.09064334804177,182.55658211385898,-53.805574737251234,-28.44664644483374,-15.752048654259108,0.8709028123184578,1.506185012784129,2.441733752773944,0.8925,0.8925
ALL_TF,ALL,5,196,2000,-35.26718401653815,64.6610246799271,190.67269336946208,-65.42702417180858,-33.944606491891946,-17.695786045590093,0.7500224781298309,1.4794835449717416,2.5213860373893344,0.845,0.845
ALL_TF,ALL,10,196,2000,-49.451112520578796,67.98444479762365,215.25801803776025,-80.93169413964523,-41.5757691879547,-20.573074500103264,0.660000802910027,1.5182674997871897,2.746910350302923,0.8155,0.8155
ALL_TF,ALL,20,196,2000,-70.92673756171746,64.74634409065703,227.55024668021065,-99.29666608856685,-48.99315319939721,-23.20141634776916,0.5184701676544836,1.4767178873664646,2.917909675075413,0.7675,0.7675
