timeframe,side,removed_top_months_n,removed_months,months_remaining,trades,total_r,avg_r,median_r,win_rate,profit_factor,max_dd_r,best_trade_r,worst_trade_r,losing_streak,std_r,t_score
1d,ALL,0,,25,271,64.23656743217195,0.23703530417775628,-0.8273150377146526,0.2767527675276753,1.393392988520768,-45.300894542205654,38.58857074967325,-1.000000000000001,28,3.429836314893123,1.1376909044401926
1d,ALL,1,2024-12,24,223,-63.90531935107339,-0.28657093879405104,-0.9369676320272572,0.22869955156950672,0.5498622956485975,-63.15834111527731,9.59620417247536,-1.000000000000001,28,1.3187498790644263,-3.2450556211587305
1d,ALL,2,"2024-12,2025-07",23,199,-79.11465408236842,-0.3975610757907961,-0.9999999999999992,0.18592964824120603,0.4102413788246503,-78.36767584657234,9.59620417247536,-1.000000000000001,28,1.2387967635650692,-4.5272068001153745
1d,ALL,3,"2024-12,2025-07,2025-08",22,187,-82.1806277171985,-0.43946859741817385,-0.9999999999999992,0.17647058823529413,0.3498957462152122,-81.43364948140243,9.59620417247536,-1.000000000000001,28,1.121722821196393,-5.357511295254573
1d,LONG,0,,25,271,64.23656743217195,0.23703530417775628,-0.8273150377146526,0.2767527675276753,1.393392988520768,-45.300894542205654,38.58857074967325,-1.000000000000001,28,3.429836314893123,1.1376909044401926
1d,LONG,1,2024-12,24,223,-63.90531935107339,-0.28657093879405104,-0.9369676320272572,0.22869955156950672,0.5498622956485975,-63.15834111527731,9.59620417247536,-1.000000000000001,28,1.3187498790644263,-3.2450556211587305
1d,LONG,2,"2024-12,2025-07",23,199,-79.11465408236842,-0.3975610757907961,-0.9999999999999992,0.18592964824120603,0.4102413788246503,-78.36767584657234,9.59620417247536,-1.000000000000001,28,1.2387967635650692,-4.5272068001153745
1d,LONG,3,"2024-12,2025-07,2025-08",22,187,-82.1806277171985,-0.43946859741817385,-0.9999999999999992,0.17647058823529413,0.3498957462152122,-81.43364948140243,9.59620417247536,-1.000000000000001,28,1.121722821196393,-5.357511295254573
ALL_TF,ALL,0,,25,271,64.23656743217195,0.23703530417775628,-0.8273150377146526,0.2767527675276753,1.393392988520768,-45.300894542205654,38.58857074967325,-1.000000000000001,28,3.429836314893123,1.1376909044401926
ALL_TF,ALL,1,2024-12,24,223,-63.90531935107339,-0.28657093879405104,-0.9369676320272572,0.22869955156950672,0.5498622956485975,-63.15834111527731,9.59620417247536,-1.000000000000001,28,1.3187498790644263,-3.2450556211587305
ALL_TF,ALL,2,"2024-12,2025-07",23,199,-79.11465408236842,-0.3975610757907961,-0.9999999999999992,0.18592964824120603,0.4102413788246503,-78.36767584657234,9.59620417247536,-1.000000000000001,28,1.2387967635650692,-4.5272068001153745
ALL_TF,ALL,3,"2024-12,2025-07,2025-08",22,187,-82.1806277171985,-0.43946859741817385,-0.9999999999999992,0.17647058823529413,0.3498957462152122,-81.43364948140243,9.59620417247536,-1.000000000000001,28,1.121722821196393,-5.357511295254573
