timeframe,side,removed_top_assets_n,removed_assets,assets_remaining,trades,total_r,avg_r,median_r,win_rate,profit_factor,max_dd_r,best_trade_r,worst_trade_r,losing_streak,std_r,t_score
1d,ALL,0,,51,196,71.03644091087318,0.36243082097384277,-0.9999999999999996,0.2653061224489796,1.5276558498662745,-41.01333671403228,39.28250755040403,-1.000000000000001,20,3.9899079903874433,1.2717164169846136
1d,ALL,1,XRP/USDT,50,192,28.633887691061602,0.1491348317242792,-0.9999999999999996,0.2552083333333333,1.2142830617706688,-41.568200627486384,21.273584905660385,-1.000000000000001,20,2.8657738524399154,0.7210872009450777
1d,ALL,3,"XRP/USDT,ALGO/USDT,ADA/USDT",48,186,-10.57032079283189,-0.05682968168189188,-0.9999999999999996,0.24193548387096775,0.9196945619654101,-41.568200627486384,10.85665294924554,-1.000000000000001,20,2.1095681209443837,-0.36739914528692463
1d,ALL,5,"XRP/USDT,ALGO/USDT,ADA/USDT,AMP/USDT,ASR/USDT",46,181,-28.376817794036764,-0.15677799886208157,-0.9999999999999996,0.23756906077348067,0.7802838314404668,-44.823648562158574,10.789741847826086,-1.000000000000001,20,1.8417183806347277,-1.1452523239823842
1d,ALL,10,"XRP/USDT,ALGO/USDT,ADA/USDT,AMP/USDT,ASR/USDT,LINK/USDT,SUI/USDT,DOGE/USDT,LTC/USDT,ANKR/USDT",41,160,-55.041074852121646,-0.3440067178257603,-0.9999999999999996,0.2,0.5424450812468621,-54.04107485212166,10.059948979591834,-1.000000000000001,29,1.5287451227643811,-2.846373126636399
1d,LONG,0,,51,196,71.03644091087318,0.36243082097384277,-0.9999999999999996,0.2653061224489796,1.5276558498662745,-41.01333671403228,39.28250755040403,-1.000000000000001,20,3.9899079903874433,1.2717164169846136
1d,LONG,1,XRP/USDT,50,192,28.633887691061602,0.1491348317242792,-0.9999999999999996,0.2552083333333333,1.2142830617706688,-41.568200627486384,21.273584905660385,-1.000000000000001,20,2.8657738524399154,0.7210872009450777
1d,LONG,3,"XRP/USDT,ALGO/USDT,ADA/USDT",48,186,-10.57032079283189,-0.05682968168189188,-0.9999999999999996,0.24193548387096775,0.9196945619654101,-41.568200627486384,10.85665294924554,-1.000000000000001,20,2.1095681209443837,-0.36739914528692463
1d,LONG,5,"XRP/USDT,ALGO/USDT,ADA/USDT,AMP/USDT,ASR/USDT",46,181,-28.376817794036764,-0.15677799886208157,-0.9999999999999996,0.23756906077348067,0.7802838314404668,-44.823648562158574,10.789741847826086,-1.000000000000001,20,1.8417183806347277,-1.1452523239823842
1d,LONG,10,"XRP/USDT,ALGO/USDT,ADA/USDT,AMP/USDT,ASR/USDT,LINK/USDT,SUI/USDT,DOGE/USDT,LTC/USDT,ANKR/USDT",41,160,-55.041074852121646,-0.3440067178257603,-0.9999999999999996,0.2,0.5424450812468621,-54.04107485212166,10.059948979591834,-1.000000000000001,29,1.5287451227643811,-2.846373126636399
ALL_TF,ALL,0,,51,196,71.03644091087318,0.36243082097384277,-0.9999999999999996,0.2653061224489796,1.5276558498662745,-41.01333671403228,39.28250755040403,-1.000000000000001,20,3.9899079903874433,1.2717164169846136
ALL_TF,ALL,1,XRP/USDT,50,192,28.633887691061602,0.1491348317242792,-0.9999999999999996,0.2552083333333333,1.2142830617706688,-41.568200627486384,21.273584905660385,-1.000000000000001,20,2.8657738524399154,0.7210872009450777
ALL_TF,ALL,3,"XRP/USDT,ALGO/USDT,ADA/USDT",48,186,-10.57032079283189,-0.05682968168189188,-0.9999999999999996,0.24193548387096775,0.9196945619654101,-41.568200627486384,10.85665294924554,-1.000000000000001,20,2.1095681209443837,-0.36739914528692463
ALL_TF,ALL,5,"XRP/USDT,ALGO/USDT,ADA/USDT,AMP/USDT,ASR/USDT",46,181,-28.376817794036764,-0.15677799886208157,-0.9999999999999996,0.23756906077348067,0.7802838314404668,-44.823648562158574,10.789741847826086,-1.000000000000001,20,1.8417183806347277,-1.1452523239823842
ALL_TF,ALL,10,"XRP/USDT,ALGO/USDT,ADA/USDT,AMP/USDT,ASR/USDT,LINK/USDT,SUI/USDT,DOGE/USDT,LTC/USDT,ANKR/USDT",41,160,-55.041074852121646,-0.3440067178257603,-0.9999999999999996,0.2,0.5424450812468621,-54.04107485212166,10.059948979591834,-1.000000000000001,29,1.5287451227643811,-2.846373126636399
