timeframe,side,extra_cost_r_per_trade,trades,total_r,avg_r,median_r,win_rate,profit_factor,max_dd_r,best_trade_r,worst_trade_r,losing_streak,std_r,t_score
1d,ALL,0.0,196,71.03644091087318,0.36243082097384277,-0.9999999999999996,0.2653061224489796,1.5276558498662745,-41.01333671403228,39.28250755040403,-1.000000000000001,20,3.9899079903874433,1.2717164169846136
1d,ALL,0.02,196,67.11644091087318,0.34243082097384275,-1.0199999999999996,0.2653061224489796,1.4880966268538935,-42.07333671403227,39.262507550404024,-1.0200000000000011,20,3.989907990387443,1.2015393601014521
1d,ALL,0.05,196,61.23644091087317,0.3124308209738427,-1.0499999999999996,0.2602040816326531,1.4317691779556272,-43.663336714032255,39.23250755040403,-1.0500000000000012,20,3.989907990387443,1.0962737747767097
1d,ALL,0.1,196,51.436440910873195,0.26243082097384285,-1.0999999999999996,0.2602040816326531,1.3450331698875473,-46.313336714032296,39.182507550404026,-1.1000000000000012,20,3.989907990387443,0.9208311325688066
1d,ALL,0.15,196,41.6364409108732,0.21243082097384283,-1.1499999999999995,0.2602040816326531,1.2663423090099497,-48.96333671403224,39.13250755040403,-1.150000000000001,20,3.9899079903874433,0.7453884903609028
1d,ALL,0.2,196,31.83644091087318,0.16243082097384276,-1.1999999999999995,0.2602040816326531,1.1946268717970208,-51.61333671403232,39.082507550404024,-1.200000000000001,20,3.989907990387443,0.569945848152999
1d,LONG,0.0,196,71.03644091087318,0.36243082097384277,-0.9999999999999996,0.2653061224489796,1.5276558498662745,-41.01333671403228,39.28250755040403,-1.000000000000001,20,3.9899079903874433,1.2717164169846136
1d,LONG,0.02,196,67.11644091087318,0.34243082097384275,-1.0199999999999996,0.2653061224489796,1.4880966268538935,-42.07333671403227,39.262507550404024,-1.0200000000000011,20,3.989907990387443,1.2015393601014521
1d,LONG,0.05,196,61.23644091087317,0.3124308209738427,-1.0499999999999996,0.2602040816326531,1.4317691779556272,-43.663336714032255,39.23250755040403,-1.0500000000000012,20,3.989907990387443,1.0962737747767097
1d,LONG,0.1,196,51.436440910873195,0.26243082097384285,-1.0999999999999996,0.2602040816326531,1.3450331698875473,-46.313336714032296,39.182507550404026,-1.1000000000000012,20,3.989907990387443,0.9208311325688066
1d,LONG,0.15,196,41.6364409108732,0.21243082097384283,-1.1499999999999995,0.2602040816326531,1.2663423090099497,-48.96333671403224,39.13250755040403,-1.150000000000001,20,3.9899079903874433,0.7453884903609028
1d,LONG,0.2,196,31.83644091087318,0.16243082097384276,-1.1999999999999995,0.2602040816326531,1.1946268717970208,-51.61333671403232,39.082507550404024,-1.200000000000001,20,3.989907990387443,0.569945848152999
ALL_TF,ALL,0.0,196,71.03644091087318,0.36243082097384277,-0.9999999999999996,0.2653061224489796,1.5276558498662745,-41.01333671403228,39.28250755040403,-1.000000000000001,20,3.9899079903874433,1.2717164169846136
ALL_TF,ALL,0.02,196,67.11644091087318,0.34243082097384275,-1.0199999999999996,0.2653061224489796,1.4880966268538935,-42.07333671403227,39.262507550404024,-1.0200000000000011,20,3.989907990387443,1.2015393601014521
ALL_TF,ALL,0.05,196,61.23644091087317,0.3124308209738427,-1.0499999999999996,0.2602040816326531,1.4317691779556272,-43.663336714032255,39.23250755040403,-1.0500000000000012,20,3.989907990387443,1.0962737747767097
ALL_TF,ALL,0.1,196,51.436440910873195,0.26243082097384285,-1.0999999999999996,0.2602040816326531,1.3450331698875473,-46.313336714032296,39.182507550404026,-1.1000000000000012,20,3.989907990387443,0.9208311325688066
ALL_TF,ALL,0.15,196,41.6364409108732,0.21243082097384283,-1.1499999999999995,0.2602040816326531,1.2663423090099497,-48.96333671403224,39.13250755040403,-1.150000000000001,20,3.9899079903874433,0.7453884903609028
ALL_TF,ALL,0.2,196,31.83644091087318,0.16243082097384276,-1.1999999999999995,0.2602040816326531,1.1946268717970208,-51.61333671403232,39.082507550404024,-1.200000000000001,20,3.989907990387443,0.569945848152999
