entry_n,exit_n,trades,total_r,avg_r,profit_factor
15,7,439,372.67691699069417,0.8489223621655904,2.612058000543397
20,10,388,355.5359361303881,0.9163297322948147,2.70966425224767
25,12,372,336.67919692542534,0.9050516046382402,2.6213835119138946
