symbol,entry_time,exit_time,entry_price,exit_price,initial_stop,initial_risk,exit_reason,bars_held,net_r,mae_r,mfe_r,month
ETH/USDT,2020-12-17 00:00:00+00:00,2020-12-23 00:00:00+00:00,642.7,570.3082199681616,570.3082199681616,72.39178003183851,initial_stop,7,-0.9999999999999998,-1.2628505606547151,0.3764239529407237,2020-12
BTC/USDT,2020-12-17 00:00:00+00:00,2021-01-04 00:00:00+00:00,22797.16,29680.4458970878,20888.91888426635,1908.2411157336498,chandelier_stop,19,3.6071363520754165,-0.51469386751076,6.27853047563843,2021-01
ADA/USDT,2020-12-30 00:00:00+00:00,2021-01-08 00:00:00+00:00,0.18389,0.2634787054714428,0.14944067028069974,0.03444932971930027,chandelier_stop,10,2.310312163399021,-0.46328913015275286,4.975713646584171,2021-01
IOST/USDT,2021-01-09 00:00:00+00:00,2021-01-10 00:00:00+00:00,0.011344,0.009861310476155958,0.009861310476155958,0.0014826895238440419,initial_stop,2,-0.9999999999999999,-1.3880181702939394,1.2544770635309666,2021-01
FET/USDT,2021-01-07 00:00:00+00:00,2021-01-11 00:00:00+00:00,0.07112,0.05555086790111024,0.05555086790111024,0.015569132098889762,initial_stop,5,-1.0000000000000002,-1.226144134351671,0.6956071752241271,2021-01
ZRX/USDT,2021-01-06 00:00:00+00:00,2021-01-11 00:00:00+00:00,0.4618,0.3856383077634912,0.3856383077634912,0.07616169223650883,initial_stop,6,-0.9999999999999998,-1.0556488129272352,2.0771597289190136,2021-01
HBAR/USDT,2021-01-09 00:00:00+00:00,2021-01-11 00:00:00+00:00,0.05074,0.03958701265582887,0.03958701265582887,0.01115298734417113,initial_stop,3,-1.0000000000000002,-1.2319569256196563,0.20263629198693017,2021-01
QTUM/USDT,2021-01-10 00:00:00+00:00,2021-01-11 00:00:00+00:00,3.383,2.7944592687994594,2.7944592687994594,0.5885407312005407,initial_stop,2,-0.9999999999999998,-1.4136659637861193,0.1665135390036533,2021-01
BTC/USDT,2021-01-07 00:00:00+00:00,2021-01-11 00:00:00+00:00,39432.28,34924.27963214332,34924.27963214332,4508.000367856682,initial_stop,5,-0.9999999999999994,-1.9991746372205526,0.55850039808161,2021-01
ETH/USDT,2020-12-28 00:00:00+00:00,2021-01-11 00:00:00+00:00,730.41,1023.3832979089193,640.5311673415099,89.87883265849008,chandelier_stop,15,3.2596473412390794,-0.45850617749547695,6.875033661684194,2021-01
