trades,total_r,avg_r,win_rate,profit_factor,max_dd_r,std_r,t_score,removed_n,removed,months_remaining
388,355.5359361303881,0.9163297322948147,0.39690721649484534,2.70966425224767,-21.501583102883103,2.9783357319189347,6.060298129730905,0,,53
367,300.1484098391368,0.8178430785807541,0.3814713896457766,2.4935982948272115,-21.501583102883103,2.9437748610072108,5.3222886258152675,1,2021-02,52
343,246.80045946420844,0.7195348672425902,0.37026239067055394,2.2992466775730316,-21.501583102883046,2.7793629977702166,4.794613815912976,2,"2021-02,2021-09",51
315,196.52669198526385,0.6238942602706788,0.3523809523809524,2.10435190748005,-21.501583102883046,2.7394502975865684,4.042060799457832,3,"2021-02,2021-09,2024-03",50
