symbol,entry_date,entry_price,current_price,qty,cost_usdt,market_value_usdt,unrealized_pnl,pnl_pct
BBUSDT,2026-08-20,0.009600,0.009970,6903.604362,66.27,68.83,2.55,3.85
COSUSDT,2026-08-20,0.000485,0.000485,8852204.609899,4293.32,4293.32,0.00,0.00
DUSDT,2026-08-20,0.005192,0.005192,896349.634302,4653.85,4653.85,0.00,0.00
HIGHUSDT,2026-08-20,0.047800,0.047800,63035.125660,3013.08,3013.08,0.00,0.00
ICXUSDT,2026-08-20,0.016410,0.017500,6721.748635,110.30,117.63,7.33,6.64
MBOXUSDT,2026-08-20,0.005100,0.005100,642777.040387,3278.16,3278.16,0.00,0.00
COWUSDT,2026-08-06,0.103500,0.120200,1155.835489,119.63,138.93,19.30,16.14
MOVEUSDT,2026-08-06,0.007354,0.008284,11906.926616,87.56,98.64,11.07,12.65
BIGTIMEUSDT,2026-08-07,0.005253,0.006620,21193.411400,111.33,140.30,28.97,26.02
BATUSDT,2026-08-11,0.062560,0.071460,2185.763639,136.74,156.19,19.45,14.23
