position_id,symbol,entry_date,as_of_date,entry_price,stop_loss,bars_held,bars_remaining,rsi_at_entry,atr_at_entry,risk_amount_usdt,qty
BBUSDT_20260820,BBUSDT,2026-08-20,2026-08-22,0.0096,0.00577887,2,18,24.503,0.00127371,26.3796,6903.604362452992
COSUSDT_20260820,COSUSDT,2026-08-20,2026-08-22,0.000485,0.00048202,2,18,16.0674,9.9e-07,26.3796,8852204.609899329
DUSDT_20260820,DUSDT,2026-08-20,2026-08-22,0.005192,0.00516257,2,18,21.8912,9.81e-06,26.3796,896349.6343017329
HIGHUSDT_20260820,HIGHUSDT,2026-08-20,2026-08-22,0.0478,0.04738151,2,18,17.9655,0.0001395,26.3796,63035.12566011135
ICXUSDT_20260820,ICXUSDT,2026-08-20,2026-08-22,0.01641,0.01248549,2,18,23.9495,0.00130817,26.3796,6721.748635498444
MBOXUSDT_20260820,MBOXUSDT,2026-08-20,2026-08-22,0.0051,0.00505896,2,18,23.093,1.368e-05,26.3796,642777.0403874269
COWUSDT_20260806,COWUSDT,2026-08-06,2026-08-22,0.1035,0.086376,16,4,19.1182,0.005708,19.7925,1155.8354885686751
MOVEUSDT_20260806,MOVEUSDT,2026-08-06,2026-08-22,0.007354,0.00569173,16,4,20.9692,0.00055409,19.7925,11906.926616163435
BIGTIMEUSDT_20260807,BIGTIMEUSDT,2026-08-07,2026-08-22,0.005253,0.0043191,15,5,23.9059,0.0003113,19.7925,21193.41139977513
BATUSDT_20260811,BATUSDT,2026-08-11,2026-08-22,0.06256,0.0535048,11,9,24.7569,0.0030184,19.7925,2185.7636392625227
