date,paper_equity,unrealized_pnl,total_value,open_positions,total_cost,total_market_value
2026-06-17,10000.00,34.75,10034.75,9,1006.48,1041.23
2026-06-18,10000.00,34.75,10034.75,9,1006.48,1041.23
2026-06-19,10000.00,34.75,10034.75,9,1006.48,1041.23
2026-06-20,10000.00,34.75,10034.75,9,1006.48,1041.23
2026-06-21,10000.00,34.75,10034.75,9,1006.48,1041.23
2026-06-22,10000.00,34.75,10034.75,9,1006.48,1041.23
2026-06-23,10000.00,34.75,10034.75,9,1006.48,1041.23
2026-06-24,10000.00,34.75,10034.75,9,1006.48,1041.23
2026-06-25,10000.00,7.25,10007.25,9,1006.48,1013.73
2026-06-26,10000.00,7.25,10007.25,9,1006.48,1013.73
2026-06-27,10000.00,7.25,10007.25,9,1006.48,1013.73
2026-06-28,10000.00,7.25,10007.25,9,1006.48,1013.73
2026-06-29,10000.00,7.25,10007.25,9,1006.48,1013.73
2026-06-30,10000.00,7.25,10007.25,9,1006.48,1013.73
2026-07-01,10000.00,7.25,10007.25,9,1006.48,1013.73
2026-07-02,10000.00,7.25,10007.25,9,1006.48,1013.73
2026-07-03,10000.00,7.25,10007.25,9,1006.48,1013.73
2026-07-04,10000.00,7.25,10007.25,9,1006.48,1013.73
2026-07-05,10000.00,7.25,10007.25,9,1006.48,1013.73
2026-07-06,10000.00,7.25,10007.25,9,1006.48,1013.73
2026-07-07,10000.00,7.25,10007.25,9,1006.48,1013.73
2026-07-08,10000.00,7.25,10007.25,9,1006.48,1013.73
2026-07-10,10000.00,7.25,10007.25,9,1006.48,1013.73
2026-07-11,10000.00,7.25,10007.25,9,1006.48,1013.73
2026-07-11,10000.00,7.25,10007.25,9,1006.48,1013.73
2026-07-11,10000.00,7.25,10007.25,9,1006.48,1013.73
2026-07-12,10000.00,7.25,10007.25,9,1006.48,1013.73
2026-07-13,10000.00,0.00,10000.00,0,0.00,0.00
2026-07-14,10000.00,0.00,10000.00,0,0.00,0.00
2026-07-15,10000.00,0.00,10000.00,0,0.00,0.00
2026-07-16,10000.00,0.00,10000.00,0,0.00,0.00
2026-07-17,10000.00,0.00,10000.00,0,0.00,0.00
2026-07-18,10000.00,0.00,10000.00,0,0.00,0.00
2026-07-19,10000.00,0.00,10000.00,0,0.00,0.00
2026-07-20,10000.00,0.00,10000.00,0,0.00,0.00
2026-07-21,10000.00,0.00,10000.00,0,0.00,0.00
2026-07-22,10000.00,0.00,10000.00,0,0.00,0.00
2026-07-23,10000.00,0.00,10000.00,0,0.00,0.00
2026-07-24,10000.00,0.00,10000.00,0,0.00,0.00
2026-07-25,10000.00,0.00,10000.00,0,0.00,0.00
2026-07-26,10000.00,0.00,10000.00,0,0.00,0.00
2026-07-27,10053.07,0.00,10053.07,0,0.00,0.00
2026-07-28,10053.07,0.00,10053.07,0,0.00,0.00
2026-07-29,10053.07,0.00,10053.07,0,0.00,0.00
2026-07-30,10053.07,0.00,10053.07,0,0.00,0.00
2026-07-31,10053.07,0.00,10053.07,0,0.00,0.00
2026-08-01,10053.07,0.00,10053.07,0,0.00,0.00
2026-08-02,10053.07,0.00,10053.07,0,0.00,0.00
2026-08-03,10053.07,0.00,10053.07,0,0.00,0.00
2026-08-04,10053.07,0.00,10053.07,0,0.00,0.00
2026-08-05,10055.71,0.00,10055.71,0,0.00,0.00
2026-08-06,10055.71,0.00,10055.71,0,0.00,0.00
2026-08-07,10055.71,0.00,10055.71,0,0.00,0.00
2026-08-08,10055.71,0.00,10055.71,0,0.00,0.00
2026-08-09,10055.71,0.00,10055.71,0,0.00,0.00
2026-08-10,10055.71,0.00,10055.71,0,0.00,0.00
2026-08-11,10055.71,0.00,10055.71,0,0.00,0.00
2026-08-12,10055.71,0.00,10055.71,0,0.00,0.00
2026-08-13,10055.71,0.00,10055.71,0,0.00,0.00
2026-08-14,10055.71,0.00,10055.71,0,0.00,0.00
2026-08-15,10055.71,0.00,10055.71,0,0.00,0.00
2026-08-16,10055.71,0.00,10055.71,0,0.00,0.00
2026-08-18,10055.71,0.00,10055.71,0,0.00,0.00
2026-08-19,10055.71,0.00,10055.71,0,0.00,0.00
2026-08-21,10049.36,0.00,10049.36,0,0.00,0.00
2026-08-22,10049.36,0.00,10049.36,0,0.00,0.00
2026-08-22,10049.36,0.00,10049.36,0,0.00,0.00
2026-08-24,10053.35,0.00,10053.35,0,0.00,0.00
2026-08-24,10053.35,0.00,10053.35,0,0.00,0.00
2026-08-24,10053.35,88.68,10142.03,10,15870.25,15958.93
2026-08-27,10085.81,35.04,10120.85,9,15693.61,15728.65
2026-08-29,10110.80,-0.46,10110.34,8,15582.28,15581.81
2026-08-30,10110.80,-0.71,10110.09,8,15582.28,15581.57
2026-08-31,10110.80,-6.79,10104.01,8,15582.28,15575.49
2026-09-01,10122.89,-10.07,10112.82,7,15445.54,15435.47
2026-09-02,10122.89,-11.73,10111.16,8,16032.89,16021.17
2026-09-03,10122.89,-8.37,10114.52,8,16032.89,16024.52
