exit_time,trade_id,symbol,net_r,equity_r,peak_r,dd_r,mfe_r,mae_r
1970-01-01 00:28:32.016000+00:00,19,ADX/USDT,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,0.0,0.05077215993230348,-1.0614554685847264
1970-01-01 00:28:32.275200+00:00,67,ATA/USDT,-1.0,-2.0,-1.0000000000000002,-0.9999999999999998,0.11570502931194088,-1.469453872261648
1970-01-01 00:28:32.275200+00:00,119,ICP/USDT,-0.6499419605331622,-2.6499419605331624,-1.0000000000000002,-1.6499419605331622,0.5902013369090985,-0.7529119801464993
1970-01-01 00:28:32.793600+00:00,92,BCH/USDT,-0.0628519051983761,-2.7127938657315385,-1.0000000000000002,-1.7127938657315382,0.9712583475186589,-0.5784339400288069
1970-01-01 00:28:32.880000+00:00,30,ALCX/USDT,-0.9999999999999999,-3.7127938657315385,-1.0000000000000002,-2.7127938657315385,0.718657661460532,-1.530709159983116
1970-01-01 00:28:33.484800+00:00,63,ASR/USDT,0.29959475106136674,-3.4131991146701717,-1.0000000000000002,-2.4131991146701717,3.728290235430337,-0.3082786568892321
1970-01-01 00:28:36.422400+00:00,101,BTC/USDT,-0.9999999999999989,-4.413199114670171,-1.0000000000000002,-3.413199114670171,0.10542534506776824,-1.0167591142354102
1970-01-01 00:28:36.422400+00:00,124,LINK/USDT,-1.0000000000000004,-5.413199114670171,-1.0000000000000002,-4.413199114670171,0.10406867356538076,-1.070084666039511
1970-01-01 00:28:36.508800+00:00,138,SOL/USDT,-1.0000000000000004,-6.413199114670171,-1.0000000000000002,-5.413199114670171,0.0979485956228755,-1.0823543443258394
1970-01-01 00:28:37.286400+00:00,80,AUDIO/USDT,-0.6393924546790798,-7.052591569349251,-1.0000000000000002,-6.052591569349251,2.3076923076923075,-0.676139147476727
1970-01-01 00:28:37.286400+00:00,157,UNI/USDT,0.09219301686936172,-6.960398552479889,-1.0000000000000002,-5.960398552479889,2.4244801883091425,-0.6973322871714385
1970-01-01 00:28:37.718400+00:00,70,ATM/USDT,-1.0,-7.960398552479889,-1.0000000000000002,-6.960398552479889,1.1983632112236953,-1.260717069368668
1970-01-01 00:28:37.718400+00:00,76,AUCTION/USDT,-1.0,-8.960398552479889,-1.0000000000000002,-7.960398552479889,1.0352554526441582,-1.2907080968031075
1970-01-01 00:28:37.718400+00:00,114,ETH/USDT,0.053652755731826964,-8.906745796748062,-1.0000000000000002,-7.906745796748062,1.022516424533647,-0.5312725715694468
1970-01-01 00:28:37.891200+00:00,35,ALICE/USDT,0.4249839021249188,-8.481761894623144,-1.0000000000000002,-7.481761894623144,5.684159690920798,-0.4684481648422418
1970-01-01 00:28:37.977600+00:00,95,BNB/USDT,-1.0000000000000002,-9.481761894623144,-1.0000000000000002,-8.481761894623144,0.867510413329059,-1.7398269785325238
1970-01-01 00:28:38.064000+00:00,23,AGLD/USDT,-0.7358003442340796,-10.217562238857223,-1.0000000000000002,-9.217562238857223,0.5120481927710845,-0.907917383820999
1970-01-01 00:28:41.606400+00:00,150,TRX/USDT,-1.0000000000000016,-11.217562238857225,-1.0000000000000002,-10.217562238857225,0.09814612868047964,-1.0577971646673925
1970-01-01 00:28:41.692800+00:00,36,ALICE/USDT,-0.9999999999999999,-12.217562238857225,-1.0000000000000002,-11.217562238857225,1.1504569190600518,-1.013381201044387
1970-01-01 00:28:42.384000+00:00,139,SOL/USDT,-0.6439368491770237,-12.861499088034249,-1.0000000000000002,-11.861499088034249,0.47816593886462766,-0.9608666442727585
1970-01-01 00:28:42.556800+00:00,162,XRP/USDT,-0.2743902439024399,-13.135889331936689,-1.0000000000000002,-12.135889331936689,1.1698465774980318,-0.5797600314712824
1970-01-01 00:28:43.680000+00:00,145,SUI/USDT,-1.0000000000000002,-14.135889331936689,-1.0000000000000002,-13.135889331936689,0.0117949817713917,-1.0250911430409604
1970-01-01 00:28:44.284800+00:00,77,AUCTION/USDT,-1.0000000000000002,-15.135889331936689,-1.0000000000000002,-14.135889331936689,1.6147813688212922,-1.019486692015209
1970-01-01 00:28:44.716800+00:00,5,AAVE/USDT,-0.9999999999999998,-16.13588933193669,-1.0000000000000002,-15.135889331936689,0.4789719626168231,-1.2800400534045386
1970-01-01 00:28:45.321600+00:00,151,TRX/USDT,1.0066162570888475,-15.129273074847841,-1.0000000000000002,-14.129273074847841,3.799621928166359,-0.15595463137996096
