symbol,trades,total_r,avg_r,win_rate_pct,profit_factor,max_dd_r,best_trade_r,worst_trade_r,avg_bars_held,avg_mfe_r,avg_mae_r
XRP/USDT,6,39.927072660315204,6.654512110052534,33.33333333333333,13.193742860878382,-2.0,40.28150343106668,-1.0000000000000002,14.666666666666666,10.380666757168928,-0.8615947866515913
ALGO/USDT,2,20.93234762802388,10.46617381401194,100.0,inf,0.0,19.128180961357213,1.8041666666666665,21.0,19.012837731699662,-0.3364318253220231
DOGE/USDT,5,17.106403158649346,3.421280631729869,20.0,6.162254901640117,-2.313746315241893,20.42014947389124,-1.0000000000000007,15.4,5.923886499100271,-1.1737544648857392
ADA/USDT,4,13.338664675013073,3.334666168753268,50.0,7.669332337506538,-2.0,14.22093392630242,-0.9999999999999999,13.75,6.362460400618361,-0.8071425777694048
TRX/USDT,7,9.215424960722189,1.3164892801031698,57.14285714285714,4.07180832024073,-1.0000000000000004,5.165706051873201,-1.0000000000000016,19.571428571428573,4.89070773245039,-0.8307926117685562
SUI/USDT,5,5.762384295825646,1.152476859165129,80.0,6.762384295825645,0.0,3.554998977714168,-1.0000000000000002,20.2,2.693167880401391,-0.3586902854434223
ASR/USDT,4,5.732248751779556,1.433062187944889,50.0,4.530636996025286,-1.6235735246168885,7.056227525335078,-0.9999999999999991,13.25,4.821304649986863,-0.5829792381021144
LINK/USDT,5,5.16975484632616,1.033950969265232,40.0,3.5058205782459453,-1.0630985678731024,6.658995815899583,-1.0000000000000004,15.2,2.9252326154866157,-0.8335731837598681
ANKR/USDT,1,4.467005076142131,4.467005076142131,100.0,inf,0.0,4.467005076142131,4.467005076142131,28.0,10.663071065989843,-0.8978426395939081
AVAX/USDT,3,3.361517015980182,1.1205056719933941,33.33333333333333,7.119360110839826,-0.5493249220658867,3.910841938046069,-0.30288461538461536,19.0,3.650881774067726,-0.487249033766219
AMP/USDT,2,2.981953707336211,1.4909768536681054,50.0,3.981953707336212,-0.9999999999999996,3.9819537073362103,-0.9999999999999996,16.5,4.683671013667061,-1.174419335358622
ETH/USDT,5,2.697334682356282,0.5394669364712563,60.0,2.8301692127334994,-1.0000000000000009,2.2349149174705,-1.0000000000000009,17.8,2.150270828450148,-0.5472417955836215
BTC/USDT,5,2.3785356312778427,0.47570712625556855,40.0,2.1589804495488396,-1.0522655340767355,3.9692289391099402,-0.9999999999999989,17.2,1.9008864228308486,-1.1716722826992603
ATOM/USDT,2,1.655787505842031,0.8278937529210155,50.0,2.6557875058420324,-0.9999999999999991,2.65578750584203,-0.9999999999999992,14.0,2.7781206232106204,-0.9480267820689341
BCH/USDT,3,1.4453219892080533,0.4817739964026844,33.33333333333333,2.92885965877832,-0.6864623243933586,2.194636218799788,-0.6864623243933586,17.0,1.8258481702679752,-0.7756598130717499
ALCX/USDT,3,1.4240282685512373,0.4746760895170791,33.33333333333333,1.7120141342756188,-1.0000000000000002,3.4240282685512375,-1.0000000000000002,12.333333333333334,3.999382105150248,-0.982230141752682
ALPINE/USDT,4,0.6750599520383689,0.16876498800959222,25.0,1.2250199840127896,-1.0000000000000007,3.6750599520383695,-1.0000000000000007,7.25,7.205356980796296,-2.1700758982229456
AUDIO/USDT,1,-0.6393924546790798,-0.6393924546790798,0.0,0.0,0.0,-0.6393924546790798,-0.6393924546790798,10.0,2.3076923076923075,-0.676139147476727
ARDR/USDT,3,-0.8731841985654992,-0.2910613995218331,33.33333333333333,0.4257552023118072,-0.520578335373317,0.6473941368078174,-0.9999999999999997,8.333333333333334,3.2840049166284744,-0.8707715970397644
NEAR/USDT,4,-0.9063546984574533,-0.22658867461436333,25.0,0.598024270587096,-1.7368744243168561,1.348395108903324,-1.0000000000000004,11.5,1.5999790083113097,-0.9976476954531461
API3/USDT,1,-0.9268590998043056,-0.9268590998043056,0.0,0.0,0.0,-0.9268590998043056,-0.9268590998043056,10.0,1.2431506849315064,-0.9679549902152641
1000CHEEMS/USDT,1,-0.9999999999999996,-0.9999999999999996,0.0,0.0,0.0,-0.9999999999999996,-0.9999999999999996,2.0,1.3797740720817657,-1.335395373856912
ACM/USDT,1,-0.9999999999999997,-0.9999999999999997,0.0,0.0,0.0,-0.9999999999999997,-0.9999999999999997,2.0,0.8556461001164154,-1.030267753201397
AWE/USDT,1,-0.9999999999999998,-0.9999999999999998,0.0,0.0,0.0,-0.9999999999999998,-0.9999999999999998,13.0,3.4706288873531443,-1.5176226675881135
AR/USDT,1,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,1.0,0.43141592920354,-1.0353982300884959
1MBABYDOGE/USDT,1,-1.0000000000000002,-1.0000000000000002,0.0,0.0,0.0,-1.0000000000000002,-1.0000000000000002,4.0,0.09064226519336972,-1.2485612338858199
AI/USDT,1,-1.0000000000000002,-1.0000000000000002,0.0,0.0,0.0,-1.0000000000000002,-1.0000000000000002,10.0,0.7317930452713468,-1.4178929609148
ARB/USDT,1,-1.0000000000000002,-1.0000000000000002,0.0,0.0,0.0,-1.0000000000000002,-1.0000000000000002,2.0,0.06116605934409066,-1.305309734513275
AXL/USDT,1,-1.0000000000000002,-1.0000000000000002,0.0,0.0,0.0,-1.0000000000000002,-1.0000000000000002,3.0,0.13532883642495838,-1.402613827993254
AVA/USDT,2,-1.0032313657906073,-0.5016156828953037,0.0,0.0,-1.0000000000000002,-0.0032313657906071418,-1.0000000000000002,5.0,1.513400169824433,-0.8660399486510149
ARKM/USDT,2,-1.0310701510280489,-0.5155350755140244,0.0,0.0,-0.4847801578354006,-0.48478015783540074,-0.5462899931926483,8.0,1.296363093561565,-0.7097537380957686
1INCH/USDT,2,-1.3420655861289104,-0.6710327930644552,0.0,0.0,-0.3420655861289106,-0.34206558612891064,-0.9999999999999998,6.5,1.3661681974252213,-1.3873627080401723
ALICE/USDT,3,-1.5750160978750811,-0.5250053659583603,33.33333333333333,0.2124919510624594,-2.0,0.4249839021249188,-1.0,5.333333333333333,2.2799770786103966,-1.9919589949780827
ARK/USDT,3,-1.6601664386445294,-0.5533888128815098,0.0,0.0,-1.3031088082901559,-0.30310880829015546,-1.0000000000000004,11.333333333333334,0.5144934626821963,-0.9169176008110046
APE/USDT,2,-2.0,-1.0,0.0,0.0,-0.9999999999999998,-1.0,-1.0000000000000002,4.0,1.0246898076420414,-1.536396767311559
ARPA/USDT,2,-2.0000000000000004,-1.0000000000000002,0.0,0.0,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,1.5,0.5937930831370152,-1.4056815176853572
DOT/USDT,3,-2.03028610705387,-0.6767620356846233,0.0,0.0,-1.0302861070538707,-0.030286107053870987,-0.9999999999999996,7.666666666666667,1.1353117653337585,-0.9279653603335074
AUCTION/USDT,4,-2.0593281778637023,-0.5148320444659256,25.0,0.3135572740454326,-1.0593281778637023,0.9406718221362979,-1.0000000000000002,5.75,2.668108727585464,-1.221354012938926
AAVE/USDT,5,-2.1055775552699334,-0.4211155110539867,20.0,0.42843065982115874,-2.683853221747529,1.578275666477595,-1.0000000000000004,9.4,1.0800977080086782,-0.8973055774464855
UNI/USDT,5,-2.191633266856164,-0.43832665337123283,40.0,0.2278545914535494,-2.283826283725526,0.5545422963348972,-1.0000000000000002,9.4,1.3610509196487204,-0.9775811038181452
ATM/USDT,4,-2.4961820453841734,-0.6240455113460434,25.0,0.0034436363917313,-1.4961820453841734,0.008625646923519267,-1.0,8.75,1.5101065939913738,-0.9378461342021679
ACH/USDT,4,-2.85139588136082,-0.712848970340205,0.0,0.0,-1.8513958813608202,-0.29420005603810634,-1.0000000000000002,7.75,0.7825895982606758,-0.984968531492004
APT/USDT,3,-2.999999999999999,-0.9999999999999997,0.0,0.0,-1.9999999999999991,-0.9999999999999991,-1.0000000000000002,6.333333333333333,0.4328472501285363,-3.7358951540889342
ATA/USDT,3,-3.000000000000001,-1.0000000000000002,0.0,0.0,-2.000000000000001,-1.0,-1.0000000000000004,2.3333333333333335,0.052007685926877795,-1.2135712853665608
