bs,p05,p50,p95,prob_pos,pf_p05
1,960.8254750890105,1124.7100106183589,1289.717007698816,1.0,1.55236343329046
5,835.7170652045738,1118.480034217413,1407.2990680735818,1.0,1.4760807203630901
10,761.0368351208734,1115.9312603178237,1472.09667126822,1.0,1.4297974898898522
20,667.8527099323962,1090.667192375598,1556.042518788162,1.0,1.3689862054202884
50,582.7545939947382,1105.924736813151,1677.705890653513,1.0,1.3222101222340163
