symbol,base,bars,first_date,last_date,excluded,included
DEXE/USDT,DEXE,1771,2021-07-23,2026-05-28,,True
DGB/USDT,DGB,2139,2020-07-20,2026-05-28,,True
DIA/USDT,DIA,2093,2020-09-04,2026-05-28,,True
DODO/USDT,DODO,1925,2021-02-19,2026-05-28,,True
DOGE/USDT,DOGE,2200,2020-05-20,2026-05-28,,True
DOGS/USDT,DOGS,641,2024-08-26,2026-05-28,insufficient_bars,False
DOLO/USDT,DOLO,275,2025-08-27,2026-05-28,insufficient_bars,False
DOT/USDT,DOT,2110,2020-08-18,2026-05-28,,True
DUSK/USDT,DUSK,2200,2020-05-20,2026-05-28,,True
DYDX/USDT,DYDX,1723,2021-09-09,2026-05-28,,True
DYM/USDT,DYM,843,2024-02-06,2026-05-28,insufficient_bars,False
EDEN/USDT,EDEN,241,2025-09-30,2026-05-28,insufficient_bars,False
EDU/USDT,EDU,1127,2023-04-28,2026-05-28,insufficient_bars,False
EGLD/USDT,EGLD,2094,2020-09-03,2026-05-28,,True
EIGEN/USDT,EIGEN,605,2024-10-01,2026-05-28,insufficient_bars,False
ENA/USDT,ENA,787,2024-04-02,2026-05-28,insufficient_bars,False
ENJ/USDT,ENJ,2200,2020-05-20,2026-05-28,,True
ENS/USDT,ENS,1661,2021-11-10,2026-05-28,,True
ENSO/USDT,ENSO,227,2025-10-14,2026-05-28,insufficient_bars,False
EPIC/USDT,EPIC,442,2025-03-13,2026-05-28,insufficient_bars,False
ERA/USDT,ERA,316,2025-07-17,2026-05-28,insufficient_bars,False
ESP/USDT,ESP,106,2026-02-12,2026-05-28,insufficient_bars,False
ETC/USDT,ETC,2200,2020-05-20,2026-05-28,,True
ETH/USDT,ETH,2200,2020-05-20,2026-05-28,,True
ETHFI/USDT,ETHFI,802,2024-03-18,2026-05-28,insufficient_bars,False
EUL/USDT,EUL,228,2025-10-13,2026-05-28,insufficient_bars,False
EUR/USDT,EUR,2200,2020-05-20,2026-05-28,,True
EURI/USDT,EURI,639,2024-08-28,2026-05-28,insufficient_bars,False
F/USDT,F,216,2025-10-25,2026-05-28,insufficient_bars,False
FDUSD/USDT,FDUSD,0,,,stablecoin,False
FET/USDT,FET,2200,2020-05-20,2026-05-28,,True
FF/USDT,FF,242,2025-09-29,2026-05-28,insufficient_bars,False
FIDA/USDT,FIDA,1702,2021-09-30,2026-05-28,,True
FIL/USDT,FIL,2052,2020-10-15,2026-05-28,,True
FLOKI/USDT,FLOKI,1120,2023-05-05,2026-05-28,insufficient_bars,False
FLOW/USDT,FLOW,1764,2021-07-30,2026-05-28,,True
FLUX/USDT,FLUX,1631,2021-12-10,2026-05-28,,True
FOGO/USDT,FOGO,134,2026-01-15,2026-05-28,insufficient_bars,False
FORM/USDT,FORM,436,2025-03-19,2026-05-28,insufficient_bars,False
FRAX/USDT,FRAX,0,,,stablecoin,False
FTT/USDT,FTT,1890,2020-05-20,2026-05-28,,True
G/USDT,G,679,2024-07-19,2026-05-28,insufficient_bars,False
GALA/USDT,GALA,1719,2021-09-13,2026-05-28,,True
GAS/USDT,GAS,1169,2023-03-17,2026-05-28,insufficient_bars,False
GENIUS/USDT,GENIUS,7,2026-05-22,2026-05-28,insufficient_bars,False
GIGGLE/USDT,GIGGLE,216,2025-10-25,2026-05-28,insufficient_bars,False
GLM/USDT,GLM,1169,2023-03-17,2026-05-28,insufficient_bars,False
GLMR/USDT,GLMR,1599,2022-01-11,2026-05-28,,True
GMT/USDT,GMT,1542,2022-03-09,2026-05-28,,True
GMX/USDT,GMX,1332,2022-10-05,2026-05-28,insufficient_bars,False
GNO/USDT,GNO,1733,2021-08-30,2026-05-28,,True
GNS/USDT,GNS,1197,2023-02-17,2026-05-28,insufficient_bars,False
GPS/USDT,GPS,451,2025-03-04,2026-05-28,insufficient_bars,False
GRT/USDT,GRT,1989,2020-12-17,2026-05-28,,True
GTC/USDT,GTC,1814,2021-06-10,2026-05-28,,True
GUN/USDT,GUN,424,2025-03-31,2026-05-28,insufficient_bars,False
HAEDAL/USDT,HAEDAL,373,2025-05-21,2026-05-28,insufficient_bars,False
HBAR/USDT,HBAR,2200,2020-05-20,2026-05-28,,True
HEI/USDT,HEI,470,2025-02-13,2026-05-28,insufficient_bars,False
HEMI/USDT,HEMI,248,2025-09-23,2026-05-28,insufficient_bars,False
HFT/USDT,HFT,1299,2022-11-07,2026-05-28,insufficient_bars,False
HIGH/USDT,HIGH,1624,2021-12-17,2026-05-28,,True
HIVE/USDT,HIVE,2200,2020-05-20,2026-05-28,,True
HMSTR/USDT,HMSTR,610,2024-09-26,2026-05-28,insufficient_bars,False
HOLO/USDT,HOLO,260,2025-09-11,2026-05-28,insufficient_bars,False
HOME/USDT,HOME,351,2025-06-12,2026-05-28,insufficient_bars,False
HOT/USDT,HOT,2200,2020-05-20,2026-05-28,,True
HUMA/USDT,HUMA,368,2025-05-26,2026-05-28,insufficient_bars,False
