symbol,base,bars,first_date,last_date,excluded,included
ORCA/USDT,ORCA,539,2024-12-06,2026-05-28,insufficient_bars,False
ORDI/USDT,ORDI,934,2023-11-07,2026-05-28,insufficient_bars,False
OSMO/USDT,OSMO,1309,2022-10-28,2026-05-28,insufficient_bars,False
PARTI/USDT,PARTI,430,2025-03-25,2026-05-28,insufficient_bars,False
PAXG/USDT,PAXG,2100,2020-08-28,2026-05-28,,True
PENDLE/USDT,PENDLE,1061,2023-07-03,2026-05-28,insufficient_bars,False
PENGU/USDT,PENGU,528,2024-12-17,2026-05-28,insufficient_bars,False
PEOPLE/USDT,PEOPLE,1618,2021-12-23,2026-05-28,,True
PEPE/USDT,PEPE,1120,2023-05-05,2026-05-28,insufficient_bars,False
PHA/USDT,PHA,1799,2021-06-25,2026-05-28,,True
PIVX/USDT,PIVX,925,2023-11-16,2026-05-28,insufficient_bars,False
PIXEL/USDT,PIXEL,830,2024-02-19,2026-05-28,insufficient_bars,False
PLUME/USDT,PLUME,284,2025-08-18,2026-05-28,insufficient_bars,False
PNUT/USDT,PNUT,564,2024-11-11,2026-05-28,insufficient_bars,False
POL/USDT,POL,623,2024-09-13,2026-05-28,insufficient_bars,False
POLYX/USDT,POLYX,1320,2022-10-17,2026-05-28,insufficient_bars,False
POND/USDT,POND,1907,2021-03-09,2026-05-28,,True
PORTAL/USDT,PORTAL,820,2024-02-29,2026-05-28,insufficient_bars,False
PORTO/USDT,PORTO,1655,2021-11-16,2026-05-28,,True
POWR/USDT,POWR,1654,2021-11-17,2026-05-28,,True
PROM/USDT,PROM,1169,2023-03-17,2026-05-28,insufficient_bars,False
PROVE/USDT,PROVE,297,2025-08-05,2026-05-28,insufficient_bars,False
PSG/USDT,PSG,1985,2020-12-21,2026-05-28,,True
PUMP/USDT,PUMP,260,2025-09-11,2026-05-28,insufficient_bars,False
PUNDIX/USDT,PUNDIX,1876,2021-04-09,2026-05-28,,True
PYR/USDT,PYR,1645,2021-11-26,2026-05-28,,True
