symbol,entry_time,exit_time,entry_price,exit_price,initial_stop,initial_risk,exit_reason,bars_held,net_r,mae_r,mfe_r
1INCH/USDT,2021-08-19 00:00:00+00:00,2021-08-26 00:00:00+00:00,3.4264,2.9002181996118965,2.9002181996118965,0.5261818003881035,initial_stop,8,-1.0000000000000002,-1.087836940726203,0.3707843940176139
1INCH/USDT,2021-09-04 00:00:00+00:00,2021-09-07 00:00:00+00:00,3.682,3.1201295005892096,3.1201295005892096,0.5618704994107903,initial_stop,4,-1.0000000000000002,-2.0218181968821556,0.5873239480379493
1INCH/USDT,2021-10-19 00:00:00+00:00,2021-10-28 00:00:00+00:00,3.728,5.933750910423671,3.107665748918749,0.6203342510812513,chandelier_stop,10,3.5557458041032177,-0.11123035666615608,6.451360686637017
1INCH/USDT,2023-02-21 00:00:00+00:00,2023-02-23 00:00:00+00:00,0.687,0.6139764337823074,0.6139764337823074,0.07302356621769268,initial_stop,3,-1.0,-1.0818425351138135,0.0
1INCH/USDT,2023-11-06 00:00:00+00:00,2023-11-09 00:00:00+00:00,0.3586,0.3216394247634906,0.3216394247634906,0.036960575236509384,initial_stop,4,-0.9999999999999994,-1.0984677521981743,1.6071178443490546
1INCH/USDT,2023-12-07 00:00:00+00:00,2023-12-11 00:00:00+00:00,0.3871,0.3413742659767288,0.3413742659767288,0.04572573402327119,initial_stop,5,-0.9999999999999999,-1.0956631111597377,0.7676202635071224
1INCH/USDT,2023-12-23 00:00:00+00:00,2024-01-03 00:00:00+00:00,0.4242,0.3740020021758971,0.3740020021758971,0.05019799782410293,initial_stop,12,-1.0000000000000002,-1.2251484653929827,2.4443205968084394
1INCH/USDT,2024-02-14 00:00:00+00:00,2024-03-17 00:00:00+00:00,0.4487,0.5405555116296625,0.39504880414565274,0.053651195854347244,chandelier_stop,33,1.7120869379879755,-0.5778063192507219,4.754786840027719
1INCH/USDT,2024-05-28 00:00:00+00:00,2024-06-11 00:00:00+00:00,0.4595,0.4095469532924976,0.4095469532924976,0.04995304670750244,initial_stop,15,-1.0000000000000002,-1.2251504969927773,1.5154230820645944
1INCH/USDT,2024-07-15 00:00:00+00:00,2024-07-23 00:00:00+00:00,0.432,0.3987,0.38004311553612535,0.05195688446387464,midline_exit,9,-0.6409160276566105,-0.6851835010382988,0.09238429227482726
1INCH/USDT,2024-11-18 00:00:00+00:00,2024-12-09 00:00:00+00:00,0.3331,0.494768535000454,0.2898880872490847,0.043211912750915286,chandelier_stop,22,3.7412955064579876,-0.5299464555526989,6.93558745542112
1INCH/USDT,2025-07-11 00:00:00+00:00,2025-07-23 00:00:00+00:00,0.2955,0.2834,0.2690068658342194,0.02649313416578058,midline_exit,13,-0.4567221048398557,-0.8341783898314723,3.627354898769433
1INCH/USDT,2025-09-13 00:00:00+00:00,2025-09-22 00:00:00+00:00,0.2738,0.24748306662059852,0.24748306662059852,0.026316933379401466,initial_stop,10,-1.0000000000000002,-1.8619190653251716,0.00759966965438973
AAVE/USDT,2021-05-03 00:00:00+00:00,2021-05-10 00:00:00+00:00,518.22,417.94833829838717,417.94833829838717,100.27166170161287,initial_stop,8,-0.9999999999999999,-1.1789971163716981,0.017253129853857713
AAVE/USDT,2021-08-05 00:00:00+00:00,2021-08-26 00:00:00+00:00,372.78,350.7,316.4516042042493,56.32839579575066,midline_exit,22,-0.3919870198338876,-0.5659667659558126,1.3431946522025346
AAVE/USDT,2022-03-29 00:00:00+00:00,2022-04-06 00:00:00+00:00,222.7,198.0111238309938,198.0111238309938,24.688876169006203,initial_stop,9,-0.9999999999999996,-1.3082815021182939,1.5594067440109702
AAVE/USDT,2023-01-17 00:00:00+00:00,2023-02-09 00:00:00+00:00,85.6,76.55783743826122,76.55783743826122,9.042162561738776,initial_stop,24,-1.0000000000000002,-1.0395743203927097,0.9842778139888437
AAVE/USDT,2023-04-14 00:00:00+00:00,2023-04-19 00:00:00+00:00,82.5,74.4156941635054,74.4156941635054,8.084305836494593,initial_stop,6,-1.0,-1.3359217499226805,0.24739291665234833
AAVE/USDT,2023-07-04 00:00:00+00:00,2023-07-24 00:00:00+00:00,77.08,70.28,66.29023370400262,10.789766295997385,midline_exit,21,-0.6302268106142903,-0.8406113488634723,1.0120701135158905
AAVE/USDT,2023-10-01 00:00:00+00:00,2023-10-03 00:00:00+00:00,72.21,66.07063389310127,66.07063389310127,6.139366106898721,initial_stop,3,-0.9999999999999999,-1.2558299775177724,0.02769015514630656
AAVE/USDT,2023-10-22 00:00:00+00:00,2023-11-14 00:00:00+00:00,79.27,87.81504920354965,72.2985352735264,6.971464726473605,chandelier_stop,24,1.2257179142139931,-0.5163907645303388,4.4079689427825945
AAVE/USDT,2023-12-14 00:00:00+00:00,2023-12-18 00:00:00+00:00,107.12,94.66314321166628,94.66314321166628,12.45685678833373,initial_stop,5,-0.9999999999999996,-1.1214707078501038,0.9536916255733164
AAVE/USDT,2024-02-19 00:00:00+00:00,2024-03-16 00:00:00+00:00,96.22,119.52829702258667,87.49204833625674,8.727951663743257,chandelier_stop,27,2.670534613454788,-0.936073011716937,6.588029152230583
AAVE/USDT,2024-05-20 00:00:00+00:00,2024-06-07 00:00:00+00:00,98.03,97.44,87.64368268910836,10.386317310891647,midline_exit,19,-0.056805505006216006,-0.8694130681459791,1.6069218280571858
AAVE/USDT,2024-07-01 00:00:00+00:00,2024-07-03 00:00:00+00:00,98.34,86.87563073236971,86.87563073236971,11.46436926763029,initial_stop,3,-0.9999999999999999,-1.2639160220451555,0.11077800883349492
AAVE/USDT,2024-07-14 00:00:00+00:00,2024-07-24 00:00:00+00:00,104.4,91.43183600580473,91.43183600580473,12.968163994195285,initial_stop,11,-0.9999999999999996,-1.1597632484237632,0.1866108418341417
AAVE/USDT,2024-07-31 00:00:00+00:00,2024-08-05 00:00:00+00:00,107.52,94.92271811034777,94.92271811034777,12.597281889652226,initial_stop,6,-0.9999999999999997,-2.4902197374632236,0.8398637176398123
AAVE/USDT,2024-08-19 00:00:00+00:00,2024-10-01 00:00:00+00:00,118.12,144.81,101.64395398946098,16.476046010539026,midline_exit,44,1.6199274985592744,-0.1286716484430749,3.8006691629742146
AAVE/USDT,2024-11-06 00:00:00+00:00,2024-11-14 00:00:00+00:00,173.71,155.8565696545344,155.8565696545344,17.853430345465586,initial_stop,9,-1.0000000000000007,-1.0126905390252898,1.4439802044287586
AAVE/USDT,2024-11-27 00:00:00+00:00,2024-12-19 00:00:00+00:00,210.52,302.6909036860626,178.50760389598383,32.01239610401618,chandelier_stop,23,2.879225390894719,-0.49480832201788116,5.914271439876605
AAVE/USDT,2025-01-21 00:00:00+00:00,2025-01-27 00:00:00+00:00,370.8,304.4259506241996,304.4259506241996,66.37404937580041,initial_stop,7,-1.0000000000000004,-1.2461195418665478,0.024105806637485593
AAVE/USDT,2025-05-08 00:00:00+00:00,2025-06-13 00:00:00+00:00,206.28,265.58151402845994,183.0616084592309,23.21839154076908,chandelier_stop,37,2.5540750281660403,-0.16581682642571494,5.1308463719728445
AAVE/USDT,2025-07-08 00:00:00+00:00,2025-07-23 00:00:00+00:00,293.0,290.39,254.50664853773782,38.49335146226217,midline_exit,16,-0.06780391680258827,-0.2803081464750671,1.1685134780767839
AAVE/USDT,2025-08-12 00:00:00+00:00,2025-08-18 00:00:00+00:00,322.26,286.52151494018966,286.52151494018966,35.73848505981035,initial_stop,7,-0.9999999999999994,-1.0643987828901504,0.5100943694029306
AAVE/USDT,2025-08-22 00:00:00+00:00,2025-08-29 00:00:00+00:00,345.61,307.2694277630053,307.2694277630053,38.340572236994724,initial_stop,8,-0.9999999999999998,-1.085273316809044,1.0531924184751065
ACH/USDT,2023-02-05 00:00:00+00:00,2023-02-09 00:00:00+00:00,0.01914,0.015266850411962563,0.015266850411962563,0.003873149588037437,initial_stop,5,-1.0000000000000002,-1.2134826949406665,0.46990180953021504
ACH/USDT,2023-02-19 00:00:00+00:00,2023-03-08 00:00:00+00:00,0.03006,0.02583,0.024444603278017583,0.005615396721982417,midline_exit,18,-0.7532860471711559,-0.8886282211309853,3.794923325110479
ACH/USDT,2023-05-30 00:00:00+00:00,2023-06-05 00:00:00+00:00,0.03079,0.026026753319547256,0.026026753319547256,0.004763246680452747,initial_stop,7,-0.9999999999999997,-1.582953919002852,0.15745562854802844
ACH/USDT,2023-11-01 00:00:00+00:00,2023-11-09 00:00:00+00:00,0.01931,0.017505627426491074,0.017505627426491074,0.0018043725735089277,initial_stop,9,-0.9999999999999993,-1.346728516979411,1.7568433740019462
ACH/USDT,2023-11-09 00:00:00+00:00,2023-11-13 00:00:00+00:00,0.02231,0.019566153619083988,0.019566153619083988,0.002743846380916013,initial_stop,5,-0.9999999999999996,-1.1225118218796797,0.48472101399349865
ACH/USDT,2023-12-04 00:00:00+00:00,2023-12-11 00:00:00+00:00,0.02281,0.019938574991565188,0.019938574991565188,0.0028714250084348114,initial_stop,8,-1.0000000000000002,-1.368658414708942,0.7626875135400979
ACH/USDT,2024-02-15 00:00:00+00:00,2024-03-05 00:00:00+00:00,0.02145,0.024369954552481116,0.019353438984075474,0.002096561015924526,chandelier_stop,20,1.3927353081081189,-0.686839061235239,5.032050066688729
ACH/USDT,2024-03-07 00:00:00+00:00,2024-04-02 00:00:00+00:00,0.03395,0.03281,0.027651528216948027,0.006298471783051975,midline_exit,27,-0.18099628596694387,-0.4890075094545491,2.81020549264465
ACH/USDT,2024-05-21 00:00:00+00:00,2024-06-07 00:00:00+00:00,0.03218,0.02702482431775342,0.02702482431775342,0.005155175682246581,initial_stop,18,-0.9999999999999998,-1.2240126018848219,0.30842789809776044
ACH/USDT,2024-07-16 00:00:00+00:00,2024-07-31 00:00:00+00:00,0.02631,0.02239353858193182,0.02239353858193182,0.003916461418068182,initial_stop,16,-0.9999999999999996,-1.2358094420823784,0.24001257759451144
ACH/USDT,2024-11-10 00:00:00+00:00,2024-12-09 00:00:00+00:00,0.02197,0.03172307783341326,0.019097427616073887,0.002872572383926113,chandelier_stop,30,3.3952418006898593,-0.6161724626694483,6.175649428110739
ACH/USDT,2025-01-27 00:00:00+00:00,2025-01-28 00:00:00+00:00,0.03857,0.034127218584893,0.034127218584893,0.004442781415106999,initial_stop,2,-0.9999999999999996,-2.095534110308188,0.01800673778997296
ACH/USDT,2025-02-01 00:00:00+00:00,2025-02-02 00:00:00+00:00,0.05125,0.04063843822521992,0.04063843822521992,0.01061156177478008,initial_stop,2,-0.9999999999999999,-1.2759667509244281,0.31757813520054134
ACH/USDT,2025-04-15 00:00:00+00:00,2025-05-25 00:00:00+00:00,0.02823,0.023061953801251065,0.023061953801251065,0.0051680461987489365,initial_stop,41,-1.0,-1.0448823002602445,0.5708153306977256
ACH/USDT,2025-07-20 00:00:00+00:00,2025-07-23 00:00:00+00:00,0.02702,0.024095283130182204,0.024095283130182204,0.002924716869817795,initial_stop,4,-1.0,-1.620669695899587,0.4342300662009445
ACM/USDT,2021-09-14 00:00:00+00:00,2021-09-20 00:00:00+00:00,10.728,9.022209847293528,9.022209847293528,1.7057901527064725,initial_stop,7,-0.9999999999999996,-1.2627579052337594,3.433013135120193
ACM/USDT,2022-03-29 00:00:00+00:00,2022-04-10 00:00:00+00:00,7.21,6.359,6.168011883244341,1.041988116755659,midline_exit,13,-0.8167079703842296,-0.8426199741449515,2.0892752661885643
