symbol,trades,total_r,avg_r,win_rate,profit_factor,max_dd_r,best_r,worst_r,avg_mfe_r,avg_mae_r,top_month,top_month_pct,step_b_included
1INCH/USDT,13,-0.08850988394728576,-0.006808452611329674,0.23076923076923078,0.9902711140344076,-3.9999999999999996,3.7412955064579876,-1.0000000000000002,2.2432049208899447,-1.0335531989331048,2024-12,0.0,True
AAVE/USDT,22,-3.197342806968166,-0.14533376395309847,0.22727272727272727,0.7739886368865133,-5.182766807785612,2.879225390894719,-1.0000000000000007,1.769582858825755,-0.9709325666032143,2024-12,0.0,True
ACH/USDT,15,-7.14630522434012,-0.4764203482893413,0.13333333333333333,0.4011952269222869,-6.14630522434012,3.3952418006898593,-1.0000000000000002,1.5555672265166558,-1.1874571682240949,2024-12,0.0,True
ACM/USDT,8,-3.5790410766529406,-0.4473801345816176,0.125,0.4541010132917655,-2.8167079703842295,2.9771921529313876,-1.0000000000000007,2.4433356201937517,-1.111639963839533,2024-03,0.0,True
ADA/USDT,20,21.93451524451483,1.0967257622257416,0.4,3.0342820185515365,-4.587457434073105,11.647499827412824,-1.0000000000000004,3.4089158513274365,-0.9643122851361298,2023-12,0.4854221626837843,True
ADX/USDT,10,-0.8171064195257669,-0.08171064195257668,0.3,0.8764261689087975,-2.999999999999999,3.980663973636105,-1.0000000000000007,2.234045526205958,-1.1602118592665576,2024-02,0.0,True
AGLD/USDT,17,-6.856876140206608,-0.40334565530627103,0.23529411764705882,0.40116001038608534,-5.931287577078657,2.1662874615859535,-1.0000000000000004,1.8188261018664704,-1.1388086972948988,2023-10,0.0,True
ALCX/USDT,6,4.382035899351103,0.7303393165585171,0.5,2.7850537561694253,-1.8999289529679886,3.585734861204951,-1.0000000000000004,3.5107056812068524,-0.7119951033145123,2024-12,0.8182805763266181,True
ALGO/USDT,14,42.41524265454163,3.0296601896101163,0.42857142857142855,6.446231516758188,-2.0,23.42849988172226,-1.0000000000000004,6.246821906375921,-0.8962249784819111,2024-12,0.5523603878101035,True
ALICE/USDT,14,-3.6006245700606803,-0.2571874692900486,0.21428571428571427,0.6726704936308471,-5.0,3.749433958273614,-1.0000000000000004,1.867382418812653,-1.6522951638777081,2024-06,0.0,True
ALPINE/USDT,8,-2.251573833795407,-0.2814467292244259,0.125,0.6783465951720847,-4.0,4.748426166204595,-1.0000000000000018,3.243470885011729,-1.4299639333754155,2025-08,0.0,True
AMP/USDT,9,7.569158075077457,0.8410175638974953,0.2222222222222222,2.0813082964396368,-4.0,13.879312110198704,-1.0000000000000007,3.042079955957376,-1.1450986597552044,2024-03,1.8336665680028983,True
ANKR/USDT,18,5.356329672314037,0.2975738706841132,0.3333333333333333,1.4677808326711324,-5.531884471929896,6.353763241069638,-1.0000000000000004,2.62634330316959,-0.9982888036104531,2024-12,1.1862158660455808,True
APE/USDT,4,-1.5293340444618964,-0.3823335111154741,0.25,0.4664302992114605,-1.8662310513542275,1.3368970068923314,-1.0000000000000002,2.5212849271362203,-1.244688276120575,2024-03,0.0,False
API3/USDT,9,-4.12608190870643,-0.4584535454118256,0.1111111111111111,0.39831865093701563,-4.857586520060987,2.7315046113545556,-1.0000000000000004,1.890771847087119,-1.2875267563202133,2023-11,0.0,True
AR/USDT,11,2.0893240854787845,0.18993855322534403,0.2727272727272727,1.3214008044551742,-3.5006809457758665,3.5517944696411643,-1.0000000000000004,2.3956991143110575,-0.8562974990408097,2024-02,1.6999729694051957,True
ARDR/USDT,16,20.010655688563318,1.2506659805352074,0.5,3.7477855189751677,-3.3788417168237928,5.46941538259133,-1.0000000000000004,3.87081389295016,-0.8719521878839949,2021-04,0.27332514574808575,True
ARPA/USDT,18,8.887475098695631,0.4937486165942018,0.3333333333333333,1.7406229248913025,-6.0,8.415990835690826,-1.0000000000000004,3.4272069179478617,-1.098575753919345,2023-05,0.9469495826689851,True
