symbol,timeframe,side,entry_time,exit_time,entry_price,exit_price,initial_stop,final_stop,initial_risk,bars_held,exit_reason,breakeven_touched,chandelier_touched,mfe_r,mae_r,gross_r,cost_r,net_r,donchian_entry,ema_len,ema_slope_lookback,atr_len,initial_stop_atr_mult,be_trigger_r,chand_activate_r,chand_atr_mult,chand_lookback
APT/USDT,1d,LONG,2024-03-25 00:00:00+00:00,2024-04-02 00:00:00+00:00,17.3341,14.7011,13.571085714285715,13.571085714285715,3.763014285714285,8,DONCHIAN_EXIT,False,False,0.5400723584056853,-0.7148790293495715,-0.6997050237081973,0.02,-0.7197050237081973,20,50,10,14,2.0,999.0,4.0,3.0,22
LTC/USDT,1d,LONG,2024-03-29 00:00:00+00:00,2024-04-02 00:00:00+00:00,109.06,94.65142857142857,94.65142857142857,94.65142857142857,14.408571428571433,4,INITIAL_STOP,False,False,0.25956771762839537,-1.1076740035693042,-1.0000000000000002,0.02,-1.0200000000000002,20,50,10,14,2.0,999.0,4.0,3.0,22
DOGE/USDT,1d,LONG,2024-03-28 00:00:00+00:00,2024-04-03 00:00:00+00:00,0.22001,0.17655142857142858,0.17655142857142858,0.17655142857142858,0.04345857142857142,6,INITIAL_STOP,False,False,0.11344137273593877,-1.1502909174583351,-1.0000000000000002,0.02,-1.0200000000000002,20,50,10,14,2.0,999.0,4.0,3.0,22
SUI/USDT,1d,LONG,2024-03-27 00:00:00+00:00,2024-04-03 00:00:00+00:00,2.0754,1.6684,1.6684,1.6684,0.40700000000000003,7,INITIAL_STOP,False,False,0.2262899262899259,-1.078869778869779,-1.0,0.02,-1.02,20,50,10,14,2.0,999.0,4.0,3.0,22
ICP/USDT,1d,LONG,2024-03-25 00:00:00+00:00,2024-04-09 00:00:00+00:00,17.655,16.064,14.551857142857143,14.551857142857143,3.1031428571428576,15,DONCHIAN_EXIT,False,False,1.0731056072184875,-0.5526655004143269,-0.5127060123377224,0.02,-0.5327060123377224,20,50,10,14,2.0,999.0,4.0,3.0,22
BCH/USDT,1d,LONG,2024-03-24 00:00:00+00:00,2024-04-12 00:00:00+00:00,485.1,533.2,390.2428571428572,390.2428571428572,94.85714285714285,19,DONCHIAN_EXIT,False,False,2.4710843373493976,-0.1823795180722893,0.5070783132530123,0.02,0.4870783132530123,20,50,10,14,2.0,999.0,4.0,3.0,22
CHZ/USDT,1d,LONG,2024-04-08 00:00:00+00:00,2024-04-12 00:00:00+00:00,0.15791,0.13691142857142857,0.13691142857142857,0.13691142857142857,0.020998571428571425,4,INITIAL_STOP,False,False,0.221919858493775,-2.353017212055242,-0.9999999999999999,0.02,-1.0199999999999998,20,50,10,14,2.0,999.0,4.0,3.0,22
ETH/USDT,1d,LONG,2024-04-08 00:00:00+00:00,2024-04-12 00:00:00+00:00,3694.61,3349.7885714285717,3349.7885714285717,3349.7885714285717,344.8214285714286,4,INITIAL_STOP,False,False,0.09491869497669606,-1.724399792853444,-0.9999999999999996,0.02,-1.0199999999999996,20,50,10,14,2.0,999.0,4.0,3.0,22
HBAR/USDT,1d,LONG,2024-04-23 00:00:00+00:00,2024-04-24 00:00:00+00:00,0.1563,0.12915714285714286,0.12915714285714286,0.12915714285714286,0.027142857142857135,1,INITIAL_STOP,False,False,0.9357894736842111,-1.422105263157895,-1.0,0.02,-1.02,20,50,10,14,2.0,999.0,4.0,3.0,22
PENDLE/USDT,1d,LONG,2024-03-25 00:00:00+00:00,2024-04-27 00:00:00+00:00,4.0049,5.434335714285714,3.158728571428572,5.434335714285714,0.8461714285714284,33,STOP_BE_CHAND,False,True,4.175040518638575,-0.19322325769854135,1.6892980145867098,0.02,1.6692980145867098,20,50,10,14,2.0,999.0,4.0,3.0,22
TRX/USDT,1d,LONG,2024-05-09 00:00:00+00:00,2024-05-19 00:00:00+00:00,0.1262,0.12117,0.11999714285714286,0.11999714285714286,0.006202857142857149,10,DONCHIAN_EXIT,False,False,0.23698756333486834,-0.9140948871487798,-0.810916628281898,0.02,-0.830916628281898,20,50,10,14,2.0,999.0,4.0,3.0,22
ADA/USDT,1d,LONG,2024-05-20 00:00:00+00:00,2024-05-23 00:00:00+00:00,0.502,0.45784285714285716,0.45784285714285716,0.45784285714285716,0.04415714285714284,3,INITIAL_STOP,False,False,0.1947589776771284,-1.313490779682951,-1.0,0.02,-1.02,20,50,10,14,2.0,999.0,4.0,3.0,22
DOT/USDT,1d,LONG,2024-05-20 00:00:00+00:00,2024-05-23 00:00:00+00:00,7.575,6.903857142857143,6.903857142857143,6.903857142857143,0.671142857142857,3,INITIAL_STOP,False,False,0.18773946360153176,-1.0131971051511293,-0.9999999999999997,0.02,-1.0199999999999996,20,50,10,14,2.0,999.0,4.0,3.0,22
LTC/USDT,1d,LONG,2024-05-20 00:00:00+00:00,2024-05-23 00:00:00+00:00,88.64,82.62571428571428,82.62571428571428,82.62571428571428,6.014285714285715,3,INITIAL_STOP,False,False,0.1646080760095003,-1.3484560570071256,-1.0000000000000007,0.02,-1.0200000000000007,20,50,10,14,2.0,999.0,4.0,3.0,22
BCH/USDT,1d,LONG,2024-05-20 00:00:00+00:00,2024-05-28 00:00:00+00:00,517.9,465.15714285714284,465.15714285714284,465.15714285714284,52.74285714285715,8,INITIAL_STOP,False,False,0.23131094257854906,-1.0750270855904656,-0.9999999999999998,0.02,-1.0199999999999998,20,50,10,14,2.0,999.0,4.0,3.0,22
AVAX/USDT,1d,LONG,2024-05-20 00:00:00+00:00,2024-05-30 00:00:00+00:00,40.13,35.61,35.61,35.61,4.5200000000000005,10,INITIAL_STOP,False,False,0.3694690265486713,-1.0685840707964613,-1.0000000000000007,0.02,-1.0200000000000007,20,50,10,14,2.0,999.0,4.0,3.0,22
FET/USDT,1d,LONG,2024-05-21 00:00:00+00:00,2024-05-30 00:00:00+00:00,2.5282,2.1522571428571426,2.1522571428571426,2.1522571428571426,0.3759428571428572,9,INITIAL_STOP,False,False,0.4835841313269492,-1.1166590667274658,-1.0000000000000004,0.02,-1.0200000000000005,20,50,10,14,2.0,999.0,4.0,3.0,22
NEAR/USDT,1d,LONG,2024-05-15 00:00:00+00:00,2024-05-30 00:00:00+00:00,8.052,7.285,6.855,6.855,1.1969999999999996,15,DONCHIAN_EXIT,False,False,0.39097744360902265,-0.6959064327485377,-0.640768588137009,0.02,-0.660768588137009,20,50,10,14,2.0,999.0,4.0,3.0,22
GRT/USDT,1d,LONG,2024-05-20 00:00:00+00:00,2024-05-31 00:00:00+00:00,0.3385,0.2982,0.28905714285714285,0.28905714285714285,0.049442857142857156,11,DONCHIAN_EXIT,False,False,0.40248483097370635,-0.9323894828084373,-0.8150823461427331,0.02,-0.8350823461427331,20,50,10,14,2.0,999.0,4.0,3.0,22
INJ/USDT,1d,LONG,2024-05-20 00:00:00+00:00,2024-05-31 00:00:00+00:00,28.24,24.35285714285714,24.35285714285714,24.35285714285714,3.887142857142858,11,INITIAL_STOP,False,False,0.18522601984564557,-1.0264608599779488,-1.0000000000000002,0.02,-1.0200000000000002,20,50,10,14,2.0,999.0,4.0,3.0,22
ZEC/USDT,1d,LONG,2024-05-24 00:00:00+00:00,2024-06-04 00:00:00+00:00,27.75,25.224285714285717,25.224285714285717,25.224285714285717,2.5257142857142845,11,INITIAL_STOP,False,False,0.3563348416289589,-1.076923076923077,-0.9999999999999994,0.02,-1.0199999999999994,20,50,10,14,2.0,999.0,4.0,3.0,22
AAVE/USDT,1d,LONG,2024-05-20 00:00:00+00:00,2024-06-07 00:00:00+00:00,98.03,97.44,88.02571428571429,88.02571428571429,10.004285714285718,18,DONCHIAN_EXIT,False,False,1.6682850207054112,-0.9026131657860914,-0.05897472511780697,0.02,-0.07897472511780697,20,50,10,14,2.0,999.0,4.0,3.0,22
CHZ/USDT,1d,LONG,2024-05-25 00:00:00+00:00,2024-06-07 00:00:00+00:00,0.13624,0.11781285714285714,0.11781285714285714,0.11781285714285714,0.01842714285714286,13,INITIAL_STOP,False,False,1.5607411427242424,-1.3632064501124117,-1.0000000000000002,0.02,-1.0200000000000002,20,50,10,14,2.0,999.0,4.0,3.0,22
DOGE/USDT,1d,LONG,2024-05-21 00:00:00+00:00,2024-06-07 00:00:00+00:00,0.17024,0.14869999999999997,0.14869999999999997,0.14869999999999997,0.02154000000000002,17,INITIAL_STOP,False,False,0.22098421541318394,-1.403899721448466,-1.0000000000000004,0.02,-1.0200000000000005,20,50,10,14,2.0,999.0,4.0,3.0,22
ETH/USDT,1d,LONG,2024-05-20 00:00:00+00:00,2024-06-07 00:00:00+00:00,3661.78,3678.32,3356.488571428572,3356.488571428572,305.29142857142836,18,DONCHIAN_EXIT,False,False,1.0325216186875306,-0.5364710066259883,0.05417774117470886,0.02,0.034177741174708856,20,50,10,14,2.0,999.0,4.0,3.0,22
LINK/USDT,1d,LONG,2024-05-16 00:00:00+00:00,2024-06-07 00:00:00+00:00,15.516,16.318,13.970571428571429,13.970571428571429,1.5454285714285716,22,DONCHIAN_EXIT,False,False,2.396746163801071,-0.1397670549084854,0.5189498983176196,0.02,0.4989498983176196,20,50,10,14,2.0,999.0,4.0,3.0,22
PENDLE/USDT,1d,LONG,2024-05-20 00:00:00+00:00,2024-06-07 00:00:00+00:00,6.022,5.120857142857143,5.120857142857143,5.120857142857143,0.9011428571428571,18,INITIAL_STOP,False,False,1.3627140139505387,-1.3005707038681047,-1.0000000000000002,0.02,-1.0200000000000002,20,50,10,14,2.0,999.0,4.0,3.0,22
PEPE/USDT,1d,LONG,2024-05-04 00:00:00+00:00,2024-06-07 00:00:00+00:00,8.67e-06,1.293e-05,6.718571428571428e-06,1.293e-05,1.9514285714285716e-06,34,STOP_BE_CHAND,False,True,4.396778916544655,-0.5431918008784773,2.1830161054172765,0.02,2.1630161054172765,20,50,10,14,2.0,999.0,4.0,3.0,22
PHA/USDT,1d,LONG,2024-06-06 00:00:00+00:00,2024-06-07 00:00:00+00:00,0.2173,0.1947,0.1947,0.1947,0.02259999999999999,1,INITIAL_STOP,False,False,0.24778761061946886,-1.243362831858407,-0.9999999999999996,0.02,-1.0199999999999996,20,50,10,14,2.0,999.0,4.0,3.0,22
TIA/USDT,1d,LONG,2024-05-28 00:00:00+00:00,2024-06-07 00:00:00+00:00,11.67,9.847142857142856,9.847142857142856,9.847142857142856,1.8228571428571432,10,INITIAL_STOP,False,False,0.15909090909090956,-1.6018808777429463,-1.0000000000000004,0.02,-1.0200000000000005,20,50,10,14,2.0,999.0,4.0,3.0,22
ARKM/USDT,1d,LONG,2024-05-05 00:00:00+00:00,2024-06-10 00:00:00+00:00,2.6324,2.1242,2.1242,2.1242,0.5082,36,INITIAL_STOP,False,False,0.46084218811491534,-1.0181031090121997,-1.0,0.02,-1.02,20,50,10,14,2.0,999.0,4.0,3.0,22
SOL/USDT,1d,LONG,2024-05-16 00:00:00+00:00,2024-06-11 00:00:00+00:00,159.37,149.31,139.92000000000002,139.92000000000002,19.44999999999999,26,DONCHIAN_EXIT,False,False,1.5177377892030848,-0.7285347043701812,-0.5172236503856046,0.02,-0.5372236503856046,20,50,10,14,2.0,999.0,4.0,3.0,22
UNI/USDT,1d,LONG,2024-05-20 00:00:00+00:00,2024-06-11 00:00:00+00:00,9.328,8.978,8.309,8.309,1.019,22,DONCHIAN_EXIT,False,False,2.5907752698724247,-0.6977428851815491,-0.34347399411187407,0.02,-0.3634739941118741,20,50,10,14,2.0,999.0,4.0,3.0,22
BTC/USDT,1d,LONG,2024-05-15 00:00:00+00:00,2024-06-14 00:00:00+00:00,66206.5,66043.99,61015.172857142854,61015.172857142854,5191.327142857145,30,DONCHIAN_EXIT,False,False,1.1154219028495056,-0.30892485791549634,-0.03130413390024854,0.02,-0.051304133900248544,20,50,10,14,2.0,999.0,4.0,3.0,22
INJ/USDT,1d,LONG,2024-06-12 00:00:00+00:00,2024-06-15 00:00:00+00:00,31.24,25.615714285714287,25.615714285714287,25.615714285714287,5.624285714285713,3,INITIAL_STOP,False,False,0.09245618491237041,-1.0721361442722883,-0.9999999999999999,0.02,-1.0199999999999998,20,50,10,14,2.0,999.0,4.0,3.0,22
BNB/USDT,1d,LONG,2024-05-21 00:00:00+00:00,2024-06-18 00:00:00+00:00,618.5,579.1142857142858,579.1142857142858,579.1142857142858,39.38571428571429,28,INITIAL_STOP,False,False,2.6227783822995994,-1.104461371055495,-0.9999999999999988,0.02,-1.0199999999999987,20,50,10,14,2.0,999.0,4.0,3.0,22
UNI/USDT,1d,LONG,2024-06-16 00:00:00+00:00,2024-06-18 00:00:00+00:00,11.984,9.817857142857143,9.817857142857143,9.817857142857143,2.1661428571428574,2,INITIAL_STOP,False,False,0.000923300138495329,-1.2676910901536635,-0.9999999999999998,0.02,-1.0199999999999998,20,50,10,14,2.0,999.0,4.0,3.0,22
AAVE/USDT,1d,LONG,2024-07-01 00:00:00+00:00,2024-07-03 00:00:00+00:00,98.34,86.39285714285714,86.39285714285714,86.39285714285714,11.94714285714286,2,INITIAL_STOP,False,False,0.10630156642353188,-1.2128422814779392,-1.0000000000000004,0.02,-1.0200000000000005,20,50,10,14,2.0,999.0,4.0,3.0,22
TRX/USDT,1d,LONG,2024-06-21 00:00:00+00:00,2024-07-22 00:00:00+00:00,0.11835,0.13329642857142857,0.11388857142857142,0.13329642857142857,0.0044614285714285684,31,STOP_BE_CHAND,False,True,5.197886647454375,-0.5693243675952615,3.350144092219022,0.02,3.330144092219022,20,50,10,14,2.0,999.0,4.0,3.0,22
JTO/USDT,1d,LONG,2024-07-21 00:00:00+00:00,2024-07-23 00:00:00+00:00,2.909,2.4878571428571425,2.4878571428571425,2.4878571428571425,0.42114285714285726,2,INITIAL_STOP,False,False,0.033242876526459166,-1.1373812754409758,-1.0,0.02,-1.02,20,50,10,14,2.0,999.0,4.0,3.0,22
AAVE/USDT,1d,LONG,2024-07-14 00:00:00+00:00,2024-07-24 00:00:00+00:00,104.4,90.4857142857143,90.4857142857143,90.4857142857143,13.914285714285716,10,INITIAL_STOP,False,False,0.1739219712525658,-1.080903490759754,-0.9999999999999997,0.02,-1.0199999999999996,20,50,10,14,2.0,999.0,4.0,3.0,22
INJ/USDT,1d,LONG,2024-07-18 00:00:00+00:00,2024-07-25 00:00:00+00:00,26.92,23.208571428571428,23.208571428571428,23.208571428571428,3.7114285714285726,7,INITIAL_STOP,False,False,0.32063125481139265,-1.0966127790608158,-1.0000000000000002,0.02,-1.0200000000000002,20,50,10,14,2.0,999.0,4.0,3.0,22
ICP/USDT,1d,LONG,2024-07-21 00:00:00+00:00,2024-07-29 00:00:00+00:00,10.722,9.194571428571427,9.194571428571427,9.194571428571427,1.5274285714285718,8,INITIAL_STOP,False,False,0.1728395061728402,-1.1836887392442943,-1.0000000000000004,0.02,-1.0200000000000005,20,50,10,14,2.0,999.0,4.0,3.0,22
NEAR/USDT,1d,LONG,2024-07-15 00:00:00+00:00,2024-07-31 00:00:00+00:00,5.915,5.018714285714285,5.018714285714285,5.018714285714285,0.8962857142857145,16,INITIAL_STOP,False,False,0.6404207841887151,-1.0565827223461906,-1.0000000000000004,0.02,-1.0200000000000005,20,50,10,14,2.0,999.0,4.0,3.0,22
DOGE/USDT,1d,LONG,2024-07-20 00:00:00+00:00,2024-08-01 00:00:00+00:00,0.13424,0.11897999999999999,0.11897999999999999,0.11897999999999999,0.015260000000000006,12,INITIAL_STOP,False,False,0.6218872870249014,-1.4501965923984266,-1.0000000000000002,0.02,-1.0200000000000002,20,50,10,14,2.0,999.0,4.0,3.0,22
BNB/USDT,1d,LONG,2024-07-19 00:00:00+00:00,2024-08-02 00:00:00+00:00,593.4,542.9,539.0999999999999,539.0999999999999,54.300000000000026,14,DONCHIAN_EXIT,False,False,0.2246777163904243,-0.9797421731123371,-0.930018416206261,0.02,-0.950018416206261,20,50,10,14,2.0,999.0,4.0,3.0,22
BTC/USDT,1d,LONG,2024-07-15 00:00:00+00:00,2024-08-02 00:00:00+00:00,64724.14,61498.33,59180.549999999996,59180.549999999996,5543.590000000001,18,DONCHIAN_EXIT,False,False,0.9661338591057428,-0.6303009421692435,-0.5818990942692366,0.02,-0.6018990942692366,20,50,10,14,2.0,999.0,4.0,3.0,22
JTO/USDT,1d,LONG,2024-07-26 00:00:00+00:00,2024-08-02 00:00:00+00:00,3.223,2.6455714285714285,2.6455714285714285,2.6455714285714285,0.5774285714285715,7,INITIAL_STOP,False,False,0.2320633349826824,-1.061603166749134,-0.9999999999999998,0.02,-1.0199999999999998,20,50,10,14,2.0,999.0,4.0,3.0,22
SOL/USDT,1d,LONG,2024-07-15 00:00:00+00:00,2024-08-02 00:00:00+00:00,159.38,152.77,137.70857142857142,137.70857142857142,21.67142857142858,18,DONCHIAN_EXIT,False,False,1.5965721819380345,-0.4328279499011202,-0.3050098879367164,0.02,-0.3250098879367164,20,50,10,14,2.0,999.0,4.0,3.0,22
XRP/USDT,1d,LONG,2024-07-16 00:00:00+00:00,2024-08-02 00:00:00+00:00,0.5793,0.5607,0.5085142857142857,0.5085142857142857,0.0707857142857143,17,DONCHIAN_EXIT,False,False,1.1202825428859724,-0.5551967709384459,-0.2627648839556012,0.02,-0.28276488395560123,20,50,10,14,2.0,999.0,4.0,3.0,22
BCH/USDT,1d,LONG,2024-07-28 00:00:00+00:00,2024-08-03 00:00:00+00:00,416.8,368.6142857142857,368.6142857142857,368.6142857142857,48.18571428571429,6,INITIAL_STOP,False,False,0.8799288467239841,-1.2887637118292325,-1.0000000000000004,0.02,-1.0200000000000005,20,50,10,14,2.0,999.0,4.0,3.0,22
