symbol,timeframe,trades,total_net_r,avg_net_r,win_rate,profit_factor,max_drawdown_r,best_trade_r,worst_trade_r,be_touch_rate,chand_touch_rate
ZEC/USDT,6h,16,41.083172475821044,2.5676982797388153,0.375,5.027762007433437,-3.060000000000006,29.944692901802114,-1.020000000000001,0.0,0.375
币安人生/USDT,4h,8,39.73341168801301,4.966676461001626,0.375,8.790865036865299,-3.0600000000000005,40.16691588785046,-1.0200000000000007,0.0,0.25
TON/USDT,6h,10,37.36019693312796,3.736019693312796,0.4,7.104607342014372,-3.4315823817292053,23.869705882352932,-1.0200000000000014,0.0,0.4
TON/USDT,4h,16,30.102820390646002,1.8814262744153751,0.1875,3.351827116873077,-9.179999999999996,37.297460317460306,-1.0200000000000022,0.0,0.1875
LUNC/USDT,6h,6,23.689299213928347,3.9482165356547245,0.6666666666666666,12.612401575455062,-1.0199999999999996,9.133664302600476,-1.0200000000000011,0.0,0.6666666666666666
币安人生/USDT,2h,14,22.28240504699369,1.5916003604995494,0.2857142857142857,3.1845495144111453,-4.080000000000002,18.86787878787879,-1.0200000000000014,0.0,0.21428571428571427
VIC/USDT,6h,13,21.071645322876872,1.6208957940674518,0.46153846153846156,3.9512108295345754,-5.1,8.237142857142848,-1.0200000000000014,0.0,0.46153846153846156
LUNC/USDT,2h,14,20.975223795223116,1.4982302710873654,0.5714285714285714,4.427324149546263,-3.059999999999997,5.959526551503519,-1.0200000000000016,0.0,0.5
VIC/USDT,2h,14,20.10259711484393,1.4358997939174236,0.35714285714285715,3.189825393773847,-4.080000000000004,13.762608695652153,-1.020000000000002,0.0,0.35714285714285715
OSMO/USDT,4h,15,19.26085499217263,1.2840569994781752,0.4,3.0981323520885224,-5.099999999999995,11.862352941176477,-1.0200000000000011,0.0,0.4
ZEC/USDT,2h,16,18.74368882072889,1.1714805512955557,0.1875,2.413551193116809,-5.100000000000001,17.525163698411006,-1.0200000000000016,0.0,0.1875
NOT/USDT,4h,8,17.947943269884014,2.243492908735502,0.5,5.3990057034029455,-1.0200000000000005,10.173798449612406,-1.0200000000000005,0.0,0.5
JTO/USDT,6h,14,17.042993955712785,1.2173567111223418,0.2857142857142857,2.670881760363998,-8.16,8.752911597729113,-1.020000000000002,0.0,0.2857142857142857
DOGS/USDT,2h,19,16.873591988870942,0.8880837888879443,0.2631578947368421,2.181624088856508,-3.060000000000004,17.91333333333331,-1.0200000000000025,0.0,0.2631578947368421
SUI/USDT,6h,17,14.793393957508467,0.8701996445593216,0.29411764705882354,2.208610617443502,-7.140000000000002,8.026387154326493,-1.020000000000001,0.0,0.29411764705882354
ENA/USDT,6h,14,12.265590881701925,0.8761136344072804,0.42857142857142855,2.503136137463471,-3.0599999999999987,5.9177123442808615,-1.0200000000000011,0.0,0.35714285714285715
SAHARA/USDT,2h,16,11.99908660775689,0.7499429129848056,0.1875,1.9719887033922185,-7.537275747508298,17.221245136186766,-1.020000000000002,0.0,0.25
ICP/USDT,6h,6,11.933175132777794,1.9888625221296323,0.5,4.8997304355483,-1.020000000000001,6.26131749460043,-1.0200000000000011,0.0,0.3333333333333333
ENA/USDT,4h,6,11.469537735705591,1.9115896226175986,0.8333333333333334,12.244644838927044,-1.0200000000000014,4.530824175824179,-1.0200000000000007,0.0,0.6666666666666666
