timestamp_utc,symbol,side,combo_idx,entry_date,exit_date,entry_price,exit_price,net_r,pnl_usdt,risk_amount_usdt,notional_usdt,exit_reason
2026-08-29T08:12:30.926269+00:00,1000XECUSDT,long,0,2026-08-15,2026-08-29,0.0064831824,0.0068358675,0.31345647924142717,47.01847188621407,150.0,863.6193048101387,REBALANCE_DROPPED
2026-08-29T08:12:30.926773+00:00,1MBABYDOGEUSDT,long,0,2026-08-15,2026-08-29,0.0003310255,0.00036119475000000005,0.8273981592567332,124.10972388850998,150.0,1358.370885188923,REBALANCE_DROPPED
2026-08-29T08:12:30.927244+00:00,AEROUSDT,long,0,2026-08-15,2026-08-29,0.40932719999999995,0.49030744000000004,1.684774640910126,252.7161961365189,150.0,1276.372164614925,REBALANCE_DROPPED
2026-08-29T08:12:30.927686+00:00,ALICEUSDT,long,0,2026-08-15,2026-08-29,0.115488,0.1388888,1.6022888787956082,240.34333181934124,150.0,1183.188259614547,REBALANCE_DROPPED
2026-08-29T08:12:30.928111+00:00,ALTUSDT,long,0,2026-08-15,2026-08-29,0.00594282,0.006242355,0.5443892203899446,81.6583830584917,150.0,1616.0745648112531,REBALANCE_DROPPED
2026-08-29T08:12:30.928612+00:00,APEUSDT,long,0,2026-08-15,2026-08-29,0.12410949999999998,0.13695675000000002,0.8931056282994194,133.96584424491292,150.0,1290.935532313933,REBALANCE_DROPPED
2026-08-29T08:12:30.929047+00:00,ARPAUSDT,long,0,2026-08-15,2026-08-29,0.008517239999999999,0.0094812375,1.2003948245545124,180.05922368317687,150.0,1586.9161117246356,REBALANCE_DROPPED
2026-08-29T08:12:30.929518+00:00,ARUSDT,long,0,2026-08-15,2026-08-29,1.76039,2.08677,2.110865456257187,316.62981843857807,150.0,1703.5417647470524,REBALANCE_DROPPED
2026-08-29T08:12:30.929944+00:00,AVAAIUSDT,long,0,2026-08-15,2026-08-29,0.014730775199999999,0.008992799999999999,-2.066761013314488,-310.01415199717314,150.0,795.2453860808586,REBALANCE_DROPPED
2026-08-29T08:12:30.930391+00:00,AVAUSDT,long,0,2026-08-15,2026-08-29,0.1806505,0.20149500000000004,0.7803640196470242,117.05460294705362,150.0,1011.9330975105671,REBALANCE_DROPPED
2026-08-29T08:12:30.930814+00:00,BANUSDT,long,0,2026-08-15,2026-08-29,0.0746662,0.07169032500000001,-0.36428740061793774,-54.64311009269066,150.0,1367.6040961746094,REBALANCE_DROPPED
2026-08-29T08:12:30.931267+00:00,BICOUSDT,long,0,2026-08-15,2026-08-29,0.027135426,0.022945410000000003,-0.21016301598880988,-31.524452398321483,150.0,204.11816889636273,REBALANCE_DROPPED
