symbol,side,combo_idx,entry_date,entry_price,current_price,unrealized_r,qty,notional_usdt,cluster,days_held
COMPUSDT,long,0,2026-08-29,18.224567999999998,24.24,2.7168,68.93023703,1256.22,solo_COMPUSDT,28
ENAUSDT,long,0,2026-08-29,0.162412476,0.26801,3.286,4752.19124591,771.82,cluster_6,28
ANKRUSDT,long,0,2026-09-12,0.004152355,0.005086,2.0853,343440.04083497,1426.08,cluster_0,14
ARUSDT,long,0,2026-09-12,2.6150903999999997,4.646,4.7815,362.64141078,948.34,cluster_1,14
BANDUSDT,long,0,2026-09-12,0.17874574999999998,0.2237,1.9578,6696.8177439,1197.03,cluster_0,14
ENSUSDT,long,0,2026-09-12,5.761605599999999,7.18,1.5618,169.60460421,977.19,cluster_0,14
AEROUSDT,long,0,2026-09-26,0.8511804,0.8505,-0.0055,1329.60400747,1131.73,cluster_0,0
ALGOUSDT,long,0,2026-09-26,0.11640304799999998,0.11631,-0.006,10624.26775972,1236.7,cluster_0,0
ALTUSDT,long,0,2026-09-26,0.00810822,0.008088,-0.0215,174200.38766885,1412.46,cluster_0,0
ANIMEUSDT,long,0,2026-09-26,0.0034816824999999996,0.003473,-0.0194,366700.74475473,1276.74,solo_ANIMEUSDT,0
API3USDT,long,0,2026-09-26,0.28310599999999997,0.2824,-0.0192,4457.88494891,1262.05,solo_API3USDT,0
ASTRUSDT,long,0,2026-09-26,0.0075039984,0.007498,-0.0062,170371.45641156,1278.47,cluster_0,0
AVAXUSDT,long,0,2026-09-26,10.6491294,10.647,-0.0015,116.66961059,1242.43,cluster_0,0
AXLUSDT,long,0,2026-09-26,0.053523474999999994,0.05339,-0.0193,23773.09892985,1272.42,cluster_1,0
BEAMXUSDT,long,0,2026-09-26,0.00214535,0.00214,-0.0188,575905.16492029,1235.52,cluster_0,0
BIGTIMEUSDT,long,0,2026-09-26,0.00877789,0.008756,-0.0197,147447.66008092,1294.28,cluster_0,0
CATIUSDT,long,0,2026-09-26,0.06457161599999998,0.06452,-0.0044,13874.63129185,895.91,solo_CATIUSDT,0
CFXUSDT,long,0,2026-09-26,0.05633047499999999,0.05619,-0.0226,26420.01520779,1488.25,cluster_0,0
CHRUSDT,long,0,2026-09-26,0.021877488,0.02186,-0.0046,43564.83084016,953.09,cluster_1,0
CKBUSDT,long,0,2026-09-26,0.00145051725,0.0014469,-0.0207,939143.22993251,1362.24,cluster_0,0
