date,paper_equity,unrealized_pnl,total_value,open_positions,total_cost,total_market_value
2026-08-17,60000.00,763.46,60763.46,20,26422.76,27186.22
2026-08-22,60000.00,4442.19,64442.19,20,26422.76,30864.95
2026-08-24,60000.00,4337.74,64337.74,20,26422.76,30760.50
2026-08-24,60000.00,4337.74,64337.74,20,26422.76,30760.50
2026-09-15,61661.10,1588.11,63249.22,20,25882.44,27470.55
2026-09-16,61661.10,484.24,62145.34,20,25882.44,26366.67
2026-09-17,61661.10,484.24,62145.34,20,25882.44,26366.67
2026-09-19,61661.10,3751.85,65412.95,20,25882.44,29634.29
2026-09-20,61661.10,4445.39,66106.49,20,25882.44,30327.83
2026-09-21,61661.10,4740.44,66401.55,20,25882.44,30622.88
2026-09-22,61661.10,5828.18,67489.28,20,25882.44,31710.62
2026-09-23,61661.10,6229.80,67890.91,20,25882.44,32112.24
2026-09-24,61661.10,4573.70,66234.80,20,25882.44,30456.14
2026-09-25,61661.10,5836.92,67498.02,20,25882.44,31719.36
