symbol,n,win_rate,avg_r,total_r,max_dd_r
DOT_USDT,36,0.6944,0.2523,9.08,1.0
TRX_USDT,46,0.6087,0.191,8.78,3.37
DASH_USDT,44,0.6364,0.1895,8.34,1.97
SOL_USDT,23,0.6087,0.3303,7.6,1.47
PENDLE_USDT,28,0.6786,0.2641,7.39,1.56
WLD_USDT,26,0.6538,0.2634,6.85,2.05
RENDER_USDT,12,0.8333,0.5539,6.65,0.59
CHZ_USDT,35,0.6857,0.1842,6.45,4.26
ADA_USDT,31,0.6774,0.2038,6.32,1.79
ALT_USDT,21,0.7143,0.2596,5.45,1.09
BCH_USDT,44,0.6136,0.1226,5.4,3.22
JTO_USDT,17,0.6471,0.284,4.83,1.0
LINK_USDT,27,0.5926,0.1699,4.59,2.0
ATOM_USDT,30,0.6,0.146,4.38,2.91
HBAR_USDT,24,0.6667,0.179,4.3,2.06
ZEN_USDT,37,0.5676,0.1108,4.1,2.45
PEPE_USDT,23,0.6522,0.1784,4.1,1.2
EIGEN_USDT,15,0.6,0.2718,4.08,0.7
INJ_USDT,27,0.6667,0.1424,3.85,2.8
SUI_USDT,32,0.5938,0.1069,3.42,3.86
TAO_USDT,23,0.6522,0.1461,3.36,2.53
DOGE_USDT,43,0.6279,0.077,3.31,2.44
UNI_USDT,36,0.5833,0.0903,3.25,1.61
BNB_USDT,34,0.6765,0.091,3.09,3.28
ARKM_USDT,24,0.625,0.1175,2.82,2.78
TIA_USDT,22,0.4545,0.1212,2.67,2.14
MORPHO_USDT,10,0.7,0.2577,2.58,1.57
ZEC_USDT,40,0.65,0.0633,2.53,3.11
XRP_USDT,33,0.6061,0.0597,1.97,1.6
FIL_USDT,50,0.62,0.0383,1.91,5.29
AVAX_USDT,36,0.5278,0.052,1.87,5.29
ASTER_USDT,7,0.7143,0.2609,1.83,0.5
TON_USDT,24,0.5833,0.0734,1.76,3.82
SAGA_USDT,22,0.6364,0.0673,1.48,1.99
SEI_USDT,28,0.5357,0.0498,1.39,1.84
SPK_USDT,7,0.7143,0.1961,1.37,0.01
FET_USDT,23,0.6522,0.0446,1.03,3.86
NEAR_USDT,34,0.5588,0.0224,0.76,4.61
LTC_USDT,37,0.5946,0.0077,0.28,3.11
ICP_USDT,27,0.5926,0.0102,0.28,2.39
PENGU_USDT,11,0.4545,-0.0252,-0.28,1.55
NIL_USDT,11,0.2727,-0.082,-0.9,1.08
ONDO_USDT,7,0.4286,-0.1618,-1.13,1.83
ETH_USDT,55,0.5091,-0.0222,-1.22,5.01
APT_USDT,38,0.5526,-0.034,-1.29,5.29
GRT_USDT,35,0.5429,-0.0375,-1.31,5.15
LPT_USDT,30,0.5667,-0.0439,-1.32,4.93
AAVE_USDT,27,0.4815,-0.0491,-1.33,3.49
ARB_USDT,36,0.5278,-0.0608,-2.19,5.16
ORDI_USDT,29,0.4828,-0.1279,-3.71,3.56
ENA_USDT,25,0.36,-0.1906,-4.76,4.8
BTC_USDT,43,0.4419,-0.1482,-6.37,8.45
