exit_time,net_r,cumulative_r
2024-05-23 00:00:00+00:00,-1.0385977848816137,-1.0385977848816137
2024-06-02 00:00:00+00:00,-1.0121770090744475,-2.0507747939560614
2024-06-07 00:00:00+00:00,-1.0143148914113203,-3.065089685367382
2024-06-07 00:00:00+00:00,-1.0148450872680403,-4.079934772635422
2024-06-07 00:00:00+00:00,-1.012709890856291,-5.092644663491713
2024-06-07 00:00:00+00:00,-1.0068786990384704,-6.099523362530183
2024-06-11 00:00:00+00:00,-0.46203386022689547,-6.561557222757079
2024-06-12 00:00:00+00:00,-1.011621787167423,-7.573179009924502
2024-06-14 00:00:00+00:00,-1.0119201932655064,-8.585099203190008
2024-06-17 00:00:00+00:00,-1.0183083484524316,-9.60340755164244
2024-07-25 00:00:00+00:00,-1.022332574214619,-10.62574012585706
2024-08-02 00:00:00+00:00,-1.0215158435654141,-11.647255969422474
2024-08-03 00:00:00+00:00,-1.0258174315607287,-12.673073400983203
2024-08-03 00:00:00+00:00,-1.0156841926863411,-13.688757593669544
2024-08-04 00:00:00+00:00,-1.0137366370444836,-14.702494230714027
2024-08-05 00:00:00+00:00,-1.0494699339161797,-15.751964164630207
2024-08-05 00:00:00+00:00,-1.014925750923232,-16.76688991555344
2024-08-28 00:00:00+00:00,-1.008520203837146,-17.775410119390585
2024-10-01 00:00:00+00:00,-1.025553887536763,-18.800964006927348
2024-10-01 00:00:00+00:00,-1.0331130587302886,-19.834077065657638
2024-10-23 00:00:00+00:00,-1.00693644313482,-20.841013508792457
2024-10-23 00:00:00+00:00,-1.0237835637866968,-21.864797072579155
2024-10-23 00:00:00+00:00,-1.0182736195545081,-22.883070692133664
2024-10-25 00:00:00+00:00,-1.009369630170119,-23.892440322303784
2024-11-14 00:00:00+00:00,-1.0188594205045496,-24.911299742808335
2024-12-09 00:00:00+00:00,-1.0094003781774934,-25.920700120985828
2024-12-09 00:00:00+00:00,-1.009001031236175,-26.929701152222002
2024-12-09 00:00:00+00:00,-1.0082680422130188,-27.93796919443502
2024-12-10 00:00:00+00:00,-1.0172558421514208,-28.95522503658644
2024-12-18 00:00:00+00:00,-1.0088676885194194,-29.96409272510586
2024-12-19 00:00:00+00:00,-1.0076601368095988,-30.97175286191546
2024-12-20 00:00:00+00:00,-1.0087142237718745,-31.980467085687334
2024-12-20 00:00:00+00:00,-1.0095910372956958,-32.99005812298303
2024-12-31 00:00:00+00:00,-0.4427727244812299,-33.43283084746426
