entry_n,exit_n,trades,total_r,avg_r,profit_factor
15,7,212,71.18521158824115,0.3357792999445337,1.5292326861691357
20,10,191,81.65352072572759,0.427505344113757,1.6599281070127212
25,12,176,69.47338687891298,0.39473515272109644,1.6003601756546182
