symbol,entry_time,exit_time,entry_price,exit_price,initial_stop,initial_risk,exit_reason,bars_held,net_r,mae_r,mfe_r,btc_slope,month,year
ZEC/USDT,2021-01-13 00:00:00+00:00,2021-01-15 00:00:00+00:00,117.35,95.25774198581956,95.25774198581956,22.092258014180434,initial_stop,3,-0.9999999999999999,-1.03746751397201,0.06970767764035352,-0.022722839224331107,2021-01,2021
ETH/USDT,2021-01-19 00:00:00+00:00,2021-01-21 00:00:00+00:00,1365.36,1106.7970456352675,1106.7970456352675,258.56295436473243,initial_stop,3,-0.9999999999999998,-1.0804331992816374,0.16464075491630692,-0.009968213526685974,2021-01,2021
VET/USDT,2021-01-20 00:00:00+00:00,2021-01-22 00:00:00+00:00,0.034595,0.02687611484515506,0.02687611484515506,0.0077188851548449415,initial_stop,3,-0.9999999999999999,-1.2286748422532419,0.10014399547255916,-0.011614195901276549,2021-01,2021
QTUM/USDT,2021-01-23 00:00:00+00:00,2021-01-27 00:00:00+00:00,3.938,3.160863083844896,3.160863083844896,0.7771369161551043,initial_stop,5,-1.0,-1.2069945211723672,0.31783331207843707,-0.024828689975022234,2021-01,2021
ICX/USDT,2021-01-20 00:00:00+00:00,2021-02-15 00:00:00+00:00,0.8043,1.1945543438854207,0.6313974950772687,0.1729025049227313,chandelier_stop,27,2.257077444076488,-0.9965153487915023,6.433105179691166,-0.011614195901276549,2021-02,2021
IOST/USDT,2021-01-14 00:00:00+00:00,2021-02-15 00:00:00+00:00,0.01478,0.027124207850515288,0.011560315870290976,0.003219684129709023,chandelier_stop,33,3.833981022116877,-0.5882564635839507,7.211887584170715,-0.012938160518603976,2021-02,2021
FET/USDT,2021-01-15 00:00:00+00:00,2021-02-15 00:00:00+00:00,0.08851,0.1941719899772643,0.06678178263928555,0.021728217360714452,chandelier_stop,32,4.862892717941311,-0.6765396238431521,9.148932777127904,-0.005569060391851931,2021-02,2021
SC/USDT,2021-01-28 00:00:00+00:00,2021-02-23 00:00:00+00:00,0.005682,0.009909475529592574,0.004547555752717066,0.001134444247282935,chandelier_stop,27,3.7264727109486797,-0.017629777794634954,7.680412696232696,-0.002331613634686068,2021-02,2021
HBAR/USDT,2021-01-19 00:00:00+00:00,2021-02-23 00:00:00+00:00,0.07166,0.1076721913375082,0.05529862629579812,0.016361373704201883,chandelier_stop,36,2.201049373272346,-0.23714390185975298,5.399302136672837,-0.009968213526685974,2021-02,2021
ADA/USDT,2021-02-26 00:00:00+00:00,2021-03-12 00:00:00+00:00,1.24303,1.03207,0.9672839661116814,0.2757460338883187,midline_exit,15,-0.7650518015626002,-0.8088239633224628,0.8883899309290391,-0.03734449302900346,2021-03,2021
SC/USDT,2021-03-18 00:00:00+00:00,2021-03-23 00:00:00+00:00,0.02262,0.01856056100820517,0.01856056100820517,0.004059438991794833,initial_stop,6,-0.9999999999999998,-1.0053113270697622,1.6455475777569242,-0.003186060758670406,2021-03,2021
JST/USDT,2021-03-17 00:00:00+00:00,2021-03-24 00:00:00+00:00,0.09518,0.08020008627811485,0.08020008627811485,0.014979913721885143,initial_stop,8,-1.0000000000000002,-1.0093516078073395,1.7049497396428208,-0.0017257109313390969,2021-03,2021
JST/USDT,2021-04-04 00:00:00+00:00,2021-04-06 00:00:00+00:00,0.16985,0.13956881191513812,0.13956881191513812,0.030281188084861892,initial_stop,3,-0.9999999999999997,-1.1178557428175089,1.0613850391183086,-0.0009155973856844528,2021-04,2021
TRX/USDT,2021-03-17 00:00:00+00:00,2021-04-06 00:00:00+00:00,0.05483,0.11661544748090184,0.04631659395932727,0.00851340604067273,chandelier_stop,21,7.257429891834403,-0.31714686073949316,11.093092417865854,-0.0017257109313390969,2021-04,2021
FET/USDT,2021-03-27 00:00:00+00:00,2021-04-07 00:00:00+00:00,0.78885,0.5902909247404167,0.5902909247404167,0.19855907525958333,initial_stop,12,-1.0000000000000002,-1.175216996226102,0.4525605283088812,-0.0037327499778846427,2021-04,2021
DUSK/USDT,2021-03-17 00:00:00+00:00,2021-04-12 00:00:00+00:00,0.3698,0.336,0.2832166690059734,0.08658333099402658,midline_exit,27,-0.3903753714711192,-0.8200192714334162,1.0614052259821258,-0.0017257109313390969,2021-04,2021
ARDR/USDT,2021-04-09 00:00:00+00:00,2021-04-18 00:00:00+00:00,0.49898,0.39936268346344994,0.39936268346344994,0.09961731653655004,initial_stop,10,-1.0,-1.6124706585633044,2.9213796367745313,-9.62172796210955e-05,2021-04,2021
SOL/USDT,2021-04-07 00:00:00+00:00,2021-04-18 00:00:00+00:00,26.5385,22.36600839583422,22.36600839583422,4.172491604165777,initial_stop,12,-1.0000000000000002,-1.3034178414092552,1.5461984377772948,-0.005065212691090109,2021-04,2021
ZRX/USDT,2021-04-09 00:00:00+00:00,2021-04-18 00:00:00+00:00,2.1552,1.7650929812933356,1.7650929812933356,0.3901070187066643,initial_stop,10,-0.9999999999999997,-1.8192443764608324,0.627520111818532,-9.62172796210955e-05,2021-04,2021
