block_size,tot_p05,tot_p50,tot_p95,prob_pos,pf_p05,dd_p05
1,613.1323968606586,745.7315205744469,874.0630774420613,1.0,1.4684731895538286,-28.288672190146585
5,513.2670228824232,735.9637579076245,978.4004353423422,1.0,1.384721808824317,-66.77514889595457
10,446.1069735430987,718.4003641705347,1015.9174311738639,1.0,1.3318349220351093,-94.40955496499156
20,398.7601084111,719.0949839908632,1073.6778934806584,1.0,1.2962365712482498,-126.0564733270134
50,349.51383367621264,743.2277847452508,1167.783815939561,1.0,1.2582103026774956,-157.4705125990026
