n,avg_r,total_r,win_rate,pf,t_stat,trades_per_year,n_symbols_traded,dominant_month_share,dominant_asset_share,gate_diversification,beta_lookback,quantile,rebalance_n,trend_n,profitable,gate_avgr,zone_frac,gate_stability,all_gates
103,0.02427727761964984,2.500559594823933,0.6019417475728155,1.0885259763628838,0.29645377294758196,20.602820372398686,70,2.7240220894597815,0.6155602435225532,False,60,0.1,14,100,True,False,0.0,False,False
211,-0.03396164674080784,-7.165907462310454,0.5781990521327014,0.8976718651219049,-0.3798650192523081,42.20577765607886,131,2.321690527894632,1.9945176520350583,False,60,0.2,14,100,False,False,0.06666666666666667,False,False
109,-0.04069930774104957,-4.4362245437744035,0.5779816513761468,0.8741683287739831,-0.48585475394586086,21.80298466593647,75,2.3346450250857758,0.939359193064039,False,60,0.1,14,50,False,False,0.06666666666666667,False,False
127,-0.08816858310663246,-11.197410054542322,0.5590551181102362,0.707625213417683,-0.9581044340313887,25.403477546549833,81,0.815938447532176,0.5992221643383864,False,60,0.1,7,100,False,False,0.06666666666666667,False,False
223,-0.08830504891648758,-19.69202590837673,0.5515695067264574,0.7616746613080881,-1.0185742708280514,44.606106243154436,133,0.8448607348184763,0.7258028703053897,False,60,0.2,14,50,False,False,0.06666666666666667,False,False
153,-0.10326484046784176,-15.799520591579789,0.5294117647058824,0.6826290366713468,-1.555850513482558,30.60418948521358,94,0.6648942088079911,0.3603135283498201,False,90,0.1,7,50,False,False,0.06666666666666667,False,False
254,-0.10593416595265952,-26.907278151975518,0.5393700787401575,0.6649775830915633,-1.429914470769241,50.80695509309967,139,0.5856780905735568,0.5523802398252997,False,60,0.2,7,100,False,False,0.06666666666666667,False,False
152,-0.15041347056816654,-22.862847526361314,0.5197368421052632,0.553363864866582,-1.8640379426411704,30.404162102957283,93,0.399617648928026,0.29347771663747496,False,60,0.1,7,50,False,False,0.06666666666666667,False,False
282,-0.15672880656749452,-44.19752345203346,0.48226950354609927,0.5809750352495555,-2.8226539537804425,56.40772179627601,134,0.6383304515251884,0.23255989582115863,False,90,0.2,7,50,False,False,0.06666666666666667,False,False
308,-0.1592967092651723,-49.063386453673075,0.4837662337662338,0.5330580176416629,-2.53921210551007,61.60843373493976,146,0.3211968115054729,0.32037866009363347,False,60,0.2,7,50,False,False,0.06666666666666667,False,False
110,-0.18362989271509242,-20.199288198660167,0.4909090909090909,0.504253455862144,-2.1908190872769153,22.00301204819277,74,0.5200683132973374,0.2818307731737477,False,90,0.1,7,100,False,False,0.06666666666666667,False,False
72,-0.1966324361722981,-14.157535404405461,0.4305555555555556,0.5064161791219467,-2.0974377577062335,14.401971522453449,61,0.8683307567718938,0.24570324277803468,False,90,0.1,14,100,False,False,0.06666666666666667,False,False
134,-0.21909771611918868,-29.359093959971283,0.3880597014925373,0.489255119631241,-3.090952213069836,26.80366922234392,96,1.0063237169413628,0.13063236114701757,False,90,0.2,14,100,False,False,0.06666666666666667,False,False
96,-0.22331899761694926,-21.438623771227128,0.4166666666666667,0.4608667608124051,-2.7283234250924293,19.2026286966046,71,0.5734240948913581,0.1622563274456002,False,90,0.1,14,50,False,False,0.06666666666666667,False,False
192,-0.2567032231881824,-49.28701885213102,0.421875,0.41360943096085045,-3.4407209826668104,38.4052573932092,104,0.5724149230058737,0.20854520498380075,False,90,0.2,7,100,False,False,0.06666666666666667,False,False
184,-0.26976993607944955,-49.637668238618716,0.3804347826086957,0.41090472510442255,-4.365071133685631,36.80503833515881,115,0.5952083086941387,0.10594910035203826,False,90,0.2,14,50,False,False,0.06666666666666667,False,False
