date,equity,peak_equity,drawdown_pct,open_positions,open_risk_usdt,reserved_margin_usdt
2026-08-15,60000.0000,60000.0000,0.0000,20,3000.0000,10435.9444
2026-08-16,60000.0000,60000.0000,0.0000,20,3000.0000,10435.9444
2026-08-17,60000.00,886.19,60886.19,20,20871.89,21758.08
