date,equity,peak_equity,drawdown_pct,open_positions,open_risk_usdt,reserved_margin_usdt
2026-08-17,60000.0000,60000.0000,0.0000,20,3000.0000,10435.9444
2026-08-20,60000.0000,60000.0000,0.0000,20,3000.0000,10435.9444
2026-08-23,60480.0452,60480.0452,0.0000,20,3006.0006,11047.2764
2026-08-25,60480.0452,60480.0452,0.0000,20,3006.0006,11047.2764
2026-08-26,60480.0452,60480.0452,0.0000,20,3006.0006,11047.2764
2026-08-28,60480.0452,60480.0452,0.0000,20,3006.0006,11047.2764
2026-08-29,60480.0452,60480.0452,0.0000,20,3006.0006,11047.2764
2026-08-30,61372.0535,61372.0535,0.0000,20,3033.2714,9167.5171
2026-08-31,61372.0535,61372.0535,0.0000,20,3033.2714,9167.5171
2026-09-01,61372.0535,61372.0535,0.0000,20,3033.2714,9167.5171
2026-09-02,61372.0535,61372.0535,0.0000,20,3033.2714,9167.5171
2026-09-03,61372.0535,61372.0535,0.0000,20,3033.2714,9167.5171
2026-09-04,61372.0535,61372.0535,0.0000,20,3033.2714,9167.5171
