timestamp_utc,symbol,side,combo_idx,entry_date,exit_date,entry_price,exit_price,net_r,pnl_usdt,risk_amount_usdt,notional_usdt,exit_reason
2026-08-23T08:10:10.757652+00:00,AEROUSDT,long,0,2026-08-15,2026-08-23,0.40932719999999995,0.4636288,1.1297318783056867,169.459781745853,150.0,1276.372164614925,REBALANCE_DROPPED
2026-08-23T08:10:10.758066+00:00,ALICEUSDT,long,0,2026-08-15,2026-08-23,0.115488,0.1418864,1.8075391754981864,271.130876324728,150.0,1183.188259614547,REBALANCE_DROPPED
2026-08-23T08:10:10.758415+00:00,BELUSDT,long,0,2026-08-15,2026-08-23,0.10415975,0.113784825,0.5992626139458068,89.88939209187102,150.0,970.330915691087,REBALANCE_DROPPED
2026-08-23T08:10:10.758748+00:00,BICOUSDT,long,0,2026-08-15,2026-08-23,0.027135426,0.019556088000000003,-0.3801647853560928,-57.02471780341392,150.0,204.11816889636273,REBALANCE_DROPPED
2026-08-23T08:10:10.759122+00:00,COTIUSDT,long,0,2026-08-15,2026-08-23,0.0110582112,0.0112667462,0.043932692895829774,6.589903934374466,150.0,349.38009398155583,REBALANCE_DROPPED
2026-08-30T08:10:04.226082+00:00,1000SATSUSDT,long,0,2026-08-15,2026-08-30,1.0088063999999999e-05,1.1152050000000001e-05,0.7002888303872421,105.04332455808631,150.0,995.1603795026514,REBALANCE_DROPPED
2026-08-30T08:10:04.226601+00:00,1000XECUSDT,long,0,2026-08-15,2026-08-30,0.0064831824,0.00691467,0.38349389847298104,57.524084770947155,150.0,863.6193048101387,REBALANCE_DROPPED
2026-08-30T08:10:04.227111+00:00,1INCHUSDT,long,0,2026-08-15,2026-08-30,0.08350824999999999,0.0879396,0.80551271053182,120.82690657977301,150.0,2271.290084984273,REBALANCE_DROPPED
2026-08-30T08:10:04.227567+00:00,BSVUSDT,long,0,2026-08-15,2026-08-30,15.217949999999998,16.81785,1.2660245485476078,189.90368228214118,150.0,1801.82379963929,REBALANCE_DROPPED
2026-08-30T08:10:04.228066+00:00,CAKEUSDT,long,0,2026-08-15,2026-08-30,1.43808625,1.7169253599999998,3.292894699240847,493.9342048861271,150.0,2541.06612558457,REBALANCE_DROPPED
2026-08-30T08:10:04.228510+00:00,COOKIEUSDT,long,0,2026-08-15,2026-08-30,0.0120266136,0.012629888,0.1605587346717207,24.083810200758098,149.99999999999997,479.74047495221015,REBALANCE_DROPPED
2026-08-30T08:10:04.228938+00:00,ACTUSDT,long,0,2026-08-23,2026-08-30,0.011201954399999998,0.0109256175,-0.09670722412880811,-14.6221432249667,151.20011309073354,592.2685284413816,REBALANCE_DROPPED
2026-08-30T08:10:04.229461+00:00,AEVOUSDT,long,0,2026-08-23,2026-08-30,0.023488574999999998,0.022214325000000004,-0.3583649513959742,-54.18482117882653,151.20011309073357,996.3118385088572,REBALANCE_DROPPED
2026-08-30T08:10:04.229898+00:00,AVAXUSDT,long,0,2026-08-23,2026-08-30,7.496499,7.3245347999999995,-0.20172415393300394,-30.500714887802737,151.20011309073354,1329.3630772223564,REBALANCE_DROPPED
