symbol,entry_date,entry_price,current_price,qty,cost_usdt,market_value_usdt,unrealized_pnl,pnl_pct
1000CATUSDT,2026-08-15,0.001595,0.002276,421206.923038,671.94,958.67,286.73,42.67
1000RATSUSDT,2026-08-15,0.037968,0.042310,9706.804452,368.54,410.69,42.15,11.44
AAVEUSDT,2026-08-15,87.887574,153.520000,18.124200,1592.89,2782.43,1189.54,74.68
ACEUSDT,2026-08-15,0.122014,0.194400,3403.982333,415.33,661.73,246.40,59.33
BOMEUSDT,2026-08-15,0.000743,0.001073,1082865.679117,804.78,1161.91,357.14,44.38
CRVUSDT,2026-08-15,0.254203,0.354700,5264.998139,1338.38,1867.49,529.12,39.53
BICOUSDT,2026-08-30,0.022688,0.022830,12513.701583,283.91,285.69,1.78,0.63
COTIUSDT,2026-08-30,0.013659,0.016372,42730.226757,583.65,699.58,115.93,19.86
EDUUSDT,2026-08-30,0.048972,0.052430,23061.852727,1129.39,1209.13,79.75,7.06
ENAUSDT,2026-08-30,0.159582,0.268010,4841.954119,772.69,1297.69,525.00,67.95
ARBUSDT,2026-09-06,0.177165,0.226560,5554.831476,984.12,1258.50,274.38,27.88
ARUSDT,2026-09-06,2.952360,4.646000,380.918875,1124.61,1769.75,645.14,57.37
CAKEUSDT,2026-09-06,2.247096,2.785100,665.669602,1495.82,1853.96,358.13,23.94
ARKUSDT,2026-09-20,0.153022,0.254200,4017.890880,614.83,1021.35,406.52,66.12
AVAUSDT,2026-09-20,0.224580,0.264100,2604.254967,584.86,687.78,102.92,17.60
CATIUSDT,2026-09-20,0.069145,0.064520,11523.127322,796.77,743.47,-53.30,-6.69
DASHUSDT,2026-09-20,58.661730,63.970000,13.015744,763.53,832.62,69.09,9.05
ETHFIUSDT,2026-09-20,0.751801,0.719900,1219.103985,916.52,877.63,-38.89,-4.24
GRIFFAINUSDT,2026-09-20,0.014114,0.015559,47467.585880,669.97,738.55,68.58,10.24
GUSDT,2026-09-20,0.010571,0.005796,72221.116610,763.46,418.59,-344.86,-45.17
