n,avg_r,total_r,win_rate,pf,t_stat,trades_per_year,n_symbols_traded,dominant_month_share,dominant_asset_share,gate_diversification,lookback,mom_n,trigger_n,exit_n,profitable,gate_avgr,zone_frac,gate_stability,all_gates
273,0.14039320728450197,38.32734558866904,0.4981684981684982,1.335762174103739,1.8202885215019975,54.60747535596933,127,1.2860509082458547,0.1535993982852219,False,30,14,20,10,True,False,0.2857142857142857,False,False
271,0.06043028610896301,16.376607535528976,0.4907749077490775,1.100341042083394,0.6387237387572837,54.20742059145673,127,3.606690522086692,0.37334453367317155,False,30,14,20,20,True,False,0.2857142857142857,False,False
715,0.012233194762992726,8.746734255539799,0.46853146853146854,1.0256152827076452,0.262256914492343,143.019578313253,186,8.613225477677318,0.9395843219980379,False,30,14,10,10,True,False,0.2857142857142857,False,False
132,-0.08637425835056017,-11.401402102273943,0.44696969696969696,0.8671171204656312,-0.6437485988792394,26.403614457831324,80,0.6868528351975828,0.4798869297380726,False,60,14,20,20,False,False,0.42857142857142855,False,False
694,-0.11020876433884706,-76.48488245115986,0.4452449567723343,0.8358239157064632,-1.9201223241594991,138.81900328587074,186,1.6977856174181305,0.14577860342627985,False,30,14,10,20,False,False,0.42857142857142855,False,False
132,-0.12998067353003417,-17.15744890596451,0.4393939393939394,0.7405017677997031,-1.2392971331713811,26.403614457831324,80,0.3370106416515533,0.2128320071648576,False,60,14,20,10,False,False,0.42857142857142855,False,False
448,-0.1328588133497916,-59.52074838070664,0.4575892857142857,0.7435352285173987,-2.3758499466147343,89.61226725082146,162,0.5496255207355364,0.1161839662558432,False,60,14,10,10,False,False,0.42857142857142855,False,False
443,-0.1919295044425427,-85.02477046804641,0.43792325056433407,0.7200651383956073,-2.7321796603783444,88.61213033953997,162,0.7543435130322229,0.08466635803381792,False,60,14,10,20,False,False,0.42857142857142855,False,False
