symbol,entry_time,exit_time,net_r,win,bars_held,exit_reason,year
HBAR_USDT,2021-01-27 00:00:00+00:00,2021-02-16 00:00:00+00:00,1.7899,1,20,time_exit,2021
DOGE_USDT,2021-02-17 00:00:00+00:00,2021-03-09 00:00:00+00:00,0.2754,1,20,time_exit,2021
ATOM_USDT,2021-02-21 00:00:00+00:00,2021-03-13 00:00:00+00:00,-0.3246,0,20,time_exit,2021
ZEN_USDT,2021-02-26 00:00:00+00:00,2021-03-18 00:00:00+00:00,0.395,1,20,time_exit,2021
ADA_USDT,2021-03-04 00:00:00+00:00,2021-03-24 00:00:00+00:00,-0.1141,0,20,time_exit,2021
ATOM_USDT,2021-03-24 00:00:00+00:00,2021-04-13 00:00:00+00:00,1.4613,1,20,time_exit,2021
AVAX_USDT,2021-03-24 00:00:00+00:00,2021-04-13 00:00:00+00:00,0.8405,1,20,time_exit,2021
LINK_USDT,2021-03-24 00:00:00+00:00,2021-04-13 00:00:00+00:00,2.185,1,20,time_exit,2021
ZEN_USDT,2021-03-24 00:00:00+00:00,2021-04-13 00:00:00+00:00,2.7057,1,20,time_exit,2021
DOT_USDT,2021-03-24 00:00:00+00:00,2021-04-13 00:00:00+00:00,1.9413,1,20,time_exit,2021
ETH_USDT,2021-03-24 00:00:00+00:00,2021-04-13 00:00:00+00:00,2.9739,1,20,time_exit,2021
NEAR_USDT,2021-03-25 00:00:00+00:00,2021-04-14 00:00:00+00:00,0.936,1,20,time_exit,2021
GRT_USDT,2021-03-25 00:00:00+00:00,2021-04-14 00:00:00+00:00,2.0401,1,20,time_exit,2021
ZEC_USDT,2021-03-25 00:00:00+00:00,2021-04-14 00:00:00+00:00,4.4133,1,20,time_exit,2021
DOGE_USDT,2021-03-25 00:00:00+00:00,2021-04-14 00:00:00+00:00,8.8833,1,20,time_exit,2021
XRP_USDT,2021-04-19 00:00:00+00:00,2021-05-09 00:00:00+00:00,0.3938,1,20,time_exit,2021
AVAX_USDT,2021-04-19 00:00:00+00:00,2021-05-09 00:00:00+00:00,1.4273,1,20,time_exit,2021
FIL_USDT,2021-04-21 00:00:00+00:00,2021-05-11 00:00:00+00:00,-0.1287,0,20,time_exit,2021
LTC_USDT,2021-04-21 00:00:00+00:00,2021-05-11 00:00:00+00:00,1.8927,1,20,time_exit,2021
BTC_USDT,2021-04-25 00:00:00+00:00,2021-05-15 00:00:00+00:00,-0.3023,0,20,time_exit,2021
BCH_USDT,2021-04-25 00:00:00+00:00,2021-05-15 00:00:00+00:00,1.4221,1,20,time_exit,2021
TRX_USDT,2021-04-25 00:00:00+00:00,2021-05-15 00:00:00+00:00,0.4053,1,20,time_exit,2021
INJ_USDT,2021-05-04 00:00:00+00:00,2021-05-19 00:00:00+00:00,-1.0,0,15,atr_stop,2021
XRP_USDT,2021-05-10 00:00:00+00:00,2021-05-19 00:00:00+00:00,-1.0,0,9,atr_stop,2021
ZEN_USDT,2021-06-08 00:00:00+00:00,2021-06-22 00:00:00+00:00,-1.0,0,14,atr_stop,2021
DOGE_USDT,2021-06-19 00:00:00+00:00,2021-06-21 00:00:00+00:00,-1.0,0,2,atr_stop,2021
ADA_USDT,2021-06-19 00:00:00+00:00,2021-06-22 00:00:00+00:00,-1.0,0,3,atr_stop,2021
ADA_USDT,2021-07-16 00:00:00+00:00,2021-08-05 00:00:00+00:00,1.3999,1,20,time_exit,2021
CHZ_USDT,2021-08-18 00:00:00+00:00,2021-09-07 00:00:00+00:00,0.1718,1,20,time_exit,2021
SOL_USDT,2021-09-13 00:00:00+00:00,2021-10-03 00:00:00+00:00,0.064,1,20,time_exit,2021
AVAX_USDT,2021-09-28 00:00:00+00:00,2021-10-18 00:00:00+00:00,-0.2932,0,20,time_exit,2021
DOT_USDT,2021-09-28 00:00:00+00:00,2021-10-18 00:00:00+00:00,1.9345,1,20,time_exit,2021
TRX_USDT,2021-09-28 00:00:00+00:00,2021-10-18 00:00:00+00:00,0.8553,1,20,time_exit,2021
NEAR_USDT,2021-09-28 00:00:00+00:00,2021-10-18 00:00:00+00:00,0.507,1,20,time_exit,2021
HBAR_USDT,2021-09-28 00:00:00+00:00,2021-10-18 00:00:00+00:00,0.4139,1,20,time_exit,2021
LPT_USDT,2021-10-24 00:00:00+00:00,2021-11-13 00:00:00+00:00,4.4966,1,20,time_exit,2021
LINK_USDT,2021-11-16 00:00:00+00:00,2021-11-26 00:00:00+00:00,-1.0,0,10,atr_stop,2021
ETH_USDT,2021-11-16 00:00:00+00:00,2021-12-04 00:00:00+00:00,-1.0,0,18,atr_stop,2021
SOL_USDT,2021-11-18 00:00:00+00:00,2021-12-08 00:00:00+00:00,-0.0106,0,20,time_exit,2021
ZEC_USDT,2021-12-06 00:00:00+00:00,2021-12-26 00:00:00+00:00,-0.1701,0,20,time_exit,2021
SOL_USDT,2022-01-06 00:00:00+00:00,2022-01-20 00:00:00+00:00,-1.0,0,14,atr_stop,2022
AVAX_USDT,2022-01-06 00:00:00+00:00,2022-01-21 00:00:00+00:00,-1.0,0,15,atr_stop,2022
ATOM_USDT,2022-01-29 00:00:00+00:00,2022-02-18 00:00:00+00:00,-0.2205,0,20,time_exit,2022
NEAR_USDT,2022-04-24 00:00:00+00:00,2022-04-26 00:00:00+00:00,-1.0,0,2,atr_stop,2022
BTC_USDT,2023-02-06 00:00:00+00:00,2023-02-26 00:00:00+00:00,0.512,1,20,time_exit,2023
APT_USDT,2023-02-06 00:00:00+00:00,2023-02-26 00:00:00+00:00,-0.4858,0,20,time_exit,2023
HBAR_USDT,2023-02-24 00:00:00+00:00,2023-03-03 00:00:00+00:00,-1.0,0,7,atr_stop,2023
FIL_USDT,2023-02-25 00:00:00+00:00,2023-03-11 00:00:00+00:00,-1.0,0,14,atr_stop,2023
GRT_USDT,2023-02-25 00:00:00+00:00,2023-03-09 00:00:00+00:00,-1.0,0,12,atr_stop,2023
DASH_USDT,2023-03-06 00:00:00+00:00,2023-03-09 00:00:00+00:00,-1.0,0,3,atr_stop,2023
INJ_USDT,2023-04-21 00:00:00+00:00,2023-05-11 00:00:00+00:00,-0.815,0,20,time_exit,2023
XRP_USDT,2023-05-03 00:00:00+00:00,2023-05-08 00:00:00+00:00,-1.0,0,5,atr_stop,2023
ETH_USDT,2023-05-10 00:00:00+00:00,2023-05-30 00:00:00+00:00,0.398,1,20,time_exit,2023
BTC_USDT,2023-05-10 00:00:00+00:00,2023-05-30 00:00:00+00:00,0.0458,1,20,time_exit,2023
TRX_USDT,2023-06-07 00:00:00+00:00,2023-06-10 00:00:00+00:00,-1.0,0,3,atr_stop,2023
INJ_USDT,2023-07-06 00:00:00+00:00,2023-07-26 00:00:00+00:00,0.1376,1,20,time_exit,2023
BCH_USDT,2023-07-17 00:00:00+00:00,2023-08-06 00:00:00+00:00,-0.4352,0,20,time_exit,2023
LTC_USDT,2023-07-18 00:00:00+00:00,2023-08-03 00:00:00+00:00,-1.0,0,16,atr_stop,2023
BTC_USDT,2023-07-18 00:00:00+00:00,2023-08-07 00:00:00+00:00,-0.3965,0,20,time_exit,2023
ETH_USDT,2023-07-18 00:00:00+00:00,2023-08-07 00:00:00+00:00,-0.5749,0,20,time_exit,2023
AAVE_USDT,2023-07-19 00:00:00+00:00,2023-08-01 00:00:00+00:00,-1.0,0,13,atr_stop,2023
XRP_USDT,2023-08-06 00:00:00+00:00,2023-08-17 00:00:00+00:00,-1.0,0,11,atr_stop,2023
INJ_USDT,2023-08-28 00:00:00+00:00,2023-09-17 00:00:00+00:00,0.1339,1,20,time_exit,2023
LPT_USDT,2023-09-09 00:00:00+00:00,2023-09-29 00:00:00+00:00,-0.5322,0,20,time_exit,2023
BCH_USDT,2023-10-09 00:00:00+00:00,2023-10-29 00:00:00+00:00,1.0701,1,20,time_exit,2023
ZEN_USDT,2023-11-13 00:00:00+00:00,2023-12-03 00:00:00+00:00,-0.3931,0,20,time_exit,2023
BCH_USDT,2023-11-13 00:00:00+00:00,2023-12-03 00:00:00+00:00,-0.1556,0,20,time_exit,2023
GRT_USDT,2023-11-29 00:00:00+00:00,2023-12-19 00:00:00+00:00,0.4821,1,20,time_exit,2023
FIL_USDT,2023-11-30 00:00:00+00:00,2023-12-20 00:00:00+00:00,1.6383,1,20,time_exit,2023
APT_USDT,2023-12-17 00:00:00+00:00,2024-01-06 00:00:00+00:00,0.6804,1,20,time_exit,2023
HBAR_USDT,2024-01-07 00:00:00+00:00,2024-01-27 00:00:00+00:00,-0.0529,0,20,time_exit,2024
NEAR_USDT,2024-01-16 00:00:00+00:00,2024-02-05 00:00:00+00:00,-0.5452,0,20,time_exit,2024
