block_size,total_r_p05,total_r_p50,total_r_p95,dd_p95,pf_p05,pf_p50,prob_positive
1,379.15863820648246,535.121114004444,731.9648949501859,-8.324681860185969,2.7412196388139725,3.565812951857878,1.0
3,357.4202254033981,551.3064170767971,764.6706523629639,-10.048125141978907,2.62503927089744,3.621303180402964,1.0
5,337.4565567161121,540.593916417511,781.3324807896859,-11.220174465711093,2.5113764012555126,3.583113174609928,1.0
10,299.110779836788,542.4886310239339,813.561071163955,-12.795381471257697,2.326358615768245,3.5818349012856014,1.0
20,265.80206606106935,538.3380422113245,852.5636156312783,-14.449618801363028,2.1570093735480547,3.568551802963108,1.0
