trades,total_r,avg_r,win_rate,profit_factor,max_dd_r,std_r,t_score,split
200,257.9810953035927,1.2899054765179636,0.39,3.3185980874820933,-30.064796382972133,4.936461784657039,3.695362992053975,first_half_by_trade
200,287.2751104998824,1.436375552499412,0.415,3.9092062418894002,-22.527428824528386,5.8970765315538864,3.4446590206801253,second_half_by_trade
100,115.2957330490024,1.152957330490024,0.38,3.1772127151044334,-20.74255573889179,6.776774367460878,1.7013364588704967,last_100_trades
201,259.00493903510693,1.2885817862443132,0.39303482587064675,3.3277998552123056,-30.064796382972133,4.92414092608716,3.710048127710765,first_half_by_time
199,286.25126676836817,1.4384485767254682,0.4120603015075377,3.898837879070715,-22.527428824528386,5.91187632561297,3.4323813920597193,second_half_by_time
