trades,total_r,avg_r,win_rate,profit_factor,max_dd_r,std_r,t_score,extra_cost
400,545.256205803475,1.3631405145086877,0.4025,3.5962987927914747,-30.043965197252646,5.431698132357659,5.019205711702572,0.0
400,537.256205803475,1.3431405145086877,0.4025,3.5012755893474767,-32.08396519725227,5.431698132357659,4.945563916769764,0.02
400,525.2562058034752,1.3131405145086879,0.4,3.3662868896124065,-35.143965197253266,5.431698132357659,4.835101224370552,0.05
400,505.25620580347504,1.2631405145086876,0.385,3.157453625069318,-40.24396519725266,5.431698132357659,4.650996737038531,0.1
400,485.25620580347515,1.213140514508688,0.38,2.9684617625104517,-45.343965197252686,5.431698132357659,4.466892249706512,0.15
400,465.25620580347504,1.1631405145086875,0.375,2.7963709014651372,-50.44396519725183,5.431698132357659,4.28278776237449,0.2
