block_size,total_r_p05,total_r_p50,total_r_p95,dd_p95,pf_p05,pf_p50,prob_positive
1,312.00252656709443,409.66832672852433,511.065263179698,-7.045846806612767,2.5920394583742716,3.2411006041726154,1.0
3,293.70519793347853,406.1405861087163,530.3893599330153,-8.396328920389076,2.5142314876286918,3.2214257264705504,1.0
5,283.45687692639666,406.89390408689997,548.4173933129564,-9.431264818726902,2.4352302614916392,3.2324881744613934,1.0
10,254.3994748107833,407.6647670517848,572.8915061514638,-10.994775196058754,2.2664454803887373,3.2266610984835373,1.0
20,238.05087519566194,407.81126906990016,601.085808756221,-12.43528279228383,2.1670150099386807,3.234866829729909,1.0
