entry_n,exit_n,trades,total_r,avg_r,profit_factor
15,7,431,424.252738363137,0.9843451006105266,3.0531175848140935
20,10,366,410.36399863960025,1.1212131110371593,3.239782866881921
25,12,339,367.47554826748905,1.0839986674557198,3.069502663873067
