exit_time,symbol,net_r,equity,peak,dd_pct,kill_fired
2020-12-23 00:00:00+00:00,ETH/USDT,-0.9999999999999998,9975.0,10000.0,-0.0025,False
2020-12-23 00:00:00+00:00,FET/USDT,-0.9999999999999999,9950.0625,10000.0,-0.00499375,False
2021-01-04 00:00:00+00:00,BTC/USDT,2.8989435144203726,10022.17417288113,10022.17417288113,0.0,False
2021-01-08 00:00:00+00:00,ADA/USDT,2.609181069672525,10087.548340703237,10087.548340703237,0.0,False
2021-01-11 00:00:00+00:00,ETH/USDT,3.532401819208988,10176.631525978384,10176.631525978384,0.0,False
2021-01-17 00:00:00+00:00,IOST/USDT,6.964776983710638,10353.82644853798,10353.82644853798,0.0,False
2021-01-22 00:00:00+00:00,ETH/USDT,-0.9999999999999998,10327.941882416635,10353.82644853798,-0.0025000000000000447,False
2021-02-06 00:00:00+00:00,ZRX/USDT,13.688358554862123,10681.373311467376,10681.373311467376,0.0,False
2021-02-15 00:00:00+00:00,ETC/USDT,7.376463614686913,10878.350215434693,10878.350215434693,0.0,False
2021-02-15 00:00:00+00:00,ICX/USDT,8.318900038538686,11104.589985500736,11104.589985500736,0.0,False
2021-02-15 00:00:00+00:00,VET/USDT,5.88680819140045,11268.016463722708,11268.016463722708,0.0,False
2021-02-15 00:00:00+00:00,CELR/USDT,8.19236703299069,11498.795780234204,11498.795780234204,0.0,False
2021-02-15 00:00:00+00:00,QTUM/USDT,7.926841593576005,11726.668611901196,11726.668611901196,0.0,False
2021-02-15 00:00:00+00:00,FET/USDT,9.183885266164172,11995.909559616268,11995.909559616268,0.0,False
2021-02-17 00:00:00+00:00,ARDR/USDT,3.792553775998949,12109.64738985843,12109.64738985843,0.0,False
2021-02-23 00:00:00+00:00,DUSK/USDT,-0.9999999999999997,12079.373271383784,12109.64738985843,-0.0025000000000000317,False
2021-02-23 00:00:00+00:00,SC/USDT,2.770327967224143,12163.03283538442,12163.03283538442,0.0,False
2021-02-23 00:00:00+00:00,FET/USDT,-1.0,12132.625253295959,12163.03283538442,-0.0024999999999999888,False
2021-02-23 00:00:00+00:00,ICX/USDT,-0.9999999999999999,12102.293690162718,12163.03283538442,-0.0049937500000000554,False
2021-03-12 00:00:00+00:00,ADA/USDT,0.4171426897108608,12114.914648516682,12163.03283538442,-0.003956101041489696,False
2021-03-17 00:00:00+00:00,HBAR/USDT,-0.9999999999999998,12084.627361895391,12163.03283538442,-0.006446210788885919,False
2021-03-21 00:00:00+00:00,FET/USDT,2.1155351947784045,12148.54099814507,12163.03283538442,-0.0011914657664320492,False
2021-03-22 00:00:00+00:00,SC/USDT,3.106388250205367,12242.88621067951,12242.88621067951,0.0,False
2021-03-23 00:00:00+00:00,CELR/USDT,4.8308399585988635,12390.744770467334,12390.744770467334,0.0,False
2021-04-06 00:00:00+00:00,JST/USDT,5.770040107650458,12569.482506190476,12569.482506190476,0.0,False
2021-04-06 00:00:00+00:00,TRX/USDT,7.459954680015168,12803.901930809037,12803.901930809037,0.0,False
2021-04-07 00:00:00+00:00,FET/USDT,-1.0000000000000002,12771.892175982015,12803.901930809037,-0.0024999999999999797,False
2021-04-11 00:00:00+00:00,ARDR/USDT,5.681605546760167,12953.30430955622,12953.30430955622,0.0,False
2021-04-12 00:00:00+00:00,DUSK/USDT,0.851155846588814,12980.867511295528,12980.867511295528,0.0,False
2021-04-18 00:00:00+00:00,QTUM/USDT,5.339039111729467,13154.13090966299,13154.13090966299,0.0,False
2021-04-18 00:00:00+00:00,VET/USDT,9.439519491427951,13464.552597449387,13464.552597449387,0.0,False
2021-04-18 00:00:00+00:00,ADA/USDT,-1.0000000000000004,13430.891215955764,13464.552597449387,-0.002499999999999942,False
