entry_ts,equity
1575244800000,9975.0
1575979200000,9994.484717265945
1583596800000,10195.980017064572
1583668800000,10456.296628388322
1583668800000,10598.648536034249
1583683200000,10572.151914694163
1584907200000,10545.721534907427
1584907200000,10519.357231070158
1584936000000,10493.058837992483
1585382400000,10466.826190897502
1585396800000,10440.659125420258
1585497600000,10414.557477606708
1585756800000,10388.52108391269
1586548800000,10388.809090128354
1586577600000,10362.837067403034
1586592000000,10352.528652120376
1586606400000,10338.371610631286
1586736000000,10312.525681604708
1586750400000,10286.744367400695
1586764800000,10261.027506482194
1587369600000,10235.37493771599
1587398400000,10209.7865003717
1587412800000,10184.262034120771
1587412800000,10158.801379035469
1587427200000,10133.404375587881
1587427200000,10108.070864648911
1589068800000,10107.465911785797
1589068800000,10091.527775263095
1589068800000,10066.298955824937
1589068800000,10041.133208435374
1589068800000,10035.556221128012
1589112000000,10030.900182329035
1590048000000,10056.652370208822
1590091200000,10052.587974608372
1590350400000,10027.45650467185
1591876800000,10052.8470448917
1591891200000,10044.568773705805
1591891200000,10029.676128993662
1593028800000,10090.253268550736
1593028800000,10126.675674411668
1593043200000,10123.364199471052
1593043200000,10148.704249837647
1593043200000,10123.332489213053
1593086400000,10134.183751531637
1593115200000,10160.413038746221
1594656000000,10182.064938852858
1594699200000,10176.681891684053
1594857600000,10180.166220235242
1594872000000,10154.715804684654
1595764800000,10166.759067960716
1596340800000,10141.342170290814
1596355200000,10115.988814865088
1597881600000,10132.839902139409
1599048000000,10166.303741066435
1599048000000,10254.323245175457
1599062400000,10314.411808391265
1599076800000,10332.97581784593
1599091200000,10435.99795566461
1599120000000,10497.973444872152
1599177600000,10517.248420543561
1599177600000,10490.955299492201
1599998400000,10493.59875235434
1600027200000,10506.80919356858
1600027200000,10527.940668391107
1600041600000,10550.79924689205
1600142400000,10578.307096522682
1600171200000,10602.936534239068
1600185600000,10625.838266585719
1600286400000,10599.273670919254
1600430400000,10633.977349572791
1600444800000,10685.35138378671
