symbol,entry_ts,exit_ts,r,funding,year,month
BTCUSDT,1575244800000,1575460800000,-1.0,0.0001,2019,2019-12
BTCUSDT,1575979200000,1576483200000,0.7813420457521838,0.0001,2019,2019-12
ETCUSDT,1583596800000,1584100800000,8.064259659151235,0.00032105,2020,2020-03
BTCUSDT,1583668800000,1584172800000,10.21251947877768,0.00049747,2020,2020-03
BCHUSDT,1583668800000,1584172800000,5.445595614013044,0.00060928,2020,2020-03
ETHUSDT,1583683200000,1584057600000,-1.0,0.0004582,2020,2020-03
ETCUSDT,1584907200000,1585008000000,-1.0,0.0001,2020,2020-03
ETHUSDT,1584907200000,1584964800000,-1.0,0.0001,2020,2020-03
ADAUSDT,1584936000000,1584964800000,-1.0,0.0001,2020,2020-03
ETCUSDT,1585382400000,1585828800000,-1.0,0.0001,2020,2020-03
BCHUSDT,1585396800000,1585584000000,-1.0,0.0001,2020,2020-03
ADAUSDT,1585497600000,1585584000000,-1.0,0.0001,2020,2020-03
ETHUSDT,1585756800000,1585771200000,-1.0,0.0001,2020,2020-04
BCHUSDT,1586548800000,1587052800000,0.0110894019788362,0.0001,2020,2020-04
BTCUSDT,1586577600000,1586707200000,-1.0,0.0001,2020,2020-04
ETCUSDT,1586592000000,1587096000000,-0.3978993480495557,0.0001,2020,2020-04
ADAUSDT,1586606400000,1587110400000,-0.5469983987415923,0.0001,2020,2020-04
ETHUSDT,1586736000000,1586880000000,-1.0,0.0001,2020,2020-04
ATOMUSDT,1586750400000,1586865600000,-1.0,0.0001,2020,2020-04
IOTAUSDT,1587369600000,1587643200000,-1.0,0.0001,2020,2020-04
BCHUSDT,1587398400000,1587556800000,-1.0,0.0001,2020,2020-04
IOSTUSDT,1587412800000,1587643200000,-1.0,0.0001,2020,2020-04
BATUSDT,1587412800000,1587556800000,-1.0,0.001503,2020,2020-04
ETCUSDT,1587427200000,1587643200000,-1.0,0.0001,2020,2020-04
ATOMUSDT,1589068800000,1589572800000,-0.0239393993656543,0.00095709,2020,2020-05
ETCUSDT,1589068800000,1589572800000,-0.6307470799032688,0.00031605,2020,2020-05
ETHUSDT,1589068800000,1589385600000,-1.0,0.00015215,2020,2020-05
IOSTUSDT,1589068800000,1589371200000,-1.0,0.0001,2020,2020-05
DASHUSDT,1589068800000,1589572800000,-0.222165653680513,0.0001,2020,2020-05
BCHUSDT,1590048000000,1590552000000,1.0269143311844773,0.0001,2020,2020-05
DASHUSDT,1590091200000,1590595200000,-0.161659981903711,0.0001,2020,2020-05
ATOMUSDT,1590350400000,1590422400000,-1.0,0.0001,2020,2020-05
DASHUSDT,1591876800000,1592380800000,1.012840702246674,0.00019486,2020,2020-06
BCHUSDT,1591891200000,1592395200000,-0.3293901180004865,0.0001,2020,2020-06
BTCUSDT,1591891200000,1592395200000,-0.593062581287865,0.0001,2020,2020-06
ETCUSDT,1593028800000,1593532800000,2.4159160785644485,0.0001,2020,2020-06
BNBUSDT,1593028800000,1593532800000,1.443864881943164,0.00022791,2020,2020-06
BTCUSDT,1593043200000,1593547200000,-0.1308020537868709,0.0001,2020,2020-06
BCHUSDT,1593043200000,1593547200000,1.0012501720690286,0.0001,2020,2020-06
IOTAUSDT,1593043200000,1593547200000,-1.0,0.0001,2020,2020-06
BCHUSDT,1594656000000,1595160000000,0.8524023590013265,0.0001,2020,2020-07
BTCUSDT,1594699200000,1595203200000,-0.2114717280289241,0.0001,2020,2020-07
DASHUSDT,1594857600000,1595361600000,0.1369534230616255,0.0001,2020,2020-07
BATUSDT,1594872000000,1594929600000,-1.0,0.00139217,2020,2020-07
IOSTUSDT,1595764800000,1596268800000,0.47439095323595,0.00168564,2020,2020-07
IOSTUSDT,1596340800000,1596787200000,-1.0,0.00309104,2020,2020-08
BATUSDT,1596355200000,1596585600000,-1.0,0.00103586,2020,2020-08
ETCUSDT,1597881600000,1598385600000,0.6663149824585813,0.00036879,2020,2020-08
DASHUSDT,1599048000000,1599552000000,1.32100533513654,0.00054718,2020,2020-09
ETCUSDT,1599048000000,1599552000000,3.463186084180065,0.002955,2020,2020-09
BCHUSDT,1599062400000,1599566400000,2.3439309169068374,0.0001,2020,2020-09
IOSTUSDT,1599076800000,1599580800000,0.7199250834473502,0.00035487,2020,2020-09
BTCUSDT,1599091200000,1599595200000,3.988091703098775,0.00045038,2020,2020-09
IOTAUSDT,1599998400000,1600502400000,0.1007897865036914,0.0001,2020,2020-09
ADAUSDT,1600027200000,1600531200000,0.5035618961998717,0.0001,2020,2020-09
BATUSDT,1600027200000,1600531200000,0.804486859263138,0.0001,2020,2020-09
ALGOUSDT,1600041600000,1600545600000,0.8684919195858609,0.0001,2020,2020-09
