scenario,trade_id,symbol,side,entry_time,entry_price,exit_price,initial_stop,final_stop,initial_risk_per_unit,net_r,bars_held,max_favorable_r,chandelier_active,risk_amount,equity_before_entry,heat_before_entry_pct,heat_after_entry_pct,same_side_before_entry,open_positions_before_entry,exit_time,realized_r,pnl_usdt,equity_after_exit,peak_equity,drawdown_pct,open_positions_after_exit
BASE_MAX5_HEAT15,4,LINK/USDT,LONG,2025-10-02 00:00:00+00:00,22.72,21.61,21.61,21.61,1.1099999999999994,-1.0,16,0.3693693693693697,False,25.0,10000.0,1.0,1.25,4,4,2025-10-06 00:00:00+00:00,-1.0,-25.0,9975.0,10000.0,-0.25,4
BASE_MAX5_HEAT15,27,ASTR/USDT,LONG,2025-10-06 00:00:00+00:00,0.03001,0.0271414285714285,0.0271414285714285,0.0271414285714285,0.0028685714285714,-1.0,2,0.1150398406374503,False,24.9375,9975.0,1.0025062656641603,1.2525062656641603,4,4,2025-10-06 12:00:00+00:00,-1.0,-24.9375,9950.0625,10000.0,-0.499375,4
BASE_MAX5_HEAT15,29,ARB/USDT,LONG,2025-10-06 12:00:00+00:00,0.4628,0.4364285714285714,0.4364285714285714,0.4364285714285714,0.0263714285714285,-1.0,4,0.1061755146262199,False,24.87515625,9950.0625,1.0050188126959003,1.2550188126959003,4,4,2025-10-07 12:00:00+00:00,-1.0,-24.87515625,9925.18734375,10000.0,-0.7481265625000014,4
BASE_MAX5_HEAT15,34,ACE/USDT,SHORT,2025-10-07 12:00:00+00:00,0.446,0.4742857142857142,0.4742857142857142,0.4742857142857142,0.0282857142857142,-1.0,8,1.060606060606063,False,24.812968359375,9925.18734375,1.0075376568379952,1.2575376568379952,0,4,2025-10-09 12:00:00+00:00,-1.0,-24.812968359375,9900.374375390626,10000.0,-0.9962562460937442,4
BASE_MAX5_HEAT15,54,ALICE/USDT,LONG,2025-10-09 12:00:00+00:00,0.5883,0.5208857142857144,0.5208857142857144,0.5208857142857144,0.0674142857142856,-1.0,1,1.1822420004238197,False,24.750935938476566,9900.374375390626,1.0100628138726768,1.2600628138726768,4,4,2025-10-09 18:00:00+00:00,-1.0,-24.750935938476566,9875.623439452149,10000.0,-1.2437656054785111,4
BASE_MAX5_HEAT15,0,ETH/USDT,LONG,2025-10-01 18:00:00+00:00,4348.03,4170.617142857142,4170.617142857142,4170.617142857142,177.41285714285732,-1.0,35,2.2939149200009656,False,25.0,10000.0,0.0,0.25,0,0,2025-10-10 12:00:00+00:00,-1.0,-25.0,9850.623439452149,10000.0,-1.4937656054785111,3
BASE_MAX5_HEAT15,1,APT/USDT,LONG,2025-10-01 18:00:00+00:00,4.875,4.627571428571429,4.627571428571429,4.627571428571429,0.2474285714285713,-1.0,36,3.1241339491916857,False,25.0,10000.0,0.25,0.5,1,1,2025-10-10 18:00:00+00:00,-1.0,-25.0,9825.623439452149,10000.0,-1.743765605478511,4
BASE_MAX5_HEAT15,2,BTC/USDT,LONG,2025-10-01 18:00:00+00:00,118594.99,115755.16428571429,115755.16428571429,115755.16428571429,2839.8257142857183,-1.0,36,2.677854475978904,False,25.0,10000.0,0.5,0.75,2,2,2025-10-10 18:00:00+00:00,-1.0,-25.0,9800.623439452149,10000.0,-1.9937656054785111,3
BASE_MAX5_HEAT15,3,LTC/USDT,LONG,2025-10-01 18:00:00+00:00,115.1,122.08928571428572,110.4042857142857,122.08928571428572,4.695714285714288,1.4884393063583836,36,4.448737450562824,True,25.0,10000.0,0.75,1.0,3,3,2025-10-10 18:00:00+00:00,1.4884393063583836,37.210982658959594,9837.83442211111,10000.0,-1.6216557788889074,2
BASE_MAX5_HEAT15,57,1000SATS/USDT,SHORT,2025-10-10 12:00:00+00:00,3.454e-05,1.575357142857143e-05,3.743142857142857e-05,1.575357142857143e-05,2.8914285714285728e-06,6.497282608695648,1,10.09535573122529,True,24.62655859863037,9850.623439452149,0.7613731299444656,1.0113731299444655,0,3,2025-10-10 18:00:00+00:00,6.497282608695648,160.00571089490538,9997.840133006015,10000.0,-0.02159866993984906,1
