scenario,time,event,equity,peak_equity,drawdown_pct,open_positions,long_positions,short_positions,max_same_side,portfolio_heat_pct,open_risk_usdt,effective_side_diversification
BASE_MAX5_HEAT15,2025-10-01 18:00:00+00:00,entry,10000.0,10000.0,0.0,1,1,0,1,0.25,25.0,1.0
BASE_MAX5_HEAT15,2025-10-01 18:00:00+00:00,entry,10000.0,10000.0,0.0,2,2,0,2,0.5,50.0,1.0
BASE_MAX5_HEAT15,2025-10-01 18:00:00+00:00,entry,10000.0,10000.0,0.0,3,3,0,3,0.75,75.0,1.0
BASE_MAX5_HEAT15,2025-10-01 18:00:00+00:00,entry,10000.0,10000.0,0.0,4,4,0,4,1.0,100.0,1.0
BASE_MAX5_HEAT15,2025-10-02 00:00:00+00:00,entry,10000.0,10000.0,0.0,5,5,0,5,1.25,125.0,1.0
BASE_MAX5_HEAT15,2025-10-06 00:00:00+00:00,exit,9975.0,10000.0,-0.25,4,4,0,4,1.0025062656641603,100.0,1.0
BASE_MAX5_HEAT15,2025-10-06 00:00:00+00:00,entry,9975.0,10000.0,-0.25,5,5,0,5,1.2525062656641603,124.9375,1.0
BASE_MAX5_HEAT15,2025-10-06 12:00:00+00:00,exit,9950.0625,10000.0,-0.499375,4,4,0,4,1.0050188126959003,100.0,1.0
BASE_MAX5_HEAT15,2025-10-06 12:00:00+00:00,entry,9950.0625,10000.0,-0.499375,5,5,0,5,1.2550188126959003,124.87515625,1.0
BASE_MAX5_HEAT15,2025-10-07 12:00:00+00:00,exit,9925.18734375,10000.0,-0.7481265625000014,4,4,0,4,1.0075376568379952,100.0,1.0
BASE_MAX5_HEAT15,2025-10-07 12:00:00+00:00,entry,9925.18734375,10000.0,-0.7481265625000014,5,4,1,4,1.257537656837995,124.81296835937499,1.4705882352941173
BASE_MAX5_HEAT15,2025-10-09 12:00:00+00:00,exit,9900.374375390626,10000.0,-0.9962562460937442,4,4,0,4,1.0100628138726768,100.0,1.0
BASE_MAX5_HEAT15,2025-10-09 12:00:00+00:00,entry,9900.374375390626,10000.0,-0.9962562460937442,5,5,0,5,1.2600628138726768,124.75093593847657,1.0
BASE_MAX5_HEAT15,2025-10-09 18:00:00+00:00,exit,9875.623439452149,10000.0,-1.2437656054785111,4,4,0,4,1.012594299621731,100.0,1.0
BASE_MAX5_HEAT15,2025-10-10 12:00:00+00:00,exit,9850.623439452149,10000.0,-1.4937656054785111,3,3,0,3,0.7613731299444656,75.0,1.0
BASE_MAX5_HEAT15,2025-10-10 12:00:00+00:00,entry,9850.623439452149,10000.0,-1.4937656054785111,4,3,1,3,1.0113731299444655,99.62655859863037,1.6
BASE_MAX5_HEAT15,2025-10-10 12:00:00+00:00,entry,9850.623439452149,10000.0,-1.4937656054785111,5,3,2,3,1.2613731299444657,124.25311719726074,1.923076923076923
BASE_MAX5_HEAT15,2025-10-10 18:00:00+00:00,exit,9825.623439452149,10000.0,-1.743765605478511,4,2,2,2,1.0101457460575634,99.25311719726074,2.0
BASE_MAX5_HEAT15,2025-10-10 18:00:00+00:00,exit,9800.623439452149,10000.0,-1.9937656054785111,3,1,2,2,0.7576366713402821,74.25311719726074,1.7999999999999998
BASE_MAX5_HEAT15,2025-10-10 18:00:00+00:00,exit,9837.83442211111,10000.0,-1.6216557788889074,2,0,2,2,0.5006499914916385,49.25311719726074,1.0
BASE_MAX5_HEAT15,2025-10-10 18:00:00+00:00,exit,9997.840133006015,10000.0,-0.02159866993984906,1,0,1,1,0.2463187875682304,24.62655859863037,1.0
BASE_MAX5_HEAT15,2025-10-10 18:00:00+00:00,exit,10121.84419810645,10121.84419810645,0.0,0,0,0,0,0.0,0.0,0.0
BASE_MAX5_HEAT15,2025-10-10 18:00:00+00:00,entry,10121.84419810645,10121.84419810645,0.0,1,0,1,1,0.25,25.304610495266125,1.0
BASE_MAX5_HEAT15,2025-10-10 18:00:00+00:00,entry,10121.84419810645,10121.84419810645,0.0,2,0,2,2,0.5,50.60922099053225,1.0
BASE_MAX5_HEAT15,2025-10-10 18:00:00+00:00,entry,10121.84419810645,10121.84419810645,0.0,3,0,3,3,0.75,75.91383148579837,1.0
BASE_MAX5_HEAT15,2025-10-10 18:00:00+00:00,entry,10121.84419810645,10121.84419810645,0.0,4,0,4,4,1.0,101.2184419810645,1.0
BASE_MAX5_HEAT15,2025-10-10 18:00:00+00:00,entry,10121.84419810645,10121.84419810645,0.0,5,0,5,5,1.25,126.52305247633063,1.0
BASE_MAX5_HEAT15,2025-10-11 12:00:00+00:00,exit,10096.539587611183,10121.84419810645,-0.2500000000000026,4,0,4,4,1.0025062656641606,101.2184419810645,1.0
BASE_MAX5_HEAT15,2025-10-12 12:00:00+00:00,exit,10071.234977115917,10121.84419810645,-0.5000000000000052,3,0,3,3,0.7537688442211055,75.91383148579837,1.0
BASE_MAX5_HEAT15,2025-10-13 00:00:00+00:00,exit,10045.93036662065,10121.84419810645,-0.7500000000000078,2,0,2,2,0.5037783375314863,50.60922099053225,1.0
BASE_MAX5_HEAT15,2025-10-13 18:00:00+00:00,exit,10020.625756125384,10121.84419810645,-1.0000000000000104,1,0,1,1,0.25252525252525254,25.304610495266125,1.0
BASE_MAX5_HEAT15,2025-10-16 12:00:00+00:00,entry,10020.625756125384,10121.84419810645,-1.0000000000000104,2,0,2,2,0.5025252525252526,50.35617488557959,1.0
BASE_MAX5_HEAT15,2025-10-16 12:00:00+00:00,entry,10020.625756125384,10121.84419810645,-1.0000000000000104,3,0,3,3,0.7525252525252526,75.40773927589305,1.0
BASE_MAX5_HEAT15,2025-10-16 18:00:00+00:00,entry,10020.625756125384,10121.84419810645,-1.0000000000000104,4,0,4,4,1.0025252525252526,100.45930366620651,1.0
BASE_MAX5_HEAT15,2025-10-17 00:00:00+00:00,entry,10020.625756125384,10121.84419810645,-1.0000000000000104,5,0,5,5,1.2525252525252526,125.51086805651997,1.0
BASE_MAX5_HEAT15,2025-10-20 18:00:00+00:00,exit,9995.574191735072,10121.84419810645,-1.247500000000003,4,0,4,4,1.0050378471431103,100.45930366620651,1.0
BASE_MAX5_HEAT15,2025-10-21 00:00:00+00:00,entry,9995.574191735072,10121.84419810645,-1.247500000000003,5,0,5,5,1.2550378471431103,125.44823914554419,1.0
BASE_MAX5_HEAT15,2025-10-21 12:00:00+00:00,exit,9970.522627344759,10121.84419810645,-1.4949999999999954,4,0,4,4,1.0069349271610577,100.39667475523073,1.0
BASE_MAX5_HEAT15,2025-10-21 18:00:00+00:00,entry,9970.522627344759,10121.84419810645,-1.4949999999999954,5,0,5,5,1.256934927161058,125.32298132359263,1.0
BASE_MAX5_HEAT15,2025-10-23 12:00:00+00:00,exit,9945.596320776396,10121.84419810645,-1.7412625000000028,4,0,4,4,1.0094585735950454,100.39667475523073,1.0
BASE_MAX5_HEAT15,2025-10-23 12:00:00+00:00,entry,9945.596320776396,10121.84419810645,-1.7412625000000028,5,0,5,5,1.2594585735950454,125.26066555717172,1.0
BASE_MAX5_HEAT15,2025-10-24 12:00:00+00:00,exit,9920.29171028113,10121.84419810645,-1.9912625000000053,4,0,4,4,1.0075918932738013,99.9560550619056,1.0
BASE_MAX5_HEAT15,2025-10-24 12:00:00+00:00,entry,9920.29171028113,10121.84419810645,-1.9912625000000053,5,0,5,5,1.2575918932738013,124.75678433760842,1.0
BASE_MAX5_HEAT15,2025-10-27 00:00:00+00:00,exit,9895.240145890817,10121.84419810645,-2.2387624999999978,4,0,4,4,1.0076078849758832,99.70521994729495,1.0
BASE_MAX5_HEAT15,2025-10-27 00:00:00+00:00,exit,9870.188581500504,10121.84419810645,-2.4862624999999903,3,0,3,3,0.7563549058921055,74.65365555698149,1.0
BASE_MAX5_HEAT15,2025-10-27 00:00:00+00:00,exit,9937.408598738733,10121.84419810645,-1.8221541031249993,2,0,2,2,0.5010326813104964,49.789664755040505,1.0
BASE_MAX5_HEAT15,2025-10-28 00:00:00+00:00,entry,9937.408598738733,10121.84419810645,-1.8221541031249993,3,0,3,3,0.7510326813104964,74.63318625188734,1.0
BASE_MAX5_HEAT15,2025-10-28 06:00:00+00:00,entry,9937.408598738733,10121.84419810645,-1.8221541031249993,4,0,4,4,1.0010326813104964,99.47670774873417,1.0
BASE_MAX5_HEAT15,2025-10-28 12:00:00+00:00,entry,9937.408598738733,10121.84419810645,-1.8221541031249993,5,1,4,4,1.2510326813104964,124.320229245581,1.4705882352941173
BASE_MAX5_HEAT15,2025-10-28 18:00:00+00:00,exit,9912.565077241887,10121.84419810645,-2.067598717867186,4,0,4,4,1.0035415351483672,99.47670774873417,1.0
BASE_MAX5_HEAT15,2025-10-28 18:00:00+00:00,entry,9912.565077241887,10121.84419810645,-2.067598717867186,5,0,5,5,1.2535415351483674,124.25812044183888,1.0
BASE_MAX5_HEAT15,2025-11-02 06:00:00+00:00,exit,9887.783664548782,10121.84419810645,-2.312429721072514,4,0,4,4,1.0060566768404684,99.47670774873417,1.0
BASE_MAX5_HEAT15,2025-11-02 12:00:00+00:00,entry,9887.783664548782,10121.84419810645,-2.312429721072514,5,1,4,4,1.2560566768404684,124.19616691010613,1.4705882352941173
BASE_MAX5_HEAT15,2025-11-03 12:00:00+00:00,exit,9957.900433380908,10121.84419810645,-1.6197025118822876,4,1,3,3,0.996266553320875,99.20723143076845,1.6
BASE_MAX5_HEAT15,2025-11-03 12:00:00+00:00,entry,9957.900433380908,10121.84419810645,-1.6197025118822876,5,1,4,4,1.246266553320875,124.10198251422072,1.4705882352941173
BASE_MAX5_HEAT15,2025-11-05 00:00:00+00:00,exit,10010.01946148641,10121.84419810645,-1.1047861874910017,4,0,4,4,0.9928304708619541,99.38252335284876,1.0
BASE_MAX5_HEAT15,2025-11-05 18:00:00+00:00,exit,10086.941468459727,10121.84419810645,-0.3448257942288066,3,0,3,3,0.738965345333604,74.53900185600193,1.0
BASE_MAX5_HEAT15,2025-11-06 00:00:00+00:00,entry,10086.941468459727,10121.84419810645,-0.3448257942288066,4,1,3,3,0.988965345333604,99.75635552715124,1.6
BASE_MAX5_HEAT15,2025-11-06 12:00:00+00:00,entry,10086.941468459727,10121.84419810645,-0.3448257942288066,5,2,3,3,1.238965345333604,124.97370919830057,1.923076923076923
BASE_MAX5_HEAT15,2025-11-06 18:00:00+00:00,exit,10061.724114788578,10121.84419810645,-0.5939637297432303,4,1,3,3,0.9914439552216581,99.75635552715124,1.6
BASE_MAX5_HEAT15,2025-11-07 12:00:00+00:00,exit,10036.829363705127,10121.84419810645,-0.8399144734635161,3,1,2,2,0.7458690561624093,74.86160444369898,1.7999999999999998
BASE_MAX5_HEAT15,2025-11-08 06:00:00+00:00,entry,10036.829363705127,10121.84419810645,-0.8399144734635161,4,2,2,2,0.9958690561624092,99.95367785296179,2.0
BASE_MAX5_HEAT15,2025-11-08 06:00:00+00:00,entry,10036.829363705127,10121.84419810645,-0.8399144734635161,5,3,2,3,1.2458690561624093,125.04575126222461,1.923076923076923
BASE_MAX5_HEAT15,2025-11-08 12:00:00+00:00,exit,10090.310777345983,10121.84419810645,-0.31153829424054563,4,2,2,2,0.9893490873958272,99.82839759107529,2.0
BASE_MAX5_HEAT15,2025-11-08 18:00:00+00:00,entry,10090.310777345983,10121.84419810645,-0.31153829424054563,5,3,2,3,1.2393490873958273,125.05417453444025,1.923076923076923
BASE_MAX5_HEAT15,2025-11-11 18:00:00+00:00,exit,10065.21870393672,10121.84419810645,-0.5594385080568918,4,2,2,2,0.9931438557423511,99.96210112517744,2.0
BASE_MAX5_HEAT15,2025-11-12 06:00:00+00:00,entry,10065.21870393672,10121.84419810645,-0.5594385080568918,5,3,2,3,1.2431438557423509,125.12514788501923,1.923076923076923
BASE_MAX5_HEAT15,2025-11-12 12:00:00+00:00,exit,10039.992926993355,10121.84419810645,-0.8086596623212949,4,2,2,2,0.9950143557677865,99.89937094165427,2.0
BASE_MAX5_HEAT15,2025-11-12 12:00:00+00:00,entry,10039.992926993355,10121.84419810645,-0.8086596623212949,5,2,3,3,1.2450143557677869,124.99935325913766,1.923076923076923
BASE_MAX5_HEAT15,2025-11-13 12:00:00+00:00,exit,10014.829880233512,10121.84419810645,-1.0572610660511594,4,1,3,3,0.9968846969267541,99.83630649929586,1.6
BASE_MAX5_HEAT15,2025-11-13 12:00:00+00:00,exit,9989.72989791603,10121.84419810645,-1.3052394168953474,3,1,2,2,0.7481315805886135,74.73632418181248,1.7999999999999998
BASE_MAX5_HEAT15,2025-11-13 12:00:00+00:00,entry,9989.72989791603,10121.84419810645,-1.3052394168953474,4,2,2,2,0.9981315805886135,99.71064892660254,2.0
BASE_MAX5_HEAT15,2025-11-13 12:00:00+00:00,entry,9989.72989791603,10121.84419810645,-1.3052394168953474,5,2,3,3,1.2481315805886135,124.68497367139263,1.923076923076923
BASE_MAX5_HEAT15,2025-11-13 18:00:00+00:00,exit,9964.637824506766,10121.84419810645,-1.5531396307116938,4,1,3,3,0.9994633223617386,99.5929002621298,1.6
BASE_MAX5_HEAT15,2025-11-13 18:00:00+00:00,exit,9939.663499761977,10121.84419810645,-1.79987653216945,3,0,3,3,0.7507153086130794,74.61857551733974,1.0
BASE_MAX5_HEAT15,2025-11-13 18:00:00+00:00,entry,9939.663499761977,10121.84419810645,-1.79987653216945,4,0,4,4,1.0007153086130793,99.46773426674467,1.0
BASE_MAX5_HEAT15,2025-11-13 18:00:00+00:00,entry,9939.663499761977,10121.84419810645,-1.79987653216945,5,0,5,5,1.2507153086130796,124.31689301614962,1.0
BASE_MAX5_HEAT15,2025-11-14 00:00:00+00:00,exit,9914.814341012572,10121.84419810645,-2.0453768408390225,4,0,4,4,1.003223367030656,99.46773426674467,1.0
BASE_MAX5_HEAT15,2025-11-14 00:00:00+00:00,entry,9914.814341012572,10121.84419810645,-2.0453768408390225,5,0,5,5,1.253223367030656,124.2547701192761,1.0
BASE_MAX5_HEAT15,2025-11-14 12:00:00+00:00,exit,9889.840016267783,10121.84419810645,-2.292113742296779,4,0,4,4,1.0038630069968755,99.28044537448604,1.0
BASE_MAX5_HEAT15,2025-11-16 12:00:00+00:00,entry,9889.840016267783,10121.84419810645,-2.292113742296779,5,0,5,5,1.2538630069968755,124.0050454151555,1.0
BASE_MAX5_HEAT15,2025-11-25 12:00:00+00:00,exit,9971.322630020853,10121.84419810645,-1.487096275535986,4,0,4,4,0.9944671093056516,99.16152391830866,1.0
BASE_MAX5_HEAT15,2025-11-27 12:00:00+00:00,entry,9971.322630020853,10121.84419810645,-1.487096275535986,5,1,4,4,1.2444671093056516,124.0898304933608,1.4705882352941173
BASE_MAX5_HEAT15,2025-11-28 12:00:00+00:00,exit,9946.394323445802,10121.84419810645,-1.7333785348471396,4,0,4,4,0.9969595080758411,99.16152391830866,1.0
BASE_MAX5_HEAT15,2025-11-29 00:00:00+00:00,entry,9946.394323445802,10121.84419810645,-1.7333785348471396,5,0,5,5,1.246959508075841,124.02750972692317,1.0
BASE_MAX5_HEAT15,2025-11-29 06:00:00+00:00,exit,9921.669723405132,10121.84419810645,-1.9776482504914064,4,0,4,4,1.000868930881654,99.30290968625371,1.0
BASE_MAX5_HEAT15,2025-11-29 12:00:00+00:00,entry,9921.669723405132,10121.84419810645,-1.9776482504914064,5,0,5,5,1.250868930881654,124.10708399476654,1.0
BASE_MAX5_HEAT15,2025-12-02 06:00:00+00:00,exit,9896.86554909662,10121.84419810645,-2.2227041298651726,4,0,4,4,1.003377374317448,99.30290968625371,1.0
BASE_MAX5_HEAT15,2025-12-03 00:00:00+00:00,entry,9896.86554909662,10121.84419810645,-2.2227041298651726,5,1,4,4,1.2533773743174477,124.04507355899526,1.4705882352941173
BASE_MAX5_HEAT15,2025-12-04 00:00:00+00:00,exit,9872.123385223878,10121.84419810645,-2.467147369540504,4,0,4,4,1.0058921045788949,99.30290968625371,1.0
BASE_MAX5_HEAT15,2025-12-04 06:00:00+00:00,exit,9847.257399415264,10121.84419810645,-2.7128139232033806,3,0,3,3,0.7559152854281975,74.4369238776392,1.0
BASE_MAX5_HEAT15,2025-12-05 06:00:00+00:00,entry,9847.257399415264,10121.84419810645,-2.7128139232033806,4,0,4,4,1.0059152854281974,99.05506737617736,1.0
BASE_MAX5_HEAT15,2025-12-05 12:00:00+00:00,entry,9847.257399415264,10121.84419810645,-2.7128139232033806,5,0,5,5,1.2559152854281976,123.67321087471552,1.0
BASE_MAX5_HEAT15,2025-12-09 12:00:00+00:00,exit,9822.639255916727,10121.84419810645,-2.9560318883953647,4,0,4,4,1.0084363763691202,99.05506737617736,1.0
BASE_MAX5_HEAT15,2025-12-09 12:00:00+00:00,entry,9822.639255916727,10121.84419810645,-2.9560318883953647,5,1,4,4,1.2584363763691204,123.61166551596918,1.4705882352941173
BASE_MAX5_HEAT15,2025-12-10 18:00:00+00:00,exit,9798.082657776935,10121.84419810645,-3.1986418086743793,4,0,4,4,1.0109637858337046,99.05506737617736,1.0
BASE_MAX5_HEAT15,2025-12-11 00:00:00+00:00,entry,9798.082657776935,10121.84419810645,-3.1986418086743793,5,0,5,5,1.2609637858337046,123.5502740206197,1.0
BASE_MAX5_HEAT15,2025-12-12 18:00:00+00:00,exit,9773.587451132493,10121.84419810645,-3.440645204152691,4,0,4,4,1.0134975296578492,99.05506737617736,1.0
BASE_MAX5_HEAT15,2025-12-14 00:00:00+00:00,entry,9773.587451132493,10121.84419810645,-3.440645204152691,5,0,5,5,1.2634975296578492,123.4890360040086,1.0
BASE_MAX5_HEAT15,2025-12-19 12:00:00+00:00,exit,9865.6687980697,10121.84419810645,-2.530916254220484,4,0,4,4,0.9998296037862466,98.63987725460365,1.0
BASE_MAX5_HEAT15,2025-12-19 12:00:00+00:00,exit,9941.453656343869,10121.84419810645,-1.7821904608680672,3,0,3,3,0.7445765610830014,74.02173375606549,1.0
BASE_MAX5_HEAT15,2025-12-21 06:00:00+00:00,entry,9941.453656343869,10121.84419810645,-1.7821904608680672,4,1,3,3,0.9945765610830014,98.87536789692516,1.6
BASE_MAX5_HEAT15,2025-12-21 12:00:00+00:00,exit,9916.600022203009,10121.84419810645,-2.0277349847158987,3,0,3,3,0.7464426677523824,74.02173375606549,1.0
BASE_MAX5_HEAT15,2025-12-21 18:00:00+00:00,exit,9892.166053575178,10121.84419810645,-2.269133371705513,2,0,2,2,0.5012831857014014,49.58776512823425,1.0
BASE_MAX5_HEAT15,2025-12-22 12:00:00+00:00,entry,9892.166053575178,10121.84419810645,-2.269133371705513,3,1,2,2,0.7512831857014015,74.3181802621722,1.7999999999999998
BASE_MAX5_HEAT15,2025-12-22 12:00:00+00:00,entry,9892.166053575178,10121.84419810645,-2.269133371705513,4,2,2,2,1.0012831857014015,99.04859539611014,2.0
BASE_MAX5_HEAT15,2025-12-25 06:00:00+00:00,entry,9892.166053575178,10121.84419810645,-2.269133371705513,5,2,3,3,1.2512831857014015,123.7790105300481,1.923076923076923
BASE_MAX5_HEAT15,2025-12-28 06:00:00+00:00,exit,9867.43563844124,10121.84419810645,-2.5134605382762465,4,1,3,3,1.0037926673698259,99.04859539611014,1.6
