scenario,max_same_side_allowed,input_trades,accepted_trades,skipped_trades,acceptance_rate_pct,final_equity,return_pct,max_dd_pct,pf_r,total_r,avg_r,median_r,win_rate_pct,max_dd_r,best_r,worst_r,max_losing_streak,max_open_observed,max_heat_observed_pct,max_same_side_observed,avg_effective_side_div
SAME_SIDE_CAP4,4,776,142,634,18.298969072164947,9002.761160070773,-9.972388399292264,-12.732636671656008,0.653189690815042,-41.61723710219496,-0.29307913452249973,-1.0,15.492957746478872,-54.32344024360002,8.720481226351023,-1.0,26,5,1.2865076572396277,4,1.4807532980689566
SAME_SIDE_CAP3,3,776,137,639,17.65463917525773,8982.395591226716,-10.176044087732839,-13.32368304908275,0.6348808677057436,-42.35381934613373,-0.30915196603017325,-1.0,15.328467153284672,-57.02911088402077,8.720481226351023,-1.0,31,5,1.2799210582267615,3,1.5656372824256035
BASE_MAX5_HEAT15,5,776,152,624,19.587628865979383,8649.15122128927,-13.508487787107292,-14.54965071575281,0.5598015627012604,-57.22579684883615,-0.3764855055844483,-1.0,14.473684210526317,-62.24689813302915,6.497282608695648,-1.0,18,5,1.291230740549842,5,1.3521403905691831
