symbol,entry_time,exit_time,net_r,win,bars_held,exit_reason,year
LINK_USDT,2022-03-16 16:00:00,2022-03-18 16:00:00,-1.0,0,12,atr_stop,2022
SOL_USDT,2022-03-17 16:00:00,2022-03-20 04:00:00,0.0075,1,15,time_exit,2022
DOGE_USDT,2022-03-19 08:00:00,2022-03-21 20:00:00,0.6939,1,15,time_exit,2022
ADA_USDT,2022-03-19 12:00:00,2022-03-21 16:00:00,-1.0,0,13,atr_stop,2022
ADA_USDT,2022-05-04 16:00:00,2022-05-07 04:00:00,2.0607,1,15,time_exit,2022
BNB_USDT,2022-05-23 04:00:00,2022-05-25 16:00:00,0.2274,1,15,time_exit,2022
FIL_USDT,2022-05-23 12:00:00,2022-05-26 00:00:00,3.5745,1,15,time_exit,2022
AAVE_USDT,2022-05-23 12:00:00,2022-05-26 00:00:00,0.2593,1,15,time_exit,2022
ZEN_USDT,2022-05-30 00:00:00,2022-05-30 20:00:00,-1.0,0,5,atr_stop,2022
BTC_USDT,2022-05-30 00:00:00,2022-05-30 20:00:00,-1.0,0,5,atr_stop,2022
ADA_USDT,2022-05-30 00:00:00,2022-05-30 12:00:00,-1.0,0,3,atr_stop,2022
LINK_USDT,2022-05-30 04:00:00,2022-05-31 00:00:00,-1.0,0,5,atr_stop,2022
GRT_USDT,2022-05-30 04:00:00,2022-06-01 16:00:00,0.5324,1,15,time_exit,2022
ZEC_USDT,2022-05-30 04:00:00,2022-06-01 16:00:00,1.1624,1,15,time_exit,2022
AAVE_USDT,2022-05-30 12:00:00,2022-05-30 16:00:00,-1.0,0,1,atr_stop,2022
ADA_USDT,2022-05-30 16:00:00,2022-05-30 20:00:00,-1.0,0,1,atr_stop,2022
BCH_USDT,2022-05-30 20:00:00,2022-05-31 20:00:00,-1.0,0,6,atr_stop,2022
LTC_USDT,2022-05-30 20:00:00,2022-06-02 08:00:00,1.8732,1,15,time_exit,2022
ETH_USDT,2022-05-30 20:00:00,2022-06-02 08:00:00,1.9206,1,15,time_exit,2022
BTC_USDT,2022-05-31 00:00:00,2022-06-02 12:00:00,1.6062,1,15,time_exit,2022
ZEN_USDT,2022-05-31 00:00:00,2022-06-02 12:00:00,1.934,1,15,time_exit,2022
ADA_USDT,2022-05-31 00:00:00,2022-05-31 04:00:00,-1.0,0,1,atr_stop,2022
NEAR_USDT,2022-05-31 00:00:00,2022-06-02 12:00:00,2.2396,1,15,time_exit,2022
CHZ_USDT,2022-05-31 00:00:00,2022-05-31 04:00:00,-1.0,0,1,atr_stop,2022
LINK_USDT,2022-05-31 12:00:00,2022-06-03 00:00:00,1.1553,1,15,time_exit,2022
UNI_USDT,2022-05-31 12:00:00,2022-06-03 00:00:00,1.6962,1,15,time_exit,2022
CHZ_USDT,2022-06-06 00:00:00,2022-06-08 12:00:00,2.0776,1,15,time_exit,2022
LINK_USDT,2022-06-06 00:00:00,2022-06-07 16:00:00,-1.0,0,10,atr_stop,2022
BTC_USDT,2022-06-06 08:00:00,2022-06-08 20:00:00,1.6528,1,15,time_exit,2022
AAVE_USDT,2022-06-21 12:00:00,2022-06-24 00:00:00,0.5785,1,15,time_exit,2022
DOGE_USDT,2022-06-21 12:00:00,2022-06-24 00:00:00,0.3351,1,15,time_exit,2022
FIL_USDT,2022-06-21 16:00:00,2022-06-24 04:00:00,1.5775,1,15,time_exit,2022
ATOM_USDT,2022-06-23 16:00:00,2022-06-26 04:00:00,-0.3265,0,15,time_exit,2022
LPT_USDT,2022-06-24 16:00:00,2022-06-24 20:00:00,-1.0,0,1,atr_stop,2022
NEAR_USDT,2022-06-24 20:00:00,2022-06-25 00:00:00,-1.0,0,1,atr_stop,2022
AVAX_USDT,2022-06-25 00:00:00,2022-06-27 12:00:00,0.5534,1,15,time_exit,2022
NEAR_USDT,2022-06-25 04:00:00,2022-06-27 16:00:00,2.4914,1,15,time_exit,2022
ETH_USDT,2022-06-25 04:00:00,2022-06-27 16:00:00,0.5071,1,15,time_exit,2022
LPT_USDT,2022-06-25 04:00:00,2022-06-27 16:00:00,1.5502,1,15,time_exit,2022
ZEN_USDT,2022-07-04 20:00:00,2022-07-07 00:00:00,-1.0,0,13,atr_stop,2022
ICP_USDT,2022-07-04 20:00:00,2022-07-05 00:00:00,-1.0,0,1,atr_stop,2022
BNB_USDT,2022-07-05 00:00:00,2022-07-07 12:00:00,-1.0,0,15,atr_stop,2022
ETH_USDT,2022-07-05 04:00:00,2022-07-07 12:00:00,-1.0,0,14,atr_stop,2022
ICP_USDT,2022-07-05 04:00:00,2022-07-07 12:00:00,-1.0,0,14,atr_stop,2022
AVAX_USDT,2022-07-07 00:00:00,2022-07-08 00:00:00,-1.0,0,6,atr_stop,2022
AAVE_USDT,2022-07-07 12:00:00,2022-07-08 00:00:00,-1.0,0,3,atr_stop,2022
ETH_USDT,2022-07-07 16:00:00,2022-07-10 04:00:00,0.8208,1,15,time_exit,2022
NEAR_USDT,2022-07-07 16:00:00,2022-07-10 04:00:00,0.4037,1,15,time_exit,2022
BNB_USDT,2022-07-07 16:00:00,2022-07-10 04:00:00,0.7944,1,15,time_exit,2022
BTC_USDT,2022-07-07 16:00:00,2022-07-10 04:00:00,0.5194,1,15,time_exit,2022
DOT_USDT,2022-07-07 20:00:00,2022-07-10 08:00:00,0.9186,1,15,time_exit,2022
FIL_USDT,2022-07-08 00:00:00,2022-07-10 12:00:00,2.5046,1,15,time_exit,2022
