variant,timeframe,side,max_open,max_long,max_short,input_signals,accepted_trades,skipped_signals,acceptance_rate,total_r,avg_r,median_r,win_rate,profit_factor,max_dd_r,best_trade_r,worst_trade_r,losing_streak,max_open_observed,avg_open_positions,max_heat_pct,start,end,assets_accepted
T5_6H_ALL_max3,6h,ALL,3,3,3,865,54,811,0.06242774566473988,37.03881292053096,0.6859039429727956,-1.02,0.24074074074074073,1.887811315009955,-13.38507089804196,29.944692901802117,-1.0200000000000569,13,3,2.9676470588235295,0.75,2025-09-23 18:00:00+00:00,2026-05-14 18:00:00+00:00,36
T5_6H_ALL_max5,6h,ALL,5,5,5,865,62,803,0.07167630057803469,41.06273530826006,0.6623021823912912,-1.02,0.25806451612903225,1.8940112843856787,-13.385070898041956,29.944692901802117,-1.0200000000000569,13,5,4.95,1.25,2025-09-23 18:00:00+00:00,2026-05-14 18:00:00+00:00,39
T5_6H_ALL_max8,6h,ALL,8,8,8,865,97,768,0.11213872832369942,47.63832104164358,0.49111671176952143,-1.0199999999999998,0.26804123711340205,1.6669148324662988,-19.50507089804195,29.944692901802117,-1.0200000000000569,13,8,7.891176470588236,2.0,2025-09-23 18:00:00+00:00,2026-05-14 18:00:00+00:00,51
T5_6H_LONG_max5,6h,LONG,5,5,0,316,105,211,0.3322784810126582,37.49458001167758,0.3570912382064531,-1.0199999999999998,0.23809523809523808,1.4649317065069123,-22.70256878766741,29.944692901802117,-1.0200000000000855,13,5,4.3259668508287294,1.25,2025-09-23 18:00:00+00:00,2026-05-14 18:00:00+00:00,51
T5_6H_SHORT_max5,6h,SHORT,5,0,5,549,70,479,0.12750455373406194,21.872747325146225,0.31246781893066033,-1.0199999999999996,0.22857142857142856,1.4074127852199092,-25.238637263217242,7.560093312597208,-1.020000000000208,24,5,4.696629213483146,1.25,2025-09-24 00:00:00+00:00,2026-05-14 18:00:00+00:00,40
T5_4H_LONG_max5,4h,LONG,5,5,0,410,100,310,0.24390243902439024,-0.15233897160093007,-0.0015233897160093007,-1.0199999999999996,0.2,0.9980942663367625,-25.699348080258286,14.24666666666726,-1.020000000000208,18,5,4.6695652173913045,1.25,2025-12-10 16:00:00+00:00,2026-05-14 20:00:00+00:00,46
T5_4H_ALL_max5,4h,ALL,5,5,5,965,86,879,0.08911917098445596,14.90448543745777,0.17330797020299735,-1.0199999999999991,0.313953488372093,1.2504924400977147,-15.293632624369762,5.954647887323946,-1.020000000000208,9,5,4.957605985037406,1.25,2025-12-10 08:00:00+00:00,2026-05-14 20:00:00+00:00,46
