symbol,timeframe,side,entry_time,exit_time,entry_price,exit_price,initial_stop,final_stop,initial_risk,bars_held,exit_reason,breakeven_touched,chandelier_touched,mfe_r,mae_r,gross_r,cost_r,net_r,donchian_entry,ema_len,ema_slope_lookback,atr_len,initial_stop_atr_mult,be_trigger_r,chand_activate_r,chand_atr_mult,chand_lookback,source_trade_id,variant,portfolio_entry_time,open_positions_before_entry,skip_reason,portfolio_status
PENDLE/USDT,1d,LONG,2024-03-25 00:00:00+00:00,2024-04-27 00:00:00+00:00,4.0049,5.434335714285714,3.158728571428572,5.434335714285714,0.8461714285714284,33,STOP_BE_CHAND,False,True,4.175040518638575,-0.1932232576985413,1.6892980145867098,0.02,1.6692980145867098,20,50,10,14,2.0,999.0,4.0,3.0,22,3,T5_1D_LONG_max3,2024-03-25 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
SUI/USDT,1d,LONG,2024-03-27 00:00:00+00:00,2024-04-03 00:00:00+00:00,2.0754,1.6684,1.6684,1.6684,0.407,7,INITIAL_STOP,False,False,0.2262899262899259,-1.078869778869779,-1.0,0.02,-1.02,20,50,10,14,2.0,999.0,4.0,3.0,22,4,T5_1D_LONG_max3,2024-03-27 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
DOGE/USDT,1d,LONG,2024-03-28 00:00:00+00:00,2024-04-03 00:00:00+00:00,0.22001,0.1765514285714285,0.1765514285714285,0.1765514285714285,0.0434585714285714,6,INITIAL_STOP,False,False,0.1134413727359387,-1.1502909174583351,-1.0000000000000002,0.02,-1.0200000000000002,20,50,10,14,2.0,999.0,4.0,3.0,22,5,T5_1D_LONG_max3,2024-03-28 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
LTC/USDT,1d,LONG,2024-03-29 00:00:00+00:00,2024-04-02 00:00:00+00:00,109.06,94.65142857142855,94.65142857142855,94.65142857142855,14.408571428571433,4,INITIAL_STOP,False,False,0.2595677176283953,-1.1076740035693042,-1.0000000000000002,0.02,-1.0200000000000002,20,50,10,14,2.0,999.0,4.0,3.0,22,6,T5_1D_LONG_max3,2024-03-29 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
ETH/USDT,1d,LONG,2024-04-08 00:00:00+00:00,2024-04-12 00:00:00+00:00,3694.61,3349.788571428572,3349.788571428572,3349.788571428572,344.8214285714286,4,INITIAL_STOP,False,False,0.094918694976696,-1.724399792853444,-0.9999999999999996,0.02,-1.0199999999999996,20,50,10,14,2.0,999.0,4.0,3.0,22,8,T5_1D_LONG_max3,2024-04-08 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
BTC/USDT,1d,LONG,2024-05-15 00:00:00+00:00,2024-06-14 00:00:00+00:00,66206.5,66043.99,61015.17285714285,61015.17285714285,5191.327142857145,30,DONCHIAN_EXIT,False,False,1.1154219028495056,-0.3089248579154963,-0.0313041339002485,0.02,-0.0513041339002485,20,50,10,14,2.0,999.0,4.0,3.0,22,13,T5_1D_LONG_max3,2024-05-15 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
NEAR/USDT,1d,LONG,2024-05-15 00:00:00+00:00,2024-05-30 00:00:00+00:00,8.052,7.285,6.855,6.855,1.1969999999999996,15,DONCHIAN_EXIT,False,False,0.3909774436090226,-0.6959064327485377,-0.640768588137009,0.02,-0.660768588137009,20,50,10,14,2.0,999.0,4.0,3.0,22,14,T5_1D_LONG_max3,2024-05-15 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
LINK/USDT,1d,LONG,2024-05-16 00:00:00+00:00,2024-06-07 00:00:00+00:00,15.516,16.318,13.970571428571429,13.970571428571429,1.5454285714285716,22,DONCHIAN_EXIT,False,False,2.396746163801071,-0.1397670549084854,0.5189498983176196,0.02,0.4989498983176196,20,50,10,14,2.0,999.0,4.0,3.0,22,15,T5_1D_LONG_max3,2024-05-16 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
SOL/USDT,1d,LONG,2024-05-16 00:00:00+00:00,2024-06-11 00:00:00+00:00,159.37,149.31,139.92000000000002,139.92000000000002,19.44999999999999,26,DONCHIAN_EXIT,False,False,1.5177377892030848,-0.7285347043701812,-0.5172236503856046,0.02,-0.5372236503856046,20,50,10,14,2.0,999.0,4.0,3.0,22,16,T5_1D_LONG_max3,2024-05-16 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
ADA/USDT,1d,LONG,2024-05-20 00:00:00+00:00,2024-05-23 00:00:00+00:00,0.502,0.4578428571428571,0.4578428571428571,0.4578428571428571,0.0441571428571428,3,INITIAL_STOP,False,False,0.1947589776771284,-1.313490779682951,-1.0,0.02,-1.02,20,50,10,14,2.0,999.0,4.0,3.0,22,18,T5_1D_LONG_max3,2024-05-20 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
AVAX/USDT,1d,LONG,2024-05-20 00:00:00+00:00,2024-05-30 00:00:00+00:00,40.13,35.61,35.61,35.61,4.5200000000000005,10,INITIAL_STOP,False,False,0.3694690265486713,-1.0685840707964611,-1.0000000000000009,0.02,-1.020000000000001,20,50,10,14,2.0,999.0,4.0,3.0,22,19,T5_1D_LONG_max3,2024-05-20 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
BCH/USDT,1d,LONG,2024-05-20 00:00:00+00:00,2024-05-28 00:00:00+00:00,517.9,465.1571428571429,465.1571428571429,465.1571428571429,52.74285714285715,8,INITIAL_STOP,False,False,0.231310942578549,-1.0750270855904656,-0.9999999999999998,0.02,-1.0199999999999998,20,50,10,14,2.0,999.0,4.0,3.0,22,20,T5_1D_LONG_max3,2024-05-20 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
DOT/USDT,1d,LONG,2024-05-20 00:00:00+00:00,2024-05-23 00:00:00+00:00,7.575,6.903857142857143,6.903857142857143,6.903857142857143,0.671142857142857,3,INITIAL_STOP,False,False,0.1877394636015317,-1.0131971051511293,-0.9999999999999996,0.02,-1.0199999999999996,20,50,10,14,2.0,999.0,4.0,3.0,22,21,T5_1D_LONG_max3,2024-05-20 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
ETH/USDT,1d,LONG,2024-05-20 00:00:00+00:00,2024-06-07 00:00:00+00:00,3661.78,3678.32,3356.488571428572,3356.488571428572,305.2914285714284,18,DONCHIAN_EXIT,False,False,1.0325216186875306,-0.5364710066259883,0.0541777411747088,0.02,0.0341777411747088,20,50,10,14,2.0,999.0,4.0,3.0,22,22,T5_1D_LONG_max3,2024-05-20 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
GRT/USDT,1d,LONG,2024-05-20 00:00:00+00:00,2024-05-31 00:00:00+00:00,0.3385,0.2982,0.2890571428571428,0.2890571428571428,0.0494428571428571,11,DONCHIAN_EXIT,False,False,0.4024848309737063,-0.9323894828084373,-0.8150823461427331,0.02,-0.8350823461427331,20,50,10,14,2.0,999.0,4.0,3.0,22,23,T5_1D_LONG_max3,2024-05-20 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
INJ/USDT,1d,LONG,2024-05-20 00:00:00+00:00,2024-05-31 00:00:00+00:00,28.24,24.35285714285714,24.35285714285714,24.35285714285714,3.887142857142858,11,INITIAL_STOP,False,False,0.1852260198456455,-1.0264608599779488,-1.0000000000000002,0.02,-1.0200000000000002,20,50,10,14,2.0,999.0,4.0,3.0,22,24,T5_1D_LONG_max3,2024-05-20 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
LTC/USDT,1d,LONG,2024-05-20 00:00:00+00:00,2024-05-23 00:00:00+00:00,88.64,82.62571428571428,82.62571428571428,82.62571428571428,6.014285714285715,3,INITIAL_STOP,False,False,0.1646080760095003,-1.3484560570071256,-1.0000000000000009,0.02,-1.020000000000001,20,50,10,14,2.0,999.0,4.0,3.0,22,25,T5_1D_LONG_max3,2024-05-20 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
PENDLE/USDT,1d,LONG,2024-05-20 00:00:00+00:00,2024-06-07 00:00:00+00:00,6.022,5.120857142857143,5.120857142857143,5.120857142857143,0.9011428571428572,18,INITIAL_STOP,False,False,1.3627140139505387,-1.3005707038681047,-1.0000000000000002,0.02,-1.0200000000000002,20,50,10,14,2.0,999.0,4.0,3.0,22,26,T5_1D_LONG_max3,2024-05-20 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
UNI/USDT,1d,LONG,2024-05-20 00:00:00+00:00,2024-06-11 00:00:00+00:00,9.328,8.978,8.309,8.309,1.019,22,DONCHIAN_EXIT,False,False,2.5907752698724247,-0.6977428851815491,-0.343473994111874,0.02,-0.3634739941118741,20,50,10,14,2.0,999.0,4.0,3.0,22,27,T5_1D_LONG_max3,2024-05-20 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
BNB/USDT,1d,LONG,2024-05-21 00:00:00+00:00,2024-06-18 00:00:00+00:00,618.5,579.1142857142858,579.1142857142858,579.1142857142858,39.38571428571429,28,INITIAL_STOP,False,False,2.6227783822996,-1.104461371055495,-0.9999999999999988,0.02,-1.019999999999999,20,50,10,14,2.0,999.0,4.0,3.0,22,28,T5_1D_LONG_max3,2024-05-21 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
DOGE/USDT,1d,LONG,2024-05-21 00:00:00+00:00,2024-06-07 00:00:00+00:00,0.17024,0.1486999999999999,0.1486999999999999,0.1486999999999999,0.02154,17,INITIAL_STOP,False,False,0.2209842154131839,-1.403899721448466,-1.0000000000000004,0.02,-1.0200000000000005,20,50,10,14,2.0,999.0,4.0,3.0,22,29,T5_1D_LONG_max3,2024-05-21 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
FET/USDT,1d,LONG,2024-05-21 00:00:00+00:00,2024-05-30 00:00:00+00:00,2.5282,2.152257142857142,2.152257142857142,2.152257142857142,0.3759428571428572,9,INITIAL_STOP,False,False,0.4835841313269492,-1.1166590667274658,-1.0000000000000004,0.02,-1.0200000000000005,20,50,10,14,2.0,999.0,4.0,3.0,22,30,T5_1D_LONG_max3,2024-05-21 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
ZEC/USDT,1d,LONG,2024-05-24 00:00:00+00:00,2024-06-04 00:00:00+00:00,27.75,25.22428571428572,25.22428571428572,25.22428571428572,2.5257142857142845,11,INITIAL_STOP,False,False,0.3563348416289589,-1.076923076923077,-0.9999999999999994,0.02,-1.0199999999999994,20,50,10,14,2.0,999.0,4.0,3.0,22,31,T5_1D_LONG_max3,2024-05-24 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
CHZ/USDT,1d,LONG,2024-05-25 00:00:00+00:00,2024-06-07 00:00:00+00:00,0.13624,0.1178128571428571,0.1178128571428571,0.1178128571428571,0.0184271428571428,13,INITIAL_STOP,False,False,1.5607411427242424,-1.3632064501124117,-1.0000000000000002,0.02,-1.0200000000000002,20,50,10,14,2.0,999.0,4.0,3.0,22,32,T5_1D_LONG_max3,2024-05-25 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
TIA/USDT,1d,LONG,2024-05-28 00:00:00+00:00,2024-06-07 00:00:00+00:00,11.67,9.847142857142856,9.847142857142856,9.847142857142856,1.8228571428571432,10,INITIAL_STOP,False,False,0.1590909090909095,-1.6018808777429463,-1.0000000000000004,0.02,-1.0200000000000005,20,50,10,14,2.0,999.0,4.0,3.0,22,33,T5_1D_LONG_max3,2024-05-28 00:00:00+00:00,3,MAX_OPEN_REACHED,SKIPPED
