variant,closed_trade_index,portfolio_exit_time,symbol,side,timeframe,portfolio_net_r,equity_r,peak_r,dd_r
T5_6H_ALL_max3,1,2025-09-30 18:00:00+00:00,APT/USDT,SHORT,6h,-1.02,-1.02,-1.02,0.0
T5_6H_ALL_max3,2,2025-10-01 18:00:00+00:00,SOL/USDT,SHORT,6h,-1.0199999999999996,-2.0399999999999996,-1.02,-1.0199999999999996
T5_6H_ALL_max3,3,2025-10-09 06:00:00+00:00,APT/USDT,LONG,6h,2.5654816824966087,0.5254816824966091,0.5254816824966091,0.0
T5_6H_ALL_max3,4,2025-10-10 12:00:00+00:00,ETH/USDT,LONG,6h,-1.020000000000001,-0.4945183175033918,0.5254816824966091,-1.020000000000001
T5_6H_ALL_max3,5,2025-10-10 18:00:00+00:00,ZEC/USDT,LONG,6h,29.944692901802117,29.450174584298725,29.450174584298725,0.0
T5_6H_ALL_max3,6,2025-10-11 00:00:00+00:00,JTO/USDT,SHORT,6h,7.560093312597208,37.01026789689593,37.01026789689593,0.0
T5_6H_ALL_max3,7,2025-10-11 00:00:00+00:00,ADA/USDT,SHORT,6h,5.455534720187515,42.46580261708345,42.46580261708345,0.0
T5_6H_ALL_max3,8,2025-10-11 06:00:00+00:00,XUSD/USDT,SHORT,6h,-1.0200000000000569,41.44580261708339,42.46580261708345,-1.02000000000006
T5_6H_ALL_max3,9,2025-10-16 12:00:00+00:00,ZEC/USDT,LONG,6h,-1.02,40.425802617083384,42.46580261708345,-2.040000000000063
T5_6H_ALL_max3,10,2025-10-16 18:00:00+00:00,DASH/USDT,LONG,6h,-1.02,39.40580261708338,42.46580261708345,-3.0600000000000662
T5_6H_ALL_max3,11,2025-10-18 18:00:00+00:00,PUMP/USDT,SHORT,6h,-1.0200000000000005,38.38580261708338,42.46580261708345,-4.080000000000069
T5_6H_ALL_max3,12,2025-10-21 06:00:00+00:00,MLN/USDT,LONG,6h,-1.0200000000000002,37.365802617083375,42.46580261708345,-5.1000000000000725
T5_6H_ALL_max3,13,2025-10-21 12:00:00+00:00,BTC/USDT,SHORT,6h,-1.0200000000000016,36.34580261708337,42.46580261708345,-6.120000000000076
T5_6H_ALL_max3,14,2025-10-24 00:00:00+00:00,BFUSD/USDT,SHORT,6h,-1.02,35.32580261708337,42.46580261708345,-7.140000000000079
