variant,closed_trade_index,portfolio_exit_time,symbol,side,timeframe,portfolio_net_r,equity_r,peak_r,dd_r
T5_6H_ALL_max3,15,2025-10-24 12:00:00+00:00,JTO/USDT,SHORT,6h,-1.0200000000000011,34.305802617083366,42.46580261708345,-8.160000000000082
T5_6H_ALL_max3,16,2025-10-26 06:00:00+00:00,DASH/USDT,SHORT,6h,-1.02,33.28580261708336,42.46580261708345,-9.180000000000085
T5_6H_ALL_max3,17,2025-10-29 00:00:00+00:00,ENA/USDT,LONG,6h,-1.0199999999999998,32.26580261708336,42.46580261708345,-10.200000000000088
T5_6H_ALL_max3,18,2025-10-30 18:00:00+00:00,TRUMP/USDT,LONG,6h,-1.0199999999999998,31.24580261708336,42.46580261708345,-11.220000000000088
T5_6H_ALL_max3,19,2025-11-08 00:00:00+00:00,DASH/USDT,LONG,6h,2.9349291019581365,34.180731719041496,42.46580261708345,-8.285070898041951
T5_6H_ALL_max3,20,2025-11-11 18:00:00+00:00,NEAR/USDT,LONG,6h,-1.0199999999999998,33.16073171904149,42.46580261708345,-9.305070898041954
T5_6H_ALL_max3,21,2025-11-13 12:00:00+00:00,ASTER/USDT,LONG,6h,-1.02,32.14073171904149,42.46580261708345,-10.325070898041957
T5_6H_ALL_max3,22,2025-11-26 18:00:00+00:00,BB/USDT,SHORT,6h,-1.02,31.12073171904149,42.46580261708345,-11.345070898041957
T5_6H_ALL_max3,23,2025-11-28 12:00:00+00:00,SAHARA/USDT,LONG,6h,-1.0200000000000018,30.100731719041487,42.46580261708345,-12.36507089804196
T5_6H_ALL_max3,24,2025-12-03 12:00:00+00:00,FF/USDT,SHORT,6h,-1.0200000000000011,29.080731719041488,42.46580261708345,-13.38507089804196
T5_6H_ALL_max3,25,2025-12-07 12:00:00+00:00,LUNC/USDT,LONG,6h,8.435688246385924,37.51641996542741,42.46580261708345,-4.9493826516560375
T5_6H_ALL_max3,26,2025-12-20 12:00:00+00:00,KITE/USDT,SHORT,6h,-1.0200000000000002,36.49641996542741,42.46580261708345,-5.969382651656041
T5_6H_ALL_max3,27,2025-12-29 00:00:00+00:00,ZBT/USDT,LONG,6h,-0.9192395437262366,35.57718042170117,42.46580261708345,-6.8886221953822755
T5_6H_ALL_max3,28,2025-12-30 00:00:00+00:00,HBAR/USDT,LONG,6h,-1.0200000000000011,34.55718042170117,42.46580261708345,-7.908622195382279
T5_6H_ALL_max3,29,2026-01-01 18:00:00+00:00,HBAR/USDT,SHORT,6h,-1.0200000000000014,33.537180421701166,42.46580261708345,-8.928622195382282
T5_6H_ALL_max3,30,2026-01-09 00:00:00+00:00,PEPE/USDT,LONG,6h,2.386779661016952,35.92396008271812,42.46580261708345,-6.54184253436533
T5_6H_ALL_max3,31,2026-01-14 18:00:00+00:00,RENDER/USDT,LONG,6h,-1.02,34.903960082718115,42.46580261708345,-7.561842534365333
T5_6H_ALL_max3,32,2026-01-15 18:00:00+00:00,TRX/USDT,SHORT,6h,-1.020000000000003,33.88396008271811,42.46580261708345,-8.581842534365336
T5_6H_ALL_max3,33,2026-01-20 06:00:00+00:00,DASH/USDT,LONG,6h,-1.0199999999999998,32.86396008271811,42.46580261708345,-9.601842534365339
T5_6H_ALL_max3,34,2026-02-08 12:00:00+00:00,BTC/USDT,SHORT,6h,9.58282475102885,42.44678483374696,42.46580261708345,-0.01901778333648707
T5_6H_ALL_max3,35,2026-02-08 18:00:00+00:00,ONDO/USDT,SHORT,6h,4.4971475231355456,46.943932356882506,46.943932356882506,0.0
T5_6H_ALL_max3,36,2026-02-13 12:00:00+00:00,DASH/USDT,SHORT,6h,-1.02,45.9239323568825,46.943932356882506,-1.0200000000000031
T5_6H_ALL_max3,37,2026-02-14 00:00:00+00:00,BNB/USDT,SHORT,6h,-1.02,44.9039323568825,46.943932356882506,-2.0400000000000063
T5_6H_ALL_max3,38,2026-02-17 06:00:00+00:00,TON/USDT,LONG,6h,-1.0200000000000014,43.8839323568825,46.943932356882506,-3.0600000000000094
T5_6H_ALL_max3,39,2026-02-18 12:00:00+00:00,SPK/USDT,SHORT,6h,-1.019999999999999,42.8639323568825,46.943932356882506,-4.080000000000005
T5_6H_ALL_max3,40,2026-02-20 06:00:00+00:00,BB/USDT,SHORT,6h,-1.0199999999999998,41.8439323568825,46.943932356882506,-5.1000000000000085
T5_6H_ALL_max3,41,2026-03-14 06:00:00+00:00,HBAR/USDT,LONG,6h,-1.019999999999999,40.8239323568825,46.943932356882506,-6.1200000000000045
T5_6H_ALL_max3,42,2026-03-15 06:00:00+00:00,HBAR/USDT,SHORT,6h,-1.0199999999999996,39.8039323568825,46.943932356882506,-7.140000000000008
T5_6H_ALL_max3,43,2026-03-16 18:00:00+00:00,ZEC/USDT,SHORT,6h,-1.0199999999999994,38.7839323568825,46.943932356882506,-8.160000000000004
T5_6H_ALL_max3,44,2026-03-18 12:00:00+00:00,AAVE/USDT,LONG,6h,-1.0200000000000002,37.7639323568825,46.943932356882506,-9.180000000000007
T5_6H_ALL_max3,45,2026-03-18 12:00:00+00:00,HBAR/USDT,LONG,6h,-1.02,36.743932356882496,46.943932356882506,-10.20000000000001
T5_6H_ALL_max3,46,2026-03-25 12:00:00+00:00,DOGS/USDT,SHORT,6h,-1.020000000000001,35.72393235688249,46.943932356882506,-11.220000000000013
T5_6H_ALL_max3,47,2026-04-07 18:00:00+00:00,NEAR/USDT,SHORT,6h,-1.0199999999999985,34.7039323568825,46.943932356882506,-12.240000000000009
T5_6H_ALL_max3,48,2026-05-09 00:00:00+00:00,UNI/USDT,SHORT,6h,-1.02,33.683932356882494,46.943932356882506,-13.260000000000012
T5_6H_ALL_max3,49,2026-05-12 12:00:00+00:00,BTC/USDT,LONG,6h,3.1121586027280346,36.79609095961053,46.943932356882506,-10.147841397271975
T5_6H_ALL_max3,50,2026-05-12 12:00:00+00:00,FET/USDT,LONG,6h,-1.02,35.77609095961053,46.943932356882506,-11.167841397271978
T5_6H_ALL_max3,51,2026-05-12 18:00:00+00:00,TRUMP/USDT,SHORT,6h,-1.019999999999999,34.75609095961053,46.943932356882506,-12.187841397271974
T5_6H_ALL_max3,52,2026-05-14 18:00:00+00:00,AI/USDT,SHORT,6h,1.883682719546742,36.63977367915727,46.943932356882506,-10.304158677725233
T5_6H_ALL_max3,53,2026-05-14 18:00:00+00:00,BNB/USDT,LONG,6h,0.1111172668513405,36.75089094600861,46.943932356882506,-10.193041410873896
T5_6H_ALL_max3,54,2026-05-14 18:00:00+00:00,PENGU/USDT,SHORT,6h,0.2879219745222914,37.0388129205309,46.943932356882506,-9.905119436351605
T5_6H_ALL_max5,1,2025-09-29 18:00:00+00:00,ETH/USDT,SHORT,6h,-1.019999999999999,-1.019999999999999,-1.019999999999999,0.0
T5_6H_ALL_max5,2,2025-09-30 12:00:00+00:00,BNB/USDT,LONG,6h,-1.02,-2.039999999999999,-1.019999999999999,-1.0200000000000002
T5_6H_ALL_max5,3,2025-09-30 18:00:00+00:00,APT/USDT,SHORT,6h,-1.02,-3.059999999999999,-1.019999999999999,-2.04
T5_6H_ALL_max5,4,2025-10-01 12:00:00+00:00,BIO/USDT,SHORT,6h,-1.020000000000001,-4.08,-1.019999999999999,-3.0600000000000014
T5_6H_ALL_max5,5,2025-10-01 18:00:00+00:00,SOL/USDT,SHORT,6h,-1.0199999999999996,-5.1,-1.019999999999999,-4.080000000000001
T5_6H_ALL_max5,6,2025-10-02 06:00:00+00:00,BB/USDT,SHORT,6h,-1.02,-6.119999999999999,-1.019999999999999,-5.1000000000000005
T5_6H_ALL_max5,7,2025-10-09 06:00:00+00:00,APT/USDT,LONG,6h,2.5654816824966087,-3.5545183175033905,-1.019999999999999,-2.534518317503392
T5_6H_ALL_max5,8,2025-10-10 12:00:00+00:00,ETH/USDT,LONG,6h,-1.020000000000001,-4.574518317503392,-1.019999999999999,-3.554518317503393
T5_6H_ALL_max5,9,2025-10-10 18:00:00+00:00,ZEC/USDT,LONG,6h,29.944692901802117,25.370174584298724,25.370174584298724,0.0
T5_6H_ALL_max5,10,2025-10-10 18:00:00+00:00,LTC/USDT,LONG,6h,-0.1316519622756273,25.238522622023098,25.370174584298724,-0.13165196227562603
T5_6H_ALL_max5,11,2025-10-10 18:00:00+00:00,BNB/USDT,LONG,6h,4.008186856690418,29.246709478713516,29.246709478713516,0.0
T5_6H_ALL_max5,12,2025-10-11 00:00:00+00:00,JTO/USDT,SHORT,6h,7.560093312597208,36.80680279131072,36.80680279131072,0.0
T5_6H_ALL_max5,13,2025-10-11 00:00:00+00:00,ADA/USDT,SHORT,6h,5.455534720187515,42.26233751149824,42.26233751149824,0.0
T5_6H_ALL_max5,14,2025-10-11 06:00:00+00:00,XUSD/USDT,SHORT,6h,-1.0200000000000569,41.24233751149818,42.26233751149824,-1.02000000000006
T5_6H_ALL_max5,15,2025-10-16 12:00:00+00:00,ZEC/USDT,LONG,6h,-1.02,40.222337511498175,42.26233751149824,-2.040000000000063
T5_6H_ALL_max5,16,2025-10-16 18:00:00+00:00,DASH/USDT,LONG,6h,-1.02,39.20233751149817,42.26233751149824,-3.0600000000000662
T5_6H_ALL_max5,17,2025-10-18 18:00:00+00:00,PUMP/USDT,SHORT,6h,-1.0200000000000005,38.18233751149817,42.26233751149824,-4.080000000000069
T5_6H_ALL_max5,18,2025-10-21 06:00:00+00:00,MLN/USDT,LONG,6h,-1.0200000000000002,37.162337511498166,42.26233751149824,-5.1000000000000725
T5_6H_ALL_max5,19,2025-10-21 12:00:00+00:00,BTC/USDT,SHORT,6h,-1.0200000000000016,36.14233751149816,42.26233751149824,-6.120000000000076
T5_6H_ALL_max5,20,2025-10-24 00:00:00+00:00,BFUSD/USDT,SHORT,6h,-1.02,35.12233751149816,42.26233751149824,-7.140000000000079
T5_6H_ALL_max5,21,2025-10-24 12:00:00+00:00,JTO/USDT,SHORT,6h,-1.0200000000000011,34.102337511498156,42.26233751149824,-8.160000000000082
T5_6H_ALL_max5,22,2025-10-26 06:00:00+00:00,DASH/USDT,SHORT,6h,-1.02,33.08233751149815,42.26233751149824,-9.180000000000085
T5_6H_ALL_max5,23,2025-10-29 00:00:00+00:00,ENA/USDT,LONG,6h,-1.0199999999999998,32.06233751149815,42.26233751149824,-10.200000000000088
T5_6H_ALL_max5,24,2025-10-30 18:00:00+00:00,TRUMP/USDT,LONG,6h,-1.0199999999999998,31.04233751149815,42.26233751149824,-11.220000000000088
T5_6H_ALL_max5,25,2025-11-08 00:00:00+00:00,DASH/USDT,LONG,6h,2.9349291019581365,33.97726661345629,42.26233751149824,-8.285070898041951
T5_6H_ALL_max5,26,2025-11-11 18:00:00+00:00,NEAR/USDT,LONG,6h,-1.0199999999999998,32.957266613456284,42.26233751149824,-9.305070898041954
T5_6H_ALL_max5,27,2025-11-13 12:00:00+00:00,ASTER/USDT,LONG,6h,-1.02,31.937266613456284,42.26233751149824,-10.325070898041954
T5_6H_ALL_max5,28,2025-11-26 18:00:00+00:00,BB/USDT,SHORT,6h,-1.02,30.917266613456285,42.26233751149824,-11.345070898041953
T5_6H_ALL_max5,29,2025-11-28 12:00:00+00:00,SAHARA/USDT,LONG,6h,-1.0200000000000018,29.89726661345628,42.26233751149824,-12.365070898041957
T5_6H_ALL_max5,30,2025-12-03 12:00:00+00:00,FF/USDT,SHORT,6h,-1.0200000000000011,28.877266613456282,42.26233751149824,-13.385070898041956
T5_6H_ALL_max5,31,2025-12-07 12:00:00+00:00,LUNC/USDT,LONG,6h,8.435688246385924,37.31295485984221,42.26233751149824,-4.94938265165603
T5_6H_ALL_max5,32,2025-12-20 12:00:00+00:00,KITE/USDT,SHORT,6h,-1.0200000000000002,36.292954859842204,42.26233751149824,-5.9693826516560335
T5_6H_ALL_max5,33,2025-12-29 00:00:00+00:00,ZBT/USDT,LONG,6h,-0.9192395437262366,35.37371531611597,42.26233751149824,-6.888622195382268
T5_6H_ALL_max5,34,2025-12-30 00:00:00+00:00,HBAR/USDT,LONG,6h,-1.0200000000000011,34.35371531611597,42.26233751149824,-7.9086221953822715
T5_6H_ALL_max5,35,2026-01-01 18:00:00+00:00,HBAR/USDT,SHORT,6h,-1.0200000000000014,33.33371531611596,42.26233751149824,-8.928622195382275
T5_6H_ALL_max5,36,2026-01-09 00:00:00+00:00,PEPE/USDT,LONG,6h,2.386779661016952,35.720494977132915,42.26233751149824,-6.541842534365323
T5_6H_ALL_max5,37,2026-01-14 18:00:00+00:00,RENDER/USDT,LONG,6h,-1.02,34.70049497713291,42.26233751149824,-7.561842534365326
T5_6H_ALL_max5,38,2026-01-15 18:00:00+00:00,TRX/USDT,SHORT,6h,-1.020000000000003,33.68049497713291,42.26233751149824,-8.581842534365329
T5_6H_ALL_max5,39,2026-01-20 06:00:00+00:00,DASH/USDT,LONG,6h,-1.0199999999999998,32.660494977132906,42.26233751149824,-9.601842534365332
T5_6H_ALL_max5,40,2026-02-08 12:00:00+00:00,BTC/USDT,SHORT,6h,9.58282475102885,42.24331972816176,42.26233751149824,-0.019017783336479965
T5_6H_ALL_max5,41,2026-02-08 18:00:00+00:00,ONDO/USDT,SHORT,6h,4.4971475231355456,46.740467251297304,46.740467251297304,0.0
T5_6H_ALL_max5,42,2026-02-13 12:00:00+00:00,DASH/USDT,SHORT,6h,-1.02,45.7204672512973,46.740467251297304,-1.0200000000000031
T5_6H_ALL_max5,43,2026-02-14 00:00:00+00:00,BNB/USDT,SHORT,6h,-1.02,44.7004672512973,46.740467251297304,-2.0400000000000063
T5_6H_ALL_max5,44,2026-02-17 06:00:00+00:00,TON/USDT,LONG,6h,-1.0200000000000014,43.680467251297294,46.740467251297304,-3.0600000000000094
T5_6H_ALL_max5,45,2026-02-18 12:00:00+00:00,SPK/USDT,SHORT,6h,-1.019999999999999,42.6604672512973,46.740467251297304,-4.080000000000005
T5_6H_ALL_max5,46,2026-02-20 06:00:00+00:00,BB/USDT,SHORT,6h,-1.0199999999999998,41.640467251297295,46.740467251297304,-5.1000000000000085
T5_6H_ALL_max5,47,2026-03-14 06:00:00+00:00,HBAR/USDT,LONG,6h,-1.019999999999999,40.6204672512973,46.740467251297304,-6.1200000000000045
T5_6H_ALL_max5,48,2026-03-15 06:00:00+00:00,HBAR/USDT,SHORT,6h,-1.0199999999999996,39.6004672512973,46.740467251297304,-7.140000000000001
T5_6H_ALL_max5,49,2026-03-16 18:00:00+00:00,ZEC/USDT,SHORT,6h,-1.0199999999999994,38.58046725129731,46.740467251297304,-8.159999999999997
T5_6H_ALL_max5,50,2026-03-18 12:00:00+00:00,AAVE/USDT,LONG,6h,-1.0200000000000002,37.560467251297304,46.740467251297304,-9.18
T5_6H_ALL_max5,51,2026-03-18 12:00:00+00:00,HBAR/USDT,LONG,6h,-1.02,36.5404672512973,46.740467251297304,-10.200000000000003
T5_6H_ALL_max5,52,2026-03-25 12:00:00+00:00,DOGS/USDT,SHORT,6h,-1.020000000000001,35.5204672512973,46.740467251297304,-11.220000000000006
T5_6H_ALL_max5,53,2026-04-07 18:00:00+00:00,NEAR/USDT,SHORT,6h,-1.0199999999999985,34.5004672512973,46.740467251297304,-12.240000000000002
T5_6H_ALL_max5,54,2026-05-09 00:00:00+00:00,UNI/USDT,SHORT,6h,-1.02,33.4804672512973,46.740467251297304,-13.260000000000005
T5_6H_ALL_max5,55,2026-05-12 12:00:00+00:00,BTC/USDT,LONG,6h,3.1121586027280346,36.592625854025336,46.740467251297304,-10.147841397271968
T5_6H_ALL_max5,56,2026-05-12 12:00:00+00:00,FET/USDT,LONG,6h,-1.02,35.57262585402533,46.740467251297304,-11.167841397271971
T5_6H_ALL_max5,57,2026-05-12 18:00:00+00:00,TRUMP/USDT,SHORT,6h,-1.019999999999999,34.55262585402534,46.740467251297304,-12.187841397271967
T5_6H_ALL_max5,58,2026-05-14 18:00:00+00:00,AI/USDT,SHORT,6h,1.883682719546742,36.43630857357208,46.740467251297304,-10.304158677725226
T5_6H_ALL_max5,59,2026-05-14 18:00:00+00:00,APT/USDT,SHORT,6h,2.763080923971239,39.199389497543315,46.740467251297304,-7.541077753753989
T5_6H_ALL_max5,60,2026-05-14 18:00:00+00:00,DODO/USDT,SHORT,6h,1.464306569343066,40.66369606688638,46.740467251297304,-6.076771184410923
T5_6H_ALL_max5,61,2026-05-14 18:00:00+00:00,BNB/USDT,LONG,6h,0.1111172668513405,40.77481333373772,46.740467251297304,-5.965653917559585
T5_6H_ALL_max5,62,2026-05-14 18:00:00+00:00,PENGU/USDT,SHORT,6h,0.2879219745222914,41.06273530826001,46.740467251297304,-5.677731943037294
T5_6H_ALL_max8,1,2025-09-29 18:00:00+00:00,ETH/USDT,SHORT,6h,-1.019999999999999,-1.019999999999999,-1.019999999999999,0.0
T5_6H_ALL_max8,2,2025-09-30 12:00:00+00:00,BNB/USDT,LONG,6h,-1.02,-2.039999999999999,-1.019999999999999,-1.0200000000000002
T5_6H_ALL_max8,3,2025-09-30 18:00:00+00:00,APT/USDT,SHORT,6h,-1.02,-3.059999999999999,-1.019999999999999,-2.04
T5_6H_ALL_max8,4,2025-10-01 06:00:00+00:00,ADA/USDT,SHORT,6h,-1.02,-4.079999999999999,-1.019999999999999,-3.0600000000000005
T5_6H_ALL_max8,5,2025-10-01 06:00:00+00:00,ICP/USDT,SHORT,6h,-1.0199999999999982,-5.099999999999998,-1.019999999999999,-4.079999999999999
T5_6H_ALL_max8,6,2025-10-01 12:00:00+00:00,BIO/USDT,SHORT,6h,-1.020000000000001,-6.119999999999999,-1.019999999999999,-5.1000000000000005
T5_6H_ALL_max8,7,2025-10-01 18:00:00+00:00,SOL/USDT,SHORT,6h,-1.0199999999999996,-7.139999999999999,-1.019999999999999,-6.12
T5_6H_ALL_max8,8,2025-10-02 06:00:00+00:00,BB/USDT,SHORT,6h,-1.02,-8.159999999999998,-1.019999999999999,-7.14
T5_6H_ALL_max8,9,2025-10-06 12:00:00+00:00,AI/USDT,SHORT,6h,-1.0200000000000005,-9.18,-1.019999999999999,-8.16
T5_6H_ALL_max8,10,2025-10-07 12:00:00+00:00,LINK/USDT,LONG,6h,-1.0200000000000014,-10.200000000000001,-1.019999999999999,-9.180000000000001
T5_6H_ALL_max8,11,2025-10-09 06:00:00+00:00,APT/USDT,LONG,6h,2.5654816824966087,-7.634518317503392,-1.019999999999999,-6.614518317503394
T5_6H_ALL_max8,12,2025-10-10 12:00:00+00:00,ETH/USDT,LONG,6h,-1.020000000000001,-8.654518317503394,-1.019999999999999,-7.634518317503395
T5_6H_ALL_max8,13,2025-10-10 18:00:00+00:00,ZEC/USDT,LONG,6h,29.944692901802117,21.290174584298725,21.290174584298725,0.0
T5_6H_ALL_max8,14,2025-10-10 18:00:00+00:00,BTC/USDT,LONG,6h,-1.020000000000001,20.270174584298726,21.290174584298725,-1.0199999999999996
T5_6H_ALL_max8,15,2025-10-10 18:00:00+00:00,LTC/USDT,LONG,6h,-0.1316519622756273,20.1385226220231,21.290174584298725,-1.1516519622756256
T5_6H_ALL_max8,16,2025-10-10 18:00:00+00:00,MLN/USDT,LONG,6h,-1.0199999999999996,19.1185226220231,21.290174584298725,-2.171651962275625
T5_6H_ALL_max8,17,2025-10-10 18:00:00+00:00,BNB/USDT,LONG,6h,4.008186856690418,23.12670947871352,23.12670947871352,0.0
T5_6H_ALL_max8,18,2025-10-11 00:00:00+00:00,AVAX/USDT,SHORT,6h,7.030458715596334,30.157168194309854,30.157168194309854,0.0
T5_6H_ALL_max8,19,2025-10-11 00:00:00+00:00,JTO/USDT,SHORT,6h,7.560093312597208,37.717261506907064,37.717261506907064,0.0
T5_6H_ALL_max8,20,2025-10-11 00:00:00+00:00,ADA/USDT,SHORT,6h,5.455534720187515,43.17279622709458,43.17279622709458,0.0
T5_6H_ALL_max8,21,2025-10-11 06:00:00+00:00,XUSD/USDT,SHORT,6h,-1.0200000000000569,42.15279622709452,43.17279622709458,-1.02000000000006
T5_6H_ALL_max8,22,2025-10-13 00:00:00+00:00,ETH/USDT,SHORT,6h,-1.020000000000001,41.132796227094516,43.17279622709458,-2.040000000000063
T5_6H_ALL_max8,23,2025-10-16 12:00:00+00:00,ZEC/USDT,LONG,6h,-1.02,40.11279622709451,43.17279622709458,-3.0600000000000662
T5_6H_ALL_max8,24,2025-10-16 18:00:00+00:00,DASH/USDT,LONG,6h,-1.02,39.09279622709451,43.17279622709458,-4.080000000000069
T5_6H_ALL_max8,25,2025-10-18 18:00:00+00:00,PUMP/USDT,SHORT,6h,-1.0200000000000005,38.07279622709451,43.17279622709458,-5.1000000000000725
T5_6H_ALL_max8,26,2025-10-21 06:00:00+00:00,MLN/USDT,LONG,6h,-1.0200000000000002,37.052796227094504,43.17279622709458,-6.120000000000076
T5_6H_ALL_max8,27,2025-10-21 12:00:00+00:00,BTC/USDT,SHORT,6h,-1.0200000000000016,36.0327962270945,43.17279622709458,-7.140000000000079
T5_6H_ALL_max8,28,2025-10-24 00:00:00+00:00,BFUSD/USDT,SHORT,6h,-1.02,35.0127962270945,43.17279622709458,-8.160000000000082
T5_6H_ALL_max8,29,2025-10-24 12:00:00+00:00,JTO/USDT,SHORT,6h,-1.0200000000000011,33.992796227094495,43.17279622709458,-9.180000000000085
T5_6H_ALL_max8,30,2025-10-26 06:00:00+00:00,DASH/USDT,SHORT,6h,-1.02,32.97279622709449,43.17279622709458,-10.200000000000088
T5_6H_ALL_max8,31,2025-10-29 00:00:00+00:00,ENA/USDT,LONG,6h,-1.0199999999999998,31.952796227094492,43.17279622709458,-11.220000000000088
T5_6H_ALL_max8,32,2025-10-30 18:00:00+00:00,TRUMP/USDT,LONG,6h,-1.0199999999999998,30.932796227094492,43.17279622709458,-12.240000000000087
T5_6H_ALL_max8,33,2025-11-07 12:00:00+00:00,FET/USDT,SHORT,6h,-1.0199999999999998,29.912796227094493,43.17279622709458,-13.260000000000087
T5_6H_ALL_max8,34,2025-11-08 00:00:00+00:00,DASH/USDT,LONG,6h,2.9349291019581365,32.84772532905263,43.17279622709458,-10.32507089804195
T5_6H_ALL_max8,35,2025-11-08 00:00:00+00:00,FIL/USDT,LONG,6h,-1.0199999999999998,31.82772532905263,43.17279622709458,-11.34507089804195
T5_6H_ALL_max8,36,2025-11-11 18:00:00+00:00,NEAR/USDT,LONG,6h,-1.0199999999999998,30.80772532905263,43.17279622709458,-12.36507089804195
T5_6H_ALL_max8,37,2025-11-12 12:00:00+00:00,LTC/USDT,LONG,6h,-1.0199999999999994,29.78772532905263,43.17279622709458,-13.385070898041949
T5_6H_ALL_max8,38,2025-11-13 12:00:00+00:00,ASTER/USDT,LONG,6h,-1.02,28.76772532905263,43.17279622709458,-14.405070898041949
T5_6H_ALL_max8,39,2025-11-16 18:00:00+00:00,TAO/USDT,LONG,6h,-1.0199999999999996,27.74772532905263,43.17279622709458,-15.425070898041948
T5_6H_ALL_max8,40,2025-11-17 18:00:00+00:00,ASTER/USDT,LONG,6h,-1.020000000000001,26.72772532905263,43.17279622709458,-16.445070898041948
T5_6H_ALL_max8,41,2025-11-26 18:00:00+00:00,BB/USDT,SHORT,6h,-1.02,25.707725329052632,43.17279622709458,-17.465070898041947
T5_6H_ALL_max8,42,2025-11-28 12:00:00+00:00,SAHARA/USDT,LONG,6h,-1.0200000000000018,24.68772532905263,43.17279622709458,-18.48507089804195
T5_6H_ALL_max8,43,2025-12-03 12:00:00+00:00,FF/USDT,SHORT,6h,-1.0200000000000011,23.66772532905263,43.17279622709458,-19.50507089804195
T5_6H_ALL_max8,44,2025-12-07 12:00:00+00:00,LUNC/USDT,LONG,6h,8.435688246385924,32.10341357543855,43.17279622709458,-11.069382651656028
T5_6H_ALL_max8,45,2025-12-20 12:00:00+00:00,KITE/USDT,SHORT,6h,-1.0200000000000002,31.083413575438552,43.17279622709458,-12.089382651656027
T5_6H_ALL_max8,46,2025-12-25 06:00:00+00:00,BIO/USDT,SHORT,6h,3.612183908045977,34.695597483484526,43.17279622709458,-8.477198743610053
T5_6H_ALL_max8,47,2025-12-29 00:00:00+00:00,ZBT/USDT,LONG,6h,-0.9192395437262366,33.77635793975829,43.17279622709458,-9.396438287336288
T5_6H_ALL_max8,48,2025-12-30 00:00:00+00:00,HBAR/USDT,LONG,6h,-1.0200000000000011,32.75635793975829,43.17279622709458,-10.416438287336291
T5_6H_ALL_max8,49,2026-01-01 18:00:00+00:00,HBAR/USDT,SHORT,6h,-1.0200000000000014,31.736357939758285,43.17279622709458,-11.436438287336294
T5_6H_ALL_max8,50,2026-01-02 06:00:00+00:00,DOGE/USDT,SHORT,6h,-1.0200000000000022,30.716357939758282,43.17279622709458,-12.456438287336297
T5_6H_ALL_max8,51,2026-01-09 00:00:00+00:00,PEPE/USDT,LONG,6h,2.386779661016952,33.103137600775234,43.17279622709458,-10.069658626319345
T5_6H_ALL_max8,52,2026-01-14 18:00:00+00:00,RENDER/USDT,LONG,6h,-1.02,32.08313760077523,43.17279622709458,-11.089658626319348
T5_6H_ALL_max8,53,2026-01-15 18:00:00+00:00,TRX/USDT,SHORT,6h,-1.020000000000003,31.063137600775228,43.17279622709458,-12.109658626319352
T5_6H_ALL_max8,54,2026-01-20 06:00:00+00:00,DASH/USDT,LONG,6h,-1.0199999999999998,30.04313760077523,43.17279622709458,-13.129658626319351
T5_6H_ALL_max8,55,2026-01-21 00:00:00+00:00,BNB/USDT,LONG,6h,-1.0199999999999974,29.023137600775232,43.17279622709458,-14.149658626319347
