timeframe,filter_mode,rsi_n,overbought,hold_bars,atr_mult,num_trades,win_rate,avg_r,profit_factor,max_dd_r,total_r
2h,none,2,70,5,2.0,81160,0.5065,0.0072,1.0259,98.17,585.38
2h,none,2,70,5,3.0,78152,0.5175,0.0043,1.0224,64.3,332.76
2h,none,2,70,5,4.0,77123,0.5198,0.0023,1.016,60.75,176.86
2h,none,2,70,10,2.0,57805,0.4732,-0.0028,0.9928,370.67,-164.1
2h,none,2,70,10,3.0,53113,0.5036,-0.002,0.9927,256.64,-107.23
2h,none,2,70,10,4.0,51354,0.5109,-0.0037,0.9826,272.97,-187.91
2h,none,2,70,15,2.0,46985,0.4507,0.0092,1.0202,115.92,432.1
2h,none,2,70,15,3.0,41770,0.4982,0.0043,1.013,91.65,177.98
2h,none,2,70,15,4.0,39622,0.5119,0.0021,1.0082,79.5,83.0
2h,none,2,70,20,2.0,39818,0.4244,0.0104,1.0206,151.05,414.33
2h,none,2,70,20,3.0,34612,0.485,0.011,1.0296,100.68,381.99
2h,none,2,70,20,4.0,32382,0.5053,0.0033,1.0114,87.52,107.92
2h,none,2,70,25,2.0,35111,0.399,0.0089,1.0163,211.2,313.38
2h,none,2,70,25,3.0,29913,0.4696,0.0086,1.0209,91.65,256.18
2h,none,2,70,25,4.0,27569,0.4948,-0.004,0.9879,249.3,-109.17
2h,none,2,75,5,2.0,73862,0.5056,0.0057,1.0204,126.36,422.79
2h,none,2,75,5,3.0,71102,0.5167,0.0034,1.0178,81.64,242.24
2h,none,2,75,5,4.0,70148,0.5191,0.0019,1.0129,69.27,131.02
2h,none,2,75,10,2.0,54180,0.4728,-0.0044,0.9889,330.66,-237.32
2h,none,2,75,10,3.0,49861,0.5036,-0.003,0.989,246.77,-151.63
2h,none,2,75,10,4.0,48182,0.5104,-0.0052,0.9753,314.46,-252.34
2h,none,2,75,15,2.0,44709,0.4523,0.0116,1.0254,98.48,517.55
2h,none,2,75,15,3.0,39870,0.4989,0.0039,1.0117,87.27,153.62
2h,none,2,75,15,4.0,37841,0.5137,0.0013,1.0052,107.7,49.92
2h,none,2,75,20,2.0,38218,0.4248,0.0115,1.0227,137.4,438.84
2h,none,2,75,20,3.0,33387,0.4861,0.0127,1.034,94.52,424.23
2h,none,2,75,20,4.0,31273,0.5074,0.0048,1.0164,111.42,150.77
2h,none,2,75,25,2.0,33817,0.4014,0.0132,1.0242,149.41,445.85
2h,none,2,75,25,3.0,28986,0.4705,0.0103,1.0251,113.15,299.51
2h,none,2,75,25,4.0,26777,0.4958,0.0017,1.0051,102.96,44.6
2h,none,2,80,5,2.0,65221,0.5063,0.0041,1.0144,105.36,266.03
2h,none,2,80,5,3.0,62792,0.5174,0.0017,1.0088,109.29,107.41
2h,none,2,80,5,4.0,61925,0.5194,0.0003,1.0022,101.7,19.86
2h,none,2,80,10,2.0,49636,0.4736,-0.0022,0.9943,282.78,-111.28
2h,none,2,80,10,3.0,45837,0.5055,-0.0021,0.9923,206.63,-98.53
2h,none,2,80,10,4.0,44296,0.5128,-0.0041,0.9809,257.54,-180.28
2h,none,2,80,15,2.0,41804,0.4517,0.0121,1.0265,117.57,505.78
2h,none,2,80,15,3.0,37431,0.5013,0.006,1.0182,95.16,225.33
2h,none,2,80,15,4.0,35527,0.5167,0.0017,1.0066,96.45,59.96
2h,none,2,80,20,2.0,36076,0.4232,0.0081,1.0159,179.78,290.88
2h,none,2,80,20,3.0,31619,0.4833,0.0054,1.0144,181.49,171.39
2h,none,2,80,20,4.0,29622,0.505,0.0008,1.0026,150.24,22.74
2h,none,2,80,25,2.0,32180,0.4004,0.0106,1.0195,202.46,342.15
2h,none,2,80,25,3.0,27697,0.4697,0.0066,1.016,98.3,183.3
2h,none,2,80,25,4.0,25600,0.4986,0.0016,1.005,127.67,41.85
2h,none,2,85,5,2.0,54623,0.5045,-0.0008,0.9971,184.36,-45.85
2h,none,2,85,5,3.0,52604,0.5158,-0.0029,0.9851,219.0,-155.09
2h,none,2,85,5,4.0,51875,0.5185,-0.0029,0.9807,196.03,-150.15
2h,none,2,85,10,2.0,43587,0.4702,-0.0105,0.9738,523.26,-456.88
2h,none,2,85,10,3.0,40289,0.5018,-0.0109,0.9617,484.29,-438.14
2h,none,2,85,10,4.0,38922,0.5087,-0.012,0.9455,488.62,-465.16
2h,none,2,85,15,2.0,37645,0.4496,0.0077,1.0166,141.17,288.0
2h,none,2,85,15,3.0,33887,0.499,0.0018,1.0053,125.61,60.28
2h,none,2,85,15,4.0,32243,0.5152,-0.0,0.9999,120.99,-1.21
2h,none,2,85,20,2.0,32958,0.4192,0.0022,1.0042,241.52,71.28
2h,none,2,85,20,3.0,29085,0.4815,0.0009,1.0024,185.68,26.43
2h,none,2,85,20,4.0,27281,0.5039,-0.0029,0.9902,183.88,-80.1
2h,none,2,85,25,2.0,29818,0.4003,0.0113,1.0207,113.76,338.4
2h,none,2,85,25,3.0,25758,0.4679,0.0045,1.0109,173.17,116.67
2h,none,2,85,25,4.0,23897,0.4999,0.0012,1.0035,127.79,27.58
2h,none,2,90,5,2.0,41519,0.5065,-0.0044,0.9849,282.11,-184.26
2h,none,2,90,5,3.0,39976,0.5186,-0.0059,0.971,289.03,-235.18
2h,none,2,90,5,4.0,39390,0.5216,-0.0056,0.9638,254.72,-219.75
2h,none,2,90,10,2.0,35233,0.4717,-0.0109,0.9729,516.42,-384.97
2h,none,2,90,10,3.0,32661,0.5026,-0.0149,0.9485,543.16,-486.74
2h,none,2,90,10,4.0,31543,0.5106,-0.0149,0.9332,514.45,-471.54
2h,none,2,90,15,2.0,31454,0.4484,0.0032,1.007,162.2,101.61
2h,none,2,90,15,3.0,28588,0.4997,-0.0007,0.998,118.67,-19.82
2h,none,2,90,15,4.0,27240,0.5161,-0.0017,0.9934,115.92,-47.18
2h,none,2,90,20,2.0,28200,0.4171,-0.0009,0.9983,331.33,-24.87
2h,none,2,90,20,3.0,25134,0.4792,-0.0026,0.9933,249.15,-64.65
2h,none,2,90,20,4.0,23667,0.5021,-0.0033,0.989,198.41,-79.06
2h,none,2,90,25,2.0,25861,0.3969,0.0058,1.0105,261.16,149.47
2h,none,2,90,25,3.0,22628,0.4673,-0.0002,0.9995,214.26,-4.34
2h,none,2,90,25,4.0,21094,0.4999,0.0008,1.0023,185.13,16.04
2h,none,3,70,5,2.0,62980,0.5044,-0.0016,0.9943,250.98,-103.77
2h,none,3,70,5,3.0,60297,0.5158,-0.0022,0.9891,207.23,-129.64
2h,none,3,70,5,4.0,59326,0.5183,-0.0023,0.9846,177.22,-136.65
2h,none,3,70,10,2.0,48500,0.4733,-0.0082,0.9795,558.09,-395.84
2h,none,3,70,10,3.0,44247,0.5054,-0.0066,0.9764,375.17,-293.21
2h,none,3,70,10,4.0,42543,0.5126,-0.0081,0.9627,380.99,-343.59
2h,none,3,70,15,2.0,41443,0.4508,0.0068,1.0148,194.64,282.15
2h,none,3,70,15,3.0,36670,0.5005,0.0014,1.0043,113.79,52.39
2h,none,3,70,15,4.0,34579,0.5173,0.0004,1.0015,115.37,13.28
2h,none,3,70,20,2.0,36109,0.4202,0.0047,1.0092,313.43,168.97
2h,none,3,70,20,3.0,31269,0.4813,0.0023,1.006,206.73,70.96
2h,none,3,70,20,4.0,29143,0.5045,0.0001,1.0005,188.38,4.35
2h,none,3,70,25,2.0,32353,0.399,0.0073,1.0133,224.79,236.59
2h,none,3,70,25,3.0,27531,0.4666,-0.0008,0.9981,227.18,-22.0
2h,none,3,70,25,4.0,25273,0.499,-0.0008,0.9977,169.36,-19.48
2h,none,3,75,5,2.0,52648,0.504,-0.0055,0.9811,361.99,-291.47
2h,none,3,75,5,3.0,50422,0.5168,-0.005,0.9751,308.94,-252.57
2h,none,3,75,5,4.0,49607,0.5202,-0.0045,0.9708,263.23,-220.94
2h,none,3,75,10,2.0,42390,0.4725,-0.0109,0.9727,632.08,-464.08
2h,none,3,75,10,3.0,38810,0.5059,-0.0097,0.9659,461.03,-377.39
2h,none,3,75,10,4.0,37283,0.5125,-0.0123,0.9444,510.94,-458.57
2h,none,3,75,15,2.0,37174,0.4526,0.008,1.0173,166.22,297.15
2h,none,3,75,15,3.0,33118,0.5038,0.0041,1.0123,90.95,137.15
2h,none,3,75,15,4.0,31260,0.521,0.0008,1.003,115.76,24.7
2h,none,3,75,20,2.0,32876,0.4187,0.0021,1.0041,313.77,69.51
2h,none,3,75,20,3.0,28726,0.4786,-0.003,0.9922,291.42,-86.72
2h,none,3,75,20,4.0,26773,0.5028,-0.0052,0.9827,238.34,-140.23
2h,none,3,75,25,2.0,29801,0.3982,0.0042,1.0077,270.32,126.44
2h,none,3,75,25,3.0,25548,0.4646,-0.0037,0.9913,273.04,-93.64
2h,none,3,75,25,4.0,23500,0.4984,-0.0034,0.9897,212.62,-80.53
2h,none,3,80,5,2.0,41563,0.5026,-0.0136,0.9547,593.26,-563.61
2h,none,3,80,5,3.0,39785,0.5161,-0.0109,0.9471,468.21,-434.18
2h,none,3,80,5,4.0,39115,0.52,-0.0087,0.9444,359.84,-340.17
2h,none,3,80,10,2.0,35176,0.4741,-0.0139,0.9659,556.61,-487.32
2h,none,3,80,10,3.0,32263,0.5076,-0.0162,0.9444,547.19,-523.34
