rsi_n,overbought,hold_bars,atr_mult,num_trades,win_rate,avg_r,profit_factor,max_dd_r,total_r,conc_2025
10,90,20,2.0,17,0.4706,8.5898,19.2534,3.0,146.03,0.869
10,90,20,3.0,17,0.5294,5.6991,14.8407,3.0,96.89,0.859
10,90,25,2.0,17,0.4118,9.2115,18.3995,3.0,156.6,0.876
10,90,25,3.0,17,0.4706,6.118,14.0008,3.0,104.01,0.864
10,90,30,2.0,17,0.4118,11.638,22.9828,3.0,197.85,0.896
10,90,30,3.0,17,0.4706,7.7339,17.4346,3.0,131.48,0.887
14,80,10,2.0,36,0.5,4.3819,11.3199,4.0,157.75,0.866
14,80,10,3.0,36,0.5,2.7949,7.7975,3.61,100.62,0.882
14,80,15,2.0,34,0.5294,4.6142,11.4588,4.0,156.88,0.83
14,80,15,3.0,34,0.5294,2.9048,7.5842,4.0,98.76,0.855
14,80,20,2.0,34,0.4706,4.3983,9.7966,4.0,149.54,0.845
14,80,20,3.0,34,0.4706,2.7909,6.6888,4.0,94.89,0.863
14,80,25,2.0,34,0.4412,4.8001,10.0669,4.0,163.2,0.837
14,80,25,3.0,34,0.4412,3.0309,6.8737,4.0,103.05,0.858
14,80,30,2.0,34,0.4412,5.9493,12.2375,4.0,202.28,0.874
14,80,30,3.0,34,0.4118,3.7901,8.2233,4.0,128.86,0.894
14,85,10,2.0,11,0.5455,12.2534,45.9291,1.0,134.79,0.953
14,85,10,3.0,11,0.5455,8.078,30.6194,1.0,88.86,0.956
14,85,15,2.0,9,0.5556,14.2773,43.8319,1.0,128.5,0.926
14,85,15,3.0,9,0.5556,9.4071,29.2212,1.0,84.66,0.929
14,85,20,2.0,9,0.5556,14.2093,43.628,1.0,127.88,0.882
14,85,20,3.0,9,0.5556,9.3618,29.0854,1.0,84.26,0.885
14,85,25,2.0,9,0.5556,17.435,53.305,1.0,156.92,0.896
14,85,25,3.0,9,0.5556,11.5122,35.5367,1.0,103.61,0.898
14,85,30,2.0,9,0.5556,21.674,66.0221,1.0,195.07,0.91
14,85,30,3.0,9,0.5556,14.3382,44.0147,1.0,129.04,0.912
14,90,10,2.0,4,0.5,24.4782,49.9564,1.0,97.91,1.01
14,90,10,3.0,4,0.5,16.1521,33.3043,1.0,64.61,1.015
14,90,15,2.0,4,0.5,24.641,50.282,1.0,98.56,1.01
14,90,15,3.0,4,0.5,16.2607,33.5213,1.0,65.04,1.015
14,90,20,2.0,4,0.5,23.0945,47.189,1.0,92.38,1.011
14,90,20,3.0,4,0.5,15.2297,31.4593,1.0,60.92,1.016
14,90,25,2.0,4,0.5,30.0131,61.0262,1.0,120.05,1.008
14,90,25,3.0,4,0.5,19.8421,40.6841,1.0,79.37,1.013
14,90,30,2.0,4,0.5,32.6381,66.2762,1.0,130.55,1.008
14,90,30,3.0,4,0.5,21.5921,44.1841,1.0,86.37,1.012
