timeframe,filter_mode,rsi_n,overbought,hold_bars,atr_mult,num_trades,win_rate,avg_r,profit_factor,max_dd_r,total_r
1d,ema200_price_below,10,90,5,3.0,8,0.625,0.2064,1.5504,1.0,1.65
1d,ema200_price_below,10,90,5,4.0,7,0.7143,0.2126,1.7442,1.0,1.49
1d,ema200_price_below,10,90,10,2.0,8,0.5,0.443,1.886,2.0,3.54
1d,ema200_price_below,10,90,10,3.0,8,0.5,0.1287,1.2573,2.0,1.03
1d,ema200_price_below,10,90,10,4.0,7,0.5714,0.2298,1.7435,1.0,1.61
1d,ema200_price_below,10,90,15,2.0,8,0.375,0.2666,1.4774,2.0,2.13
1d,ema200_price_below,10,90,15,3.0,8,0.375,0.0111,1.0205,2.0,0.09
1d,ema200_price_below,10,90,15,4.0,7,0.4286,0.0695,1.173,1.0,0.49
1d,ema200_price_below,10,90,20,2.0,7,0.2857,-0.198,0.6632,2.0,-1.39
1d,ema200_price_below,10,90,20,3.0,7,0.2857,-0.3225,0.4463,2.0,-2.26
1d,ema200_price_below,10,90,20,4.0,6,0.3333,-0.2822,0.4463,1.06,-1.69
1d,ema200_price_below,10,90,25,2.0,6,0.3333,-0.48,0.28,2.14,-2.88
1d,ema200_price_below,10,90,25,3.0,6,0.3333,-0.5422,0.1867,2.43,-3.25
1d,ema200_price_below,10,90,25,4.0,5,0.4,-0.488,0.1867,1.57,-2.44
1d,ema200_price_below,14,70,5,2.0,252,0.4762,-0.1235,0.7004,34.79,-31.11
1d,ema200_price_below,14,70,5,3.0,243,0.4979,-0.1279,0.6027,34.52,-31.07
1d,ema200_price_below,14,70,5,4.0,236,0.5042,-0.0997,0.5929,26.84,-23.52
1d,ema200_price_below,14,70,10,2.0,237,0.4219,-0.1005,0.8022,29.96,-23.82
1d,ema200_price_below,14,70,10,3.0,221,0.4525,-0.133,0.6863,32.64,-29.39
1d,ema200_price_below,14,70,10,4.0,209,0.488,-0.0892,0.7251,23.95,-18.65
1d,ema200_price_below,14,70,15,2.0,233,0.4034,-0.0794,0.8601,31.32,-18.49
1d,ema200_price_below,14,70,15,3.0,214,0.4393,-0.1208,0.7457,31.13,-25.86
1d,ema200_price_below,14,70,15,4.0,201,0.4876,-0.1093,0.7229,25.82,-21.97
1d,ema200_price_below,14,70,20,2.0,229,0.3493,-0.108,0.8262,31.27,-24.73
1d,ema200_price_below,14,70,20,3.0,211,0.4313,-0.1219,0.7654,29.16,-25.73
1d,ema200_price_below,14,70,20,4.0,198,0.4596,-0.1307,0.7095,28.92,-25.89
1d,ema200_price_below,14,70,25,2.0,216,0.3009,-0.2266,0.6693,56.17,-48.94
1d,ema200_price_below,14,70,25,3.0,195,0.3744,-0.2268,0.6159,48.21,-44.23
1d,ema200_price_below,14,70,25,4.0,182,0.4066,-0.1995,0.6001,39.6,-36.3
1d,ema200_price_below,14,75,5,2.0,97,0.5464,-0.0054,0.9857,12.08,-0.52
1d,ema200_price_below,14,75,5,3.0,93,0.5914,-0.0342,0.8846,9.99,-3.18
1d,ema200_price_below,14,75,5,4.0,89,0.5843,-0.0745,0.7203,10.15,-6.63
1d,ema200_price_below,14,75,10,2.0,92,0.4022,-0.0962,0.8212,21.3,-8.85
1d,ema200_price_below,14,75,10,3.0,88,0.4432,-0.1418,0.6878,20.14,-12.48
1d,ema200_price_below,14,75,10,4.0,82,0.4756,-0.1198,0.6794,14.92,-9.83
1d,ema200_price_below,14,75,15,2.0,92,0.3587,-0.1661,0.7193,24.95,-15.28
1d,ema200_price_below,14,75,15,3.0,88,0.3864,-0.1931,0.6191,24.29,-16.99
1d,ema200_price_below,14,75,15,4.0,81,0.4568,-0.1967,0.5715,21.69,-15.93
1d,ema200_price_below,14,75,20,2.0,91,0.3516,-0.2102,0.6665,28.6,-19.13
1d,ema200_price_below,14,75,20,3.0,87,0.4253,-0.2097,0.6037,23.78,-18.25
1d,ema200_price_below,14,75,20,4.0,80,0.45,-0.2277,0.5333,23.37,-18.21
1d,ema200_price_below,14,75,25,2.0,86,0.2674,-0.3255,0.531,29.17,-27.99
1d,ema200_price_below,14,75,25,3.0,82,0.3293,-0.3152,0.4713,26.22,-25.85
1d,ema200_price_below,14,75,25,4.0,75,0.36,-0.3045,0.4429,24.24,-22.84
1d,ema200_price_below,14,80,5,2.0,28,0.6071,0.2524,1.753,2.31,7.07
1d,ema200_price_below,14,80,5,3.0,28,0.6429,0.1525,1.5855,2.54,4.27
1d,ema200_price_below,14,80,5,4.0,28,0.6429,0.0458,1.1737,3.07,1.28
1d,ema200_price_below,14,80,10,2.0,28,0.4643,0.0985,1.1947,6.05,2.76
