variant,total_return,cagr,max_dd,sharpe,sortino,ret_2022
baseline (S1+S6+S7+S8),3.0838037942084364,0.3250421880162764,-0.04126974065515676,2.1516214788744388,9.183407219713526,0.23287251139933374
baseline + 12 + 19 (20% each),3.086886726733007,0.32524221436628187,-0.040550313174296554,3.338976773418492,15.803839112718896,0.0438087230208124
baseline + 12 only (20%),2.9839013311939726,0.3184939840400858,-0.038389480008523706,2.6242173434884712,11.609100005394632,0.13124441092688244
baseline + 19 only (20%),3.186789189747519,0.3316596706937449,-0.038685697267236176,2.7297738608182507,12.652860158975592,0.12948112789941613
