label,trades,total_r,avg_r,pf,dd_r,win_rate,extra_cost_r,removed_assets,removed_months
T5_6H_ALL_max5_BASELINE,60,43.10273530826012,0.7183789218043354,1.9820428300565738,-13.260000000000005,26.666666666666668,,,
T5_6H_ALL_max5_COST_0.00R,60,43.10273530826012,0.7183789218043354,1.9820428300565738,-13.260000000000005,26.666666666666668,0.0,,
T5_6H_ALL_max5_COST_0.05R,60,40.10273530826012,0.6683789218043353,1.870079401762884,-13.910000000000004,26.666666666666668,0.05,,
T5_6H_ALL_max5_COST_0.10R,60,37.102735308260115,0.6183789218043353,1.7683174642499357,-14.559999999999977,26.666666666666668,0.1,,
T5_6H_ALL_max5_COST_0.15R,60,34.10273530826012,0.5683789218043354,1.6749037735030543,-15.210000000000015,25.0,0.15,,
T5_6H_ALL_max5_REMOVE_TOP_1_ASSETS,57,15.198042406457997,0.26663232292031575,1.3631473992442533,-12.239999999999998,26.31578947368421,,ZEC/USDT,
T5_6H_ALL_max5_REMOVE_TOP_3_ASSETS,53,-4.9126291936848085,-0.09269111686197752,0.8796835187161495,-23.740383257615605,22.641509433962266,,"ZEC/USDT,BTC/USDT,LUNC/USDT",
T5_6H_ALL_max5_REMOVE_TOP_5_ASSETS,50,-16.908257226469527,-0.3381651445293905,0.5752856420228507,-22.720383257615605,20.0,,"ZEC/USDT,BTC/USDT,LUNC/USDT,JTO/USDT,ADA/USDT",
T5_6H_ALL_max5_REMOVE_TOP_1_MONTHS,41,6.960397796761883,0.16976579992102153,1.228215453922478,-13.259999999999998,26.82926829268293,,,2025-10
T5_6H_ALL_max5_REMOVE_TOP_2_MONTHS,34,-2.0195744774025126,-0.05939924933536802,0.9204868132399907,-12.812459882709287,26.47058823529412,,,"2025-10,2026-02"
T5_6H_ALL_max5_LONG_ONLY,28,34.08814281392766,1.217433671925988,2.756134838185438,-6.120000000000008,28.57142857142857,,,
T5_6H_ALL_max5_SHORT_ONLY,32,9.014592494332451,0.2817060154478891,1.3682431574482208,-10.199999999999996,25.0,,,
T5_6H_ALL_max5_LAST_20,20,-4.657731943037283,-0.23288659715186416,0.6738282953055124,-11.219999999999997,30.0,,,
T5_6H_ALL_max5_LAST_30,30,4.769780448417822,0.1589926816139274,1.223731265772163,-13.259999999999996,30.0,,,
T5_6H_ALL_max5_LAST_50,50,17.86421268623702,0.35728425372474043,1.4878368013324184,-13.259999999999998,28.000000000000004,,,
T5_6H_ALL_max3_BASELINE,52,39.07881292053102,0.751515633087135,1.9848679906646505,-13.260000000000005,25.0,,,
T5_6H_ALL_max3_COST_0.00R,52,39.07881292053102,0.751515633087135,1.9848679906646505,-13.260000000000005,25.0,0.0,,
T5_6H_ALL_max3_COST_0.05R,52,36.47881292053103,0.7015156330871352,1.8762786282034924,-13.910000000000004,25.0,0.05,,
T5_6H_ALL_max3_COST_0.10R,52,33.878812920531026,0.6515156330871351,1.7774071616494813,-14.559999999999977,25.0,0.1,,
T5_6H_ALL_max3_COST_0.15R,52,31.278812920531028,0.6015156330871352,1.6864187365562027,-15.210000000000015,23.076923076923077,0.15,,
