label,trades,total_r,avg_r,pf,dd_r,win_rate,extra_cost_r,removed_assets,removed_months
T5_6H_ALL_max3_REMOVE_TOP_1_ASSETS,49,11.174120018728901,0.22804326568834493,1.2968742236608608,-12.239999999999998,24.489795918367346,,ZEC/USDT,
T5_6H_ALL_max3_REMOVE_TOP_3_ASSETS,45,-8.936551581413903,-0.19859003514253118,0.7559602085471229,-23.740383257615605,20.0,,"ZEC/USDT,BTC/USDT,LUNC/USDT",
T5_6H_ALL_max3_REMOVE_TOP_5_ASSETS,42,-20.932179614198624,-0.49838522890949105,0.4120048663262088,-23.740383257615605,16.666666666666664,,"ZEC/USDT,BTC/USDT,LUNC/USDT,JTO/USDT,ADA/USDT",
T5_6H_ALL_max3_REMOVE_TOP_1_MONTHS,37,4.773010303447575,0.12900027847155607,1.1677139087330173,-13.259999999999998,24.324324324324326,,,2025-10
T5_6H_ALL_max3_REMOVE_TOP_2_MONTHS,30,-4.206961970716821,-0.1402320656905607,0.8199015869997911,-12.81245988270929,23.333333333333332,,,"2025-10,2026-02"
T5_6H_ALL_max3_LONG_ONLY,25,31.23160791951288,1.249264316780515,2.7104550189355434,-6.120000000000008,28.000000000000004,,,
T5_6H_ALL_max3_SHORT_ONLY,27,7.847205001018146,0.2906372222599313,1.3663494398234426,-10.199999999999996,22.22222222222222,,,
T5_6H_ALL_max3_LAST_20,20,-5.407971913216042,-0.2703985956608021,0.6465377834499318,-13.26,25.0,,,
T5_6H_ALL_max3_LAST_30,30,7.958081201489441,0.26526937338298134,1.3562377844560243,-13.259999999999998,26.666666666666668,,,
T5_6H_ALL_max3_LAST_50,50,41.11881292053101,0.8223762584106202,2.092445368689303,-13.260000000000012,26.0,,,
T5_6H_SHORT_max5_BASELINE,67,24.932747325146487,0.3721305570917386,1.4924798027998687,-24.218637263217026,23.88059701492537,,,
T5_6H_SHORT_max5_COST_0.00R,67,24.932747325146487,0.3721305570917386,1.4924798027998687,-24.218637263217026,23.88059701492537,0.0,,
T5_6H_SHORT_max5_COST_0.05R,67,21.58274732514649,0.32213055709173866,1.4058666362015575,-25.868637263217032,23.88059701492537,0.05,,
T5_6H_SHORT_max5_COST_0.10R,67,18.232747325146487,0.2721305570917386,1.3271801047120297,-27.51863726321702,23.88059701492537,0.1,,
T5_6H_SHORT_max5_COST_0.15R,67,14.882747325146482,0.22213055709173854,1.2553796809018616,-29.168637263217043,23.88059701492537,0.15,,
T5_6H_SHORT_max5_REMOVE_TOP_1_ASSETS,65,11.674487946953512,0.17960750687620788,1.2305983150162667,-29.939021878601636,21.53846153846154,,WLFI/USDT,
T5_6H_SHORT_max5_REMOVE_TOP_3_ASSETS,56,-8.819710696914553,-0.15749483387347415,0.8062749231451131,-27.899021878601637,17.857142857142858,,"WLFI/USDT,JTO/USDT,BIO/USDT",
T5_6H_SHORT_max5_REMOVE_TOP_5_ASSETS,49,-19.21559494368251,-0.3921549988506635,0.5363808967006818,-25.859021878601638,14.285714285714285,,"WLFI/USDT,JTO/USDT,BIO/USDT,AVAX/USDT,BB/USDT",
T5_6H_SHORT_max5_REMOVE_TOP_1_MONTHS,49,3.8515506702636064,0.07860307490333891,1.1030737404001427,-24.21863726321702,22.448979591836736,,,2025-10
T5_6H_SHORT_max5_REMOVE_TOP_2_MONTHS,45,-3.7630264202519164,-0.08362280933893147,0.8934799897806852,-24.218637263217023,20.0,,,"2025-10,2025-11"
T5_6H_SHORT_max5_LONG_ONLY,0,0.0,0.0,0.0,0.0,0.0,,,
T5_6H_SHORT_max5_SHORT_ONLY,67,24.932747325146487,0.3721305570917386,1.4924798027998687,-24.218637263217026,23.88059701492537,,,
T5_6H_SHORT_max5_LAST_20,20,-10.958637263217026,-0.5479318631608513,0.35411837523118,-9.938637263217027,10.0,,,
T5_6H_SHORT_max5_LAST_30,30,-21.158637263217024,-0.7052879087739008,0.2211624031908178,-20.138637263217017,6.666666666666667,,,
T5_6H_SHORT_max5_LAST_50,50,2.831550670263608,0.056631013405272164,1.0737633785356209,-24.218637263217026,22.0,,,
